pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,92157,0,92157,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000022297,University of Washington,81698,0,81698,2022-04-18 00:00:00 +0000,2, , ,0,          
C00227546,"",D000000115,Microsoft Corp,61099,0,61099,2022-04-18 00:00:00 +0000,3, , ,0,          
C00360354,"",D000023883,Amazon.com,42735,0,42735,2022-04-18 00:00:00 +0000,4, , ,0,          
C00422774,"",          ,Frontline USA,29785,5000,24785,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000072028,Valve Corp,25750,0,25750,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000046189,Virginia Mason Medical Center,19423,0,19423,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000067114,Confluence Health,17125,0,17125,2022-04-18 00:00:00 +0000,8, , ,0,          
C00576090,"",          ,Evergreen PAC,15000,10000,5000,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000406,University of California                ,14436,0,14436,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,NOT EMPLOYED,13612,0,13612,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000031469,American Capital,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000031533,Analysis Group,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000069479,Cooper House,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,D4 LLC,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000084276,LifeYield,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000070416,Nathanson & Hauck,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Northern Fruit,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000055822,Q Prime Inc,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000065774,Richmond Global,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
C90005786,"",D000000288,League of Conservation Voters,11526,8026,3500,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000031906,"Bendich, Stobaugh & Strong",10450,0,10450,2022-04-18 00:00:00 +0000,23, , ,0,          
