pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,321050,0,321050,2022-04-18 00:00:00 +0000,1, , ,0,          
C00064774,"",D000000321,NextEra Energy,306725,30000,276725,2022-04-18 00:00:00 +0000,2,x, ,0,D000000321
         ,"",D000000769,"Paul, Weiss et al",229105,0,229105,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000021873,Blackstone Group,228736,0,228736,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000067823,Alphabet Inc,201294,30000,171294,2022-04-18 00:00:00 +0000,5, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,171072,35000,136072,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,168293,73500,94793,2022-04-18 00:00:00 +0000,7,x, ,4,D000000109
         ,"",D000000358,KKR & Co,164771,11000,153771,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Newmark,158350,0,158350,2022-04-18 00:00:00 +0000,9, , ,0,          
C00033589,"",D000000457,Corning Inc,156880,17000,139880,2022-04-18 00:00:00 +0000,10, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,153242,30000,123242,2022-04-18 00:00:00 +0000,11,x, ,2,D000000348
C00227546,"",D000000115,Microsoft Corp,152387,29500,122887,2022-04-18 00:00:00 +0000,12,x, ,3,D000000115
         ,"",D000000811,Kirkland & Ellis,150554,0,150554,2022-04-18 00:00:00 +0000,13, , ,0,          
C00040535,"",D000000217,American Express,145885,25000,120885,2022-04-18 00:00:00 +0000,14,x, ,0,D000000217
         ,"",D000021872,BlackRock Inc                           ,142050,10000,132050,2022-04-18 00:00:00 +0000,15, , ,0,          
C00303024,"",D000000104,Lockheed Martin,139464,35000,104464,2022-04-18 00:00:00 +0000,16,x, ,1,D000000104
C00397851,"",D000024670,Centene Corp                            ,137389,25000,112389,2022-04-18 00:00:00 +0000,17, , ,0,          
C00362707,"",D000000374,Cisco Systems,131519,27500,104019,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000000627,Weitz & Luxenberg,127151,0,127151,2022-04-18 00:00:00 +0000,19, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,123895,35000,88895,2022-04-18 00:00:00 +0000,20,x,x,0,D000000124
C00248716,"",D000000461,Comcast Corp,122186,35000,87186,2022-04-18 00:00:00 +0000,21,x, ,2,D000000461
         ,"",D000054886,Nyu Langone Medical Center,121284,0,121284,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000000464,Sullivan & Cromwell,119165,0,119165,2022-04-18 00:00:00 +0000,23, , ,0,          
C00365122,"",D000029689,Visa Inc,118891,35000,83891,2022-04-18 00:00:00 +0000,24,x, ,0,D000029689
C00350744,"",D000000085,Goldman Sachs,118325,35000,83325,2022-04-18 00:00:00 +0000,25,x, ,0,D000000085
         ,"",D000021464,United Airlines Holdings,111021,18000,93021,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000035294,Lazard Ltd,109350,0,109350,2022-04-18 00:00:00 +0000,27, , ,0,          
C00410274,"",D000022099,MasterCard Inc,108605,10000,98605,2022-04-18 00:00:00 +0000,28, , ,0,          
C00478107,"",D000048012,Broadridge Financial Solutions,106879,2800,104079,2022-04-18 00:00:00 +0000,29, , ,0,          
C00211318,"",D000000131,Deloitte LLP,104743,35000,69743,2022-04-18 00:00:00 +0000,30,x,x,3,D000000131
         ,"",D000021754,Apple Inc,102089,0,102089,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000022217,Related Companies,100750,0,100750,2022-04-18 00:00:00 +0000,32, , ,0,          
C00418095,"",D000025897,"Fragomen, Del Rey et al",100599,5800,94799,2022-04-18 00:00:00 +0000,33, , ,0,          
C00304832,"",D000025112,Constellation Brands,98600,26500,72100,2022-04-18 00:00:00 +0000,34, , ,0,          
C00457234,"",D000027415,Marsh & McLennan,98073,20000,78073,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000031282,Access Industries,95318,2000,93318,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000022147,Neuberger Berman LLC,92800,0,92800,2022-04-18 00:00:00 +0000,37, , ,0,          
C00639674,"",          ,Endeavor,91205,0,91205,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000032285,Capital Group,90850,0,90850,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000067697,American Airlines Group,87985,20000,67985,2022-04-18 00:00:00 +0000,40, , ,0,          
C00247403,"",D000022158,NorPAC,85920,0,85920,2022-04-18 00:00:00 +0000,41, , ,0,          
C00158881,"",D000000249,New York Life Insurance,85799,20000,65799,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000000635,Brown Brothers Harriman & Co,84300,0,84300,2022-04-18 00:00:00 +0000,43, , ,0,          
C00426775,"",D000000672,Charter Communications,82105,35000,47105,2022-04-18 00:00:00 +0000,44,x, ,3,D000000672
C00280222,"",D000019986,KPMG LLP,77690,30350,47340,2022-04-18 00:00:00 +0000,45,x,x,0,D000019986
C00340943,"",D000021951,DaVita Inc,77410,30000,47410,2022-04-18 00:00:00 +0000,46,x, ,0,D000021951
C00384818,"",D000025214,CVS Health,75509,40000,35509,2022-04-18 00:00:00 +0000,47,x, ,1,D000025214
C00478099,"",D000045889,Atlas Air Worldwide,74900,35000,39900,2022-04-18 00:00:00 +0000,48,x, ,0,D000045889
         ,"",D000031606,Ares Management                         ,74700,0,74700,2022-04-18 00:00:00 +0000,49, , ,0,          
C00104802,"",D000000350,Delta Air Lines,73522,30000,43522,2022-04-18 00:00:00 +0000,50,x, ,4,D000000350
         ,"",D000022011,GCM Grosvenor,72500,0,72500,2022-04-18 00:00:00 +0000,51, , ,0,          
C00227744,"",D000000098,Ernst & Young,71020,20000,51020,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000042500,Lightstone Group,69600,0,69600,2022-04-18 00:00:00 +0000,53, , ,0,          
C00493551,"",D000000172,MetLife Inc,65811,27500,38311,2022-04-18 00:00:00 +0000,54,x, ,1,D000000172
C00009985,"",D000000202,National Assn of Broadcasters,63050,35000,28050,2022-04-18 00:00:00 +0000,55,x, ,1,D000000202
C00574368,"",D000025189,Crowell & Moring,62650,25000,37650,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000032451,Centerview Partners,60900,0,60900,2022-04-18 00:00:00 +0000,57, , ,0,          
C00266585,"",D000000344,Greenberg Traurig LLP,60298,10000,50298,2022-04-18 00:00:00 +0000,58, , ,0,          
C00743823,"",D000067782,Lyft Inc,59556,5000,54556,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000033486,Epic Systems,59035,0,59035,2022-04-18 00:00:00 +0000,60, , ,0,          
C00477653,"",D000000768,Cox Enterprises                         ,58403,12000,46403,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000030850,Vista Equity Partners,56988,0,56988,2022-04-18 00:00:00 +0000,62, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",56459,11000,45459,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000058299,Virtu Financial,56322,0,56322,2022-04-18 00:00:00 +0000,64, , ,0,          
C00089136,"",D000000067,Altria Group,55700,40000,15700,2022-04-18 00:00:00 +0000,65,x, ,3,D000000067
         ,"",D000069487,Pjt Partners,55200,0,55200,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000069938,MRHFM Law Firm,55100,0,55100,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",D000022252,Simmons Hanly Conroy,54094,0,54094,2022-04-18 00:00:00 +0000,68, , ,0,          
C00344754,"",D000000686,"Gibson, Dunn & Crutcher",53955,10000,43955,2022-04-18 00:00:00 +0000,69, , ,0,          
C00731000,"",D000068058,Airbnb Inc,53680,0,53680,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",D000021935,Cooney & Conway,52900,0,52900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000068102,Breakthru Beverage Group,52700,0,52700,2022-04-18 00:00:00 +0000,72, , ,0,          
C00494682,"",D000035733,S&P Global,51863,22500,29363,2022-04-18 00:00:00 +0000,73, , ,0,          
C00364778,"",D000000090,Bank of America,51297,25000,26297,2022-04-18 00:00:00 +0000,74,x, ,1,D000000090
C00388827,"",D000066716,Rock Holdings,49885,15000,34885,2022-04-18 00:00:00 +0000,75, , ,0,          
C00540518,"",D000021890,Capital Group Companies,49100,30000,19100,2022-04-18 00:00:00 +0000,76,x, ,1,D000021890
C00400929,"",D000021841,AmerisourceBergen Corp,47303,30000,17303,2022-04-18 00:00:00 +0000,77,x, ,1,D000021841
         ,"",D000022230,Rudin Management,47150,0,47150,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000000388,Baron & Budd,46400,0,46400,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000035084,Khosla Ventures,46400,0,46400,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000031082,"Williams, Hart et al",46400,0,46400,2022-04-18 00:00:00 +0000,79, , ,0,          
C00341602,"",D000000785,Southwest Airlines,45937,10000,35937,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",D000063405,Signature Bank,45600,0,45600,2022-04-18 00:00:00 +0000,83, , ,0,          
