pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00797670,"",D000046963,American Israel Public Affairs Cmte,14700,2900,11800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00236489,"",D000000186,Koch Industries,14000,14000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00034157,"",D000000126,AFLAC Inc,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00204099,"",D000000408,Deere & Co,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00096156,"",D000000334,Honeywell International,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00144774,"",D000000168,Southern Co                             ,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000071306,Total Military Management,10000,0,10000,2022-04-18 00:00:00 +0000,3, , ,0,          
C00369751,"",D000000585,Dell Technologies,9500,9500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00004275,"",D000000087,American Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00416297,"",D000000431,National Cotton Council,7500,7500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00502807,"",D000074087,US Peanut PAC,7500,7500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00172833,"",D000023921,American Assn of Crop Insurers,7000,7000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00214148,"",D000023991,American Peanut Shellers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00128678,"",D000029135,Southeastern Lumber Manufacturers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00359588,"",D000021679,BGR Group,5800,0,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000067150,Fickling & Co,5800,0,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000061658,Hennessy Automobile,5800,0,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
C00076299,"",D000023666,CME Group,5500,5500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00446948,"",D000033512,ES3 Inc,5500,5500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00247981,"",D000019355,Corteva Agriscience,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00477653,"",D000000768,Cox Enterprises,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00503680,"",D000049867,Crop Insurance Professionals Assn,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Cross Potomac Consulting LLC,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00521914,"",D000066671,Primerica Inc,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Tmm Inc,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000037360,Sanderson Farms,4900,0,4900,2022-04-18 00:00:00 +0000,29, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,4000,4000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,4000,4000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00279505,"",D000028518,Rain & Hail Insurance Society,4000,4000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00249532,"",D000024020,American Sportfishing Assn,3500,3500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00300426,"",D000029138,Southern Cotton Growers Inc,3500,3500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00109017,"",D000000076,AT&T Inc,3000,3000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00311142,"",D000073173,Troutman Pepper,3000,3000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Bloodworth Wholesale,2900,0,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Mid Century Financial,2900,0,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Pike Creek Turf Inc,2900,0,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Southwell,2900,0,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
C00211037,"",D000023806,Alabama Peanut Producers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,2500,2500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00340075,"",          ,BASF Corp,2500,2500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Chaparral Boats,2500,0,2500,2022-04-18 00:00:00 +0000,41, , ,0,          
C00347989,"",D000025010,Coca-Cola Bottling Co United,2500,2500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Coldwell Banker Access Realty,2500,0,2500,2022-04-18 00:00:00 +0000,41, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,2500,2500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
