pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00028860,"",D000000083,American Federation of Teachers,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C70001979,"",D000000066,Teamsters Union,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,12500,12500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C70000492,"",D000000064,National Education Assn,12000,12000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000623,AEA Investors,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000090826,Tusk Holdings,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
C00370015,"",D000022144,NelNet Inc,11000,11000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00003632,"",D000000302,Bricklayers Union,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00412791,"",D000021990,Forward Together PAC,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00007922,"",D000000074,Laborers Union,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C70003124,"",D000000077,Service Employees International Union,10000,5000,5000,2022-04-18 00:00:00 +0000,10, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00004861,"",D000022292,UNITE HERE,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,7500,7500,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,7500,7500,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Kipp Ny Public Schools,6000,0,6000,2022-04-18 00:00:00 +0000,20, , ,0,          
C00013342,"",D000029577,United Mine Workers of America,6000,6000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00360354,"",D000023883,Amazon.com,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00002089,"",D000000075,Communications Workers of America,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00410068,"",D000021992,Fraternity & Sorority PAC,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00027359,"",D000000140,Ironworkers Union,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00283135,"",D000022129,National Assn of Health Underwriters,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00769810,"",D000055121,Owens & Minor,5000,0,5000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00008268,"",D000000178,Transport Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00064766,"",D000000081,United Parcel Service,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00003590,"",D000000102,United Steelworkers,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00225342,"",D000022103,McGuireWoods LLP,4250,4000,250,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,4000,4000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00085316,"",D000000222,Cigna Corp,4000,4000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Thegroup,3900,0,3900,2022-04-18 00:00:00 +0000,38, , ,0,          
C00216895,"",D000068537,Arnold & Porter Kaye Scholer,3700,3000,700,2022-04-18 00:00:00 +0000,39, , ,0,          
C00198606,"",D000025485,Adtalem Global Education,3250,3250,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00550491,"",D000030396,Thompson Coburn LLP,3250,3250,0,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000021875,Bockorny Group,3000,0,3000,2022-04-18 00:00:00 +0000,42, , ,0,          
C00005157,"",D000000218,Boilermakers Union,3000,3000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000088412,Fulcrum Public Affairs,3000,0,3000,2022-04-18 00:00:00 +0000,42, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,3000,3000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,3000,3000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000031958,Bill & Melinda Gates Foundation,2900,0,2900,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000034396,Invariant LLC,2900,0,2900,2022-04-18 00:00:00 +0000,47, , ,0,          
C00089136,"",D000000067,Altria Group,2750,2500,250,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Not Employed,2750,0,2750,2022-04-18 00:00:00 +0000,49, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00411553,"",D000023903,American Academy of Family Physicians,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00024521,"",D000000065,American Assn for Justice,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00326595,"",D000021891,Capital One Financial,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000049260,CityBridge Foundation,2500,0,2500,2022-04-18 00:00:00 +0000,51, , ,0,          
C00284885,"",D000000419,Home Depot,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Iatse Local 30,2500,0,2500,2022-04-18 00:00:00 +0000,51, , ,0,          
C00344325,"",D000026657,International Alliance Theatrical Stage Employees,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00227546,"",D000000115,Microsoft Corp,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00337626,"",D000000106,Morgan Stanley,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00416297,"",D000000431,National Cotton Council,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000036546,"Patten, Wornom et al                              ",2500,0,2500,2022-04-18 00:00:00 +0000,51, , ,0,          
C00300426,"",D000029138,Southern Cotton Growers Inc,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00236414,"",          ,TransAmerica,2500,2500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00503680,"",D000049867,Crop Insurance Professionals Assn,2000,2000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00009282,"",D000019639,Norfolk Southern,2000,2000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00166348,"",D000000462,Southern Minn Beet Sugar Co-Op,2000,2000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00308478,"",D000029615,USA Rice Federation,2000,2000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00326868,"",          ,Amalgamated Sugar,1500,1500,0,2022-04-18 00:00:00 +0000,71, , ,0,          
C00127621,"",D000024236,"Bakery, Confectionery, Tobacco & Grain Union",1500,1500,0,2022-04-18 00:00:00 +0000,71, , ,0,          
C00280909,"",          ,AFL-CIO Transportation Trades Dept,1000,1000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00267849,"",D000000839,Allied Pilots Assn,1000,1000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00106740,"",D000021819,America's Health Insurance Plans,1000,1000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00122499,"",D000023906,American Academy of Physician Assoc,1000,1000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00109017,"",D000000076,AT&T Inc,1000,1000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Bay Aging,1000,0,1000,2022-04-18 00:00:00 +0000,73, , ,0,          
C00110262,"",D000024496,Brunswick Corp,1000,1000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000049100,"City of Portsmouth, Va",1000,0,1000,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000090051,Fhi 360,1000,0,1000,2022-04-18 00:00:00 +0000,73, , ,0,          
C00078451,"",D000000165,General Dynamics,1000,1000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Hildreth Steward Charitable Foundation,1000,0,1000,2022-04-18 00:00:00 +0000,73, , ,0,          
C00171330,"",D000000330,Holland & Knight,1000,1000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00624148,"",D000068725,Horizon Therapeutics,1000,0,1000,2022-04-18 00:00:00 +0000,73, , ,0,          
C00164509,"",D000026663,Intl Fedn of Prof & Technical Engineers,1000,1000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00213173,"",D000000766,K&L Gates,1000,1000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00303024,"",D000000104,Lockheed Martin,1000,1000,0,2022-04-18 00:00:00 +0000,73, , ,0,          
