pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C90009945,"",D000000763,Club for Growth,167674,0,167674,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000022280,The Villages,141750,0,141750,2022-04-18 00:00:00 +0000,2, , ,0,          
C00064774,"",D000000321,NextEra Energy,117323,31000,86323,2022-04-18 00:00:00 +0000,3,x, ,0,D000000321
C00382150,"",D000022003,GEO Group                               ,80425,15000,65425,2022-04-18 00:00:00 +0000,4, , ,0,          
C00284885,"",D000000419,Home Depot,70836,25000,45836,2022-04-18 00:00:00 +0000,5,x, ,0,D000000419
         ,"",D000037554,Shutts & Bowen,61131,0,61131,2022-04-18 00:00:00 +0000,6, ,x,0,D000037554
         ,"",D000061641,Heartland Dental Care,49940,0,49940,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000077416,Beasley Media Group,46300,0,46300,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000082092,Hydrologic Distribution Co,42400,0,42400,2022-04-18 00:00:00 +0000,9, , ,0,          
C00364778,"",D000000090,Bank of America,41812,0,41812,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000000496,US Senate,40597,0,40597,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000043682,Sj Lockwood & Co,39900,0,39900,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000000659,State Farm Insurance,39175,0,39175,2022-04-18 00:00:00 +0000,13, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,38498,7000,31498,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000053035,Lewis Bear Co                                     ,37800,0,37800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000060242,Banknote Capital,37200,0,37200,2022-04-18 00:00:00 +0000,16, , ,0,          
C00266585,"",D000000344,Greenberg Traurig LLP,36450,0,36450,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Florida Crystals,35100,0,35100,2022-04-18 00:00:00 +0000,18, , ,0,          
C00067231,"",D000000445,HCA Inc,34801,20000,14801,2022-04-18 00:00:00 +0000,19,x, ,0,D000000445
C00400705,"",D000028488,Publix Super Markets,33538,2000,31538,2022-04-18 00:00:00 +0000,20,x, ,0,D000028488
C00574921,"",D000037311,Ryan LLC,33300,22500,10800,2022-04-18 00:00:00 +0000,21, , ,0,          
C00236489,"",D000000186,Koch Industries,32920,27500,5420,2022-04-18 00:00:00 +0000,22,x, ,0,D000000186
         ,"",D000036804,Prescott Investors,32650,0,32650,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000062275,Makena Capital Management,32400,0,32400,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000022164,NVR Inc                                 ,32400,0,32400,2022-04-18 00:00:00 +0000,24,x, ,0,D000022164
         ,"",D000031179,Yancey Brothers,32200,0,32200,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000044649,Amscot Financial,31800,0,31800,2022-04-18 00:00:00 +0000,27,x, ,0,D000044649
         ,"",D000091477,Weathertech,31800,0,31800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Hopkins Pharmacy,31600,0,31600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000083482,Cassidy Organization,31400,0,31400,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000044041,Patrick P Lee Foundation,31400,0,31400,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000034155,Granite Telecommunications,31200,0,31200,2022-04-18 00:00:00 +0000,32,x, ,0,D000034155
         ,"",D000063609,Sutton Properties,31200,0,31200,2022-04-18 00:00:00 +0000,32, , ,0,          
C00546119,"",          ,Select Medical Corp,30305,20000,10305,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000022013,Gruss & Co,29100,0,29100,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000079429,Keewin Real Property Co,28900,0,28900,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000083323,"Cole, Scott & Kissane",28700,0,28700,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000090956,Ferber Co,28500,0,28500,2022-04-18 00:00:00 +0000,38, , ,0,          
C00496919,"",D000064266,Acadia Healthcare,28375,5000,23375,2022-04-18 00:00:00 +0000,39, , ,0,          
