pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000071053,Blink Health,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Hunt Oil,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00012245,"",          ,UBS Americas,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00164145,"",D000029616,USAA,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,7000,7000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Barry Chaiken MD,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Lefrak Properties,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Optical,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
C00267849,"",D000000839,Allied Pilots Assn,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00324780,"",D000023902,American Academy of Emergency Medicine,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00250399,"",D000021853,Automotive Free International Trade PAC           ,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00559146,"",          ,Believe in Life Liberty Yourself,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00410068,"",D000021992,Fraternity & Sorority PAC,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00448373,"",D000026537,Huck PAC,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00236489,"",D000000186,Koch Industries,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
