pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00193433,"",D000000113,Emily's List,169391,0,169391,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000033047,Dartmouth College,68318,0,68318,2022-04-18 00:00:00 +0000,2, , ,0,          
C00281212,"",D000000583,BAE Systems,64982,37000,27982,2022-04-18 00:00:00 +0000,3,x, ,0,D000000583
C00097568,"",D000072615,Raytheon Technologies,58960,42000,16960,2022-04-18 00:00:00 +0000,4,x, ,0,D000072615
C00227546,"",D000000115,Microsoft Corp                          ,58930,32000,26930,2022-04-18 00:00:00 +0000,5,x, ,0,D000000115
         ,"",D000030677,University of New Hampshire             ,56389,0,56389,2022-04-18 00:00:00 +0000,6, , ,0,          
C00484535,"",D000065181,Votesane PAC,55500,0,55500,2022-04-18 00:00:00 +0000,7, , ,0,          
C00215046,"",D000000328,Fidelity Investments,54426,31500,22926,2022-04-18 00:00:00 +0000,8, , ,0,          
C00367995,"",D000029049,Sierra Nevada Corp,52710,28500,24210,2022-04-18 00:00:00 +0000,9,x, ,0,D000029049
         ,"",D000041382,Beacon Capital Partners,52400,0,52400,2022-04-18 00:00:00 +0000,10,x, ,1,D000041382
         ,"",D000032285,Capital Group,51805,0,51805,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000544,Harvard University,49121,0,49121,2022-04-18 00:00:00 +0000,12, , ,0,          
C00215285,"",D000000317,General Atomics                         ,48404,33500,14904,2022-04-18 00:00:00 +0000,13,x, ,0,D000000317
C00397851,"",D000024670,Centene Corp                            ,45433,23500,21933,2022-04-18 00:00:00 +0000,14,x, ,0,D000024670
         ,"",D000037810,State of New Hampshire                  ,44225,0,44225,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,40673,26500,14173,2022-04-18 00:00:00 +0000,16,x, ,1,D000000109
C00078451,"",D000000165,General Dynamics,40134,37500,2634,2022-04-18 00:00:00 +0000,17,x, ,1,D000000165
C00034488,"",          ,Anheuser-Busch,39475,39000,475,2022-04-18 00:00:00 +0000,18, , ,0,          
C00096156,"",D000000334,Honeywell International,39071,33000,6071,2022-04-18 00:00:00 +0000,19,x, ,0,D000000334
C00100321,"",D000071910,L3Harris Technologies,38795,37000,1795,2022-04-18 00:00:00 +0000,20,x, ,0,D000071910
C00248716,"",D000000461,Comcast Corp,38677,22500,16177,2022-04-18 00:00:00 +0000,21,x, ,1,D000000461
C00130773,"",D000000755,National Multifamily Housing Council,37500,32500,5000,2022-04-18 00:00:00 +0000,22,x, ,0,D000000755
C00468314,"",D000025328,Democracy Engine,36941,0,36941,2022-04-18 00:00:00 +0000,23, , ,0,          
C00441949,"",          ,JStreetPAC,35308,1070,34238,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000022300,US Government,34824,0,34824,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000000406,University of California                ,34421,0,34421,2022-04-18 00:00:00 +0000,26, , ,0,          
C00088591,"",D000000170,Northrop Grumman,33948,32500,1448,2022-04-18 00:00:00 +0000,27,x, ,0,D000000170
C00024869,"",D000000125,General Electric,32767,27500,5267,2022-04-18 00:00:00 +0000,28,x, ,1,D000000125
C00007922,"",D000000074,Laborers Union,32505,32500,5,2022-04-18 00:00:00 +0000,29,x, ,0,D000000074
