pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00303024,"",D000000104,Lockheed Martin,132750,30000,102750,2022-04-18 00:00:00 +0000,1,x, ,13,D000000104
         ,"",D000021923,Collazo Enterprises,110000,0,110000,2022-04-18 00:00:00 +0000,2,x, ,1,D000021923
C00142711,"",D000000100,Boeing Co,88000,22500,65500,2022-04-18 00:00:00 +0000,3,x, ,30,D000000100
         ,"",D000051477,Great Southern Wood Preserving,70000,0,70000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00372979,"",D000028509,Radiance Technologies,70000,15000,55000,2022-04-18 00:00:00 +0000,4,x, ,1,D000028509
C00078451,"",D000000165,General Dynamics                        ,68000,25000,43000,2022-04-18 00:00:00 +0000,6,x, ,12,D000000165
C00400424,"",D000029489,Torch Technologies,61600,10000,51600,2022-04-18 00:00:00 +0000,7,x, ,3,D000029489
         ,"",D000051125,Frontier Technology,56000,0,56000,2022-04-18 00:00:00 +0000,8,x, ,1,D000051125
         ,"",D000076289,Breland Homes,55000,0,55000,2022-04-18 00:00:00 +0000,9, , ,0,          
C00546234,"",D000000369,Leidos Inc,55000,35000,20000,2022-04-18 00:00:00 +0000,9,x, ,1,D000000369
         ,"",D000021845,Apollo Global Management,47500,0,47500,2022-04-18 00:00:00 +0000,11,x, ,1,D000021845
         ,"",D000068060,ClearPath Foundation,45000,0,45000,2022-04-18 00:00:00 +0000,12,x, ,0,D000068060
C00367995,"",D000029049,Sierra Nevada Corp,43400,13000,30400,2022-04-18 00:00:00 +0000,13,x, ,3,D000029049
C00325092,"",D000064813,Huntington Ingalls Industries,40000,25000,15000,2022-04-18 00:00:00 +0000,14,x, ,5,D000064813
C00097568,"",D000072615,Raytheon Technologies,37600,25000,12600,2022-04-18 00:00:00 +0000,15,x, ,14,D000072615
         ,"",D000065661,Franklin L Haney Co                               ,35000,0,35000,2022-04-18 00:00:00 +0000,16,x, ,2,D000065661
C00096156,"",D000000334,Honeywell International,35000,15000,20000,2022-04-18 00:00:00 +0000,16,x, ,3,D000000334
         ,"",D000034864,Jim Wilson & Assoc,35000,0,35000,2022-04-18 00:00:00 +0000,16, , ,0,          
C00744425,"",D000055335,Peopletec Inc,34000,0,34000,2022-04-18 00:00:00 +0000,19,x, ,1,D000055335
C00077305,"",          ,Alabama Power,30000,30000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00089136,"",D000000067,Altria Group,30000,30000,0,2022-04-18 00:00:00 +0000,20,x, ,3,D000000067
         ,"",D000033145,Dese Research,30000,0,30000,2022-04-18 00:00:00 +0000,20,x, ,0,D000033145
C00088591,"",D000000170,Northrop Grumman,30000,30000,0,2022-04-18 00:00:00 +0000,20,x, ,4,D000000170
C00186064,"",D000028398,PNC Financial Services,30000,30000,0,2022-04-18 00:00:00 +0000,20,x, ,0,D000028398
         ,"",D000055177,Palantir Technologies,27500,0,27500,2022-04-18 00:00:00 +0000,25,x, ,2,D000055177
C00068692,"",D000000089,FedEx Corp,26000,26000,0,2022-04-18 00:00:00 +0000,26,x, ,4,D000000089
         ,"",D000030810,Veritas Capital                         ,26000,26000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00281212,"",D000000583,BAE Systems,25000,25000,0,2022-04-18 00:00:00 +0000,28,x, ,4,D000000583
         ,"",D000081982,Dynamis Inc,25000,0,25000,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Gray Research,25000,0,25000,2022-04-18 00:00:00 +0000,28, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,25000,25000,0,2022-04-18 00:00:00 +0000,28,x, ,1,D000000309
C00386524,"",D000072145,Truist Financial,25000,25000,0,2022-04-18 00:00:00 +0000,28,x, ,0,D000072145
C00215285,"",D000000317,General Atomics,24000,15000,9000,2022-04-18 00:00:00 +0000,33,x, ,8,D000000317
C00104802,"",D000000350,Delta Air Lines,20000,20000,0,2022-04-18 00:00:00 +0000,34,x, ,3,D000000350
C00284885,"",D000000419,Home Depot,20000,20000,0,2022-04-18 00:00:00 +0000,34,x, ,1,D000000419
         ,"",          ,Kord Technologies,20000,0,20000,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000000245,MacAndrews & Forbes,20000,10000,10000,2022-04-18 00:00:00 +0000,34,x, ,1,D000000245
         ,"",D000041126,"Morris, Haynes et al",20000,0,20000,2022-04-18 00:00:00 +0000,34, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,20000,20000,0,2022-04-18 00:00:00 +0000,34,x, ,3,D000000062
C00103549,"",D000022175,Parsons Corp,20000,20000,0,2022-04-18 00:00:00 +0000,34,x, ,0,D000022175
         ,"",D000071324,Quantum Research International,20000,0,20000,2022-04-18 00:00:00 +0000,34,x, ,1,D000071324
         ,"",D000044467,RR&G LLC,20000,0,20000,2022-04-18 00:00:00 +0000,34, ,x,1,D000044467
C00421230,"",D000025729,Airbus Group,18500,12500,6000,2022-04-18 00:00:00 +0000,43,x, ,3,D000025729
C00024869,"",D000000125,General Electric,17500,17500,0,2022-04-18 00:00:00 +0000,44,x, ,1,D000000125
C00416297,"",D000000431,National Cotton Council,17500,17500,0,2022-04-18 00:00:00 +0000,44,x, ,0,D000000431
C00432252,"",D000022216,Regions Financial,17500,17500,0,2022-04-18 00:00:00 +0000,44,x, ,2,D000022216
         ,"",D000037428,Scientific Research Corp,17000,0,17000,2022-04-18 00:00:00 +0000,47,x, ,3,D000037428
C00300418,"",D000067120,SAIC,15500,15000,500,2022-04-18 00:00:00 +0000,48,x, ,2,D000067120
C00034157,"",D000000126,AFLAC Inc,15000,15000,0,2022-04-18 00:00:00 +0000,49,x, ,1,D000000126
C00002881,"",D000000177,American Trucking Assns,15000,15000,0,2022-04-18 00:00:00 +0000,49,x, ,0,D000000177
C00248716,"",D000000461,Comcast Corp,15000,15000,0,2022-04-18 00:00:00 +0000,49,x, ,5,D000000461
C00163832,"",D000000148,CSX Corp,15000,15000,0,2022-04-18 00:00:00 +0000,49,x, ,0,D000000148
C00211318,"",D000000131,Deloitte LLP,15000,15000,0,2022-04-18 00:00:00 +0000,49,x,x,1,D000000131
         ,"",D000033174,Digital Fusion,15000,0,15000,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,FCA Properties,15000,0,15000,2022-04-18 00:00:00 +0000,49, , ,0,          
C00076810,"",D000000155,General Motors,15000,15000,0,2022-04-18 00:00:00 +0000,49,x, ,2,D000000155
C00201491,"",          ,Intergraph Corp,15000,15000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Intrepid,15000,0,15000,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Kbr Wyle,15000,0,15000,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Manf Tech,15000,0,15000,2022-04-18 00:00:00 +0000,49, , ,0,          
C00272724,"",D000027470,"Maynard, Cooper & Gale",15000,15000,0,2022-04-18 00:00:00 +0000,49, ,x,1,D000027470
C00009282,"",D000019639,Norfolk Southern,15000,15000,0,2022-04-18 00:00:00 +0000,49,x, ,4,D000019639
         ,"",D000074201,Pan Am Equities,15000,0,15000,2022-04-18 00:00:00 +0000,49, , ,0,          
C00161414,"",          ,Protective Life Corp,15000,10000,5000,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000029367,Teledyne Technologies,15000,0,15000,2022-04-18 00:00:00 +0000,49,x, ,0,D000029367
C00376376,"",D000021773,Travelers Companies,15000,10000,5000,2022-04-18 00:00:00 +0000,49,x, ,1,D000021773
         ,"",D000086915,Trideum Corp,15000,0,15000,2022-04-18 00:00:00 +0000,49,x, ,2,D000086915
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,15000,15000,0,2022-04-18 00:00:00 +0000,49,x, ,1,D000000356
         ,"",D000057934,United Launch Alliance,13000,0,13000,2022-04-18 00:00:00 +0000,69,x, ,3,D000057934
C00107300,"",          ,American Airlines,12500,10000,2500,2022-04-18 00:00:00 +0000,70, , ,0,          
C00142299,"",D000000371,Jacobs Engineering Group,12500,12500,0,2022-04-18 00:00:00 +0000,70,x, ,1,D000000371
         ,"",D000090931,Lesco Logistics,12500,0,12500,2022-04-18 00:00:00 +0000,70, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,12500,12500,0,2022-04-18 00:00:00 +0000,70,x, ,0,D000000101
         ,"",D000092657,Thompson Gray Inc,12500,0,12500,2022-04-18 00:00:00 +0000,70, , ,0,          
C00164145,"",D000029616,USAA,12500,12500,0,2022-04-18 00:00:00 +0000,70,x, ,0,D000029616
C00226472,"",D000023754,Adams & Reese,10000,5000,5000,2022-04-18 00:00:00 +0000,76, ,x,1,D000023754
C00486928,"",D000046760,Alzheimer's Assn,10000,10000,0,2022-04-18 00:00:00 +0000,76,x, ,1,D000046760
C00001198,"",D000023971,American Hotel & Lodging Assn,10000,10000,0,2022-04-18 00:00:00 +0000,76,x, ,1,D000023971
         ,"",D000087438,B&M Management,10000,0,10000,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,10000,5000,5000,2022-04-18 00:00:00 +0000,76,x, ,0,D000000109
C00557793,"",D000069501,Blue Origin,10000,10000,0,2022-04-18 00:00:00 +0000,76,x, ,2,D000069501
C00235739,"",          ,BNSF Railway,10000,10000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00500017,"",D000032087,Bradley,10000,10000,0,2022-04-18 00:00:00 +0000,76, ,x,0,D000032087
         ,"",          ,"Bradley, Arant et al",10000,10000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00365502,"",D000022588,BWX Technologies,10000,10000,0,2022-04-18 00:00:00 +0000,76,x, ,0,D000022588
         ,"",D000041285,Cooper/T Smith Corp,10000,0,10000,2022-04-18 00:00:00 +0000,76, , ,0,          
C00497917,"",D000050099,Depository Trust & Clearing Corp,10000,5000,5000,2022-04-18 00:00:00 +0000,76,x, ,0,D000050099
C00151340,"",D000021569,DLA Piper,10000,5000,5000,2022-04-18 00:00:00 +0000,76, ,x,2,D000021569
         ,"",          ,Friends of Bud Cramer,10000,10000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00566042,"",D000074092,Friends of Medical Research,10000,10000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00382150,"",D000022003,GEO Group,10000,10000,0,2022-04-18 00:00:00 +0000,76,x, ,1,D000022003
         ,"",D000034199,Greystone & Co,10000,0,10000,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Hudson Alpha,10000,0,10000,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Intrepid LLC,10000,0,10000,2022-04-18 00:00:00 +0000,76, , ,0,          
C00236489,"",D000000186,Koch Industries,10000,10000,0,2022-04-18 00:00:00 +0000,76,x, ,3,D000000186
C00686709,"",D000071048,Kratos Defense & Security Solutions,10000,10000,0,2022-04-18 00:00:00 +0000,76,x, ,0,D000071048
C00275123,"",          ,Leonardo DRS,10000,10000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,10000,10000,0,2022-04-18 00:00:00 +0000,76,x, ,0,D000021771
C00130773,"",D000000755,National Multifamily Housing Council,10000,10000,0,2022-04-18 00:00:00 +0000,76,x, ,1,D000000755
         ,"",          ,Perdue for Senate,10000,10000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000036760,Pope McGlamry,10000,0,10000,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000056632,Sexton Inc,10000,0,10000,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Sexton Investments,10000,0,10000,2022-04-18 00:00:00 +0000,76, , ,0,          
C00428110,"",D000029158,Spirit Aerosystems,10000,10000,0,2022-04-18 00:00:00 +0000,76,x, ,0,D000029158
         ,"",          ,"Thompson-Williams Ventures, Ll",10000,0,10000,2022-04-18 00:00:00 +0000,76, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,10000,10000,0,2022-04-18 00:00:00 +0000,76,x, ,1,D000000118
         ,"",D000068981,Woodbranch Investments,10000,0,10000,2022-04-18 00:00:00 +0000,76, , ,0,          
