pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,1075913,0,1075913,2022-04-18 00:00:00 +0000,1, , ,0,          
C00193433,"",D000000113,EMILY's List,405783,10000,395783,2022-04-18 00:00:00 +0000,2, , ,0,          
C00484535,"",D000065181,Votesane PAC,166150,0,166150,2022-04-18 00:00:00 +0000,3, , ,0,          
C00574921,"",D000037311,Ryan LLC,135700,10000,125700,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,129560,72250,57310,2022-04-18 00:00:00 +0000,5,x, ,0,D000000109
         ,"",D000031618,Arizona State University,127745,0,127745,2022-04-18 00:00:00 +0000,6,x, ,0,D000031618
C00064774,"",D000000321,NextEra Energy,106950,9500,97450,2022-04-18 00:00:00 +0000,7,x, ,0,D000000321
         ,"",D000087417,Crescent Capital Group,104500,0,104500,2022-04-18 00:00:00 +0000,8, , ,0,          
C00340943,"",D000021951,DaVita Inc,95545,34500,61045,2022-04-18 00:00:00 +0000,9,x, ,0,D000021951
         ,"",D000067823,Alphabet Inc,94018,15000,79018,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000000769,"Paul, Weiss et al",91450,0,91450,2022-04-18 00:00:00 +0000,11, , ,0,          
C00350744,"",D000000085,Goldman Sachs,90850,22500,68350,2022-04-18 00:00:00 +0000,12,x, ,0,D000000085
         ,"",D000021873,Blackstone Group                        ,88950,0,88950,2022-04-18 00:00:00 +0000,13,x, ,0,D000021873
C00388827,"",D000066716,Rock Holdings,78370,40000,38370,2022-04-18 00:00:00 +0000,14,x, ,0,D000066716
C00248716,"",D000000461,Comcast Corp,77365,25000,52365,2022-04-18 00:00:00 +0000,15,x, ,0,D000000461
C00128512,"",D000000103,JPMorgan Chase & Co,73770,30000,43770,2022-04-18 00:00:00 +0000,16,x, ,0,D000000103
         ,"",D000000406,University of California                ,72506,0,72506,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000000402,"Welsh, Carson et al                     ",71600,0,71600,2022-04-18 00:00:00 +0000,18,x, ,0,D000000402
         ,"",D000000358,KKR & Co,70300,7500,62800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000067697,American Airlines Group,69847,22000,47847,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000021845,Apollo Global Management,68215,10000,58215,2022-04-18 00:00:00 +0000,21, , ,0,          
C00015933,"",D000000658,Pinnacle West Capital,63480,27000,36480,2022-04-18 00:00:00 +0000,22,x, ,0,D000000658
C00652529,"",D000035428,Lockton Companies,63300,5000,58300,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000030646,University of Arizona,62187,0,62187,2022-04-18 00:00:00 +0000,24, , ,0,          
C00689091,"",D000000810,Carlyle Group                           ,55500,10000,45500,2022-04-18 00:00:00 +0000,25,x, ,0,D000000810
         ,"",D000037647,Snell & Wilmer,54640,0,54640,2022-04-18 00:00:00 +0000,26, , ,0,          
C00426775,"",D000000672,Charter Communications,54100,27500,26600,2022-04-18 00:00:00 +0000,27,x, ,0,D000000672
C00274431,"",D000000348,UnitedHealth Group,54009,39500,14509,2022-04-18 00:00:00 +0000,28,x, ,0,D000000348
C00540518,"",D000021890,Capital Group Companies,53200,35000,18200,2022-04-18 00:00:00 +0000,29,x, ,0,D000021890
         ,"",D000022230,Rudin Management,51800,0,51800,2022-04-18 00:00:00 +0000,30, , ,0,          
C00384818,"",D000025214,CVS Health,51637,37500,14137,2022-04-18 00:00:00 +0000,31,x, ,0,D000025214
