pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Crc Wny LLC,7800,0,7800,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Colony Tv,6800,0,6800,2022-04-18 00:00:00 +0000,3, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,6000,6000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000087856,Daibes Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Roseland Properties,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00109017,"",D000000076,AT&T Inc,5500,5000,500,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Wny Board of Ed,5450,0,5450,2022-04-18 00:00:00 +0000,8, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00368993,"",D000022323,Winning Strategies Washington,4915,0,4915,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,National Realty Investment Adv,4900,0,4900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000030465,Tonio Burgos & Assoc,4900,0,4900,2022-04-18 00:00:00 +0000,13, , ,0,          
C90021163,"",D000000203,Amalgamated Transit Union,3500,3500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,3000,3000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00142158,"",          ,Covanta Energy Corp,3000,3000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00007922,"",D000000074,Laborers Union,3000,3000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C70000492,"",D000000064,National Education Assn,3000,3000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000037402,Scarinci & Hollenbeck,3000,0,3000,2022-04-18 00:00:00 +0000,16, , ,0,          
C00280156,"",          ,SUEZ Water,3000,3000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,2500,2500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00024968,"",D000000194,American Optometric Assn,2500,2500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00194746,"",          ,Blue Cross & Blue Shield Assn,2500,2500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00099234,"",          ,Brotherhood of Locomotive Engineers & Trainmen,2500,2500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000050980,Florio & Kenny,2500,0,2500,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Jose Carballo Architectural Group Pc,2500,0,2500,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000035189,Krivit & Krivit,2500,0,2500,2022-04-18 00:00:00 +0000,22, , ,0,          
C00009282,"",D000019639,Norfolk Southern,2500,2500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Nuway,2500,0,2500,2022-04-18 00:00:00 +0000,22, , ,0,          
C00008268,"",D000000178,Transport Workers Union,2500,2500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Wny Bd of Ed,2500,0,2500,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Alonso & Navarrete,2000,0,2000,2022-04-18 00:00:00 +0000,33, , ,0,          
C00024521,"",D000000065,American Assn for Justice,2000,2000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00235739,"",          ,BNSF Railway,2000,2000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Brown & Brown Metro,2000,0,2000,2022-04-18 00:00:00 +0000,33, , ,0,          
C00163832,"",D000000148,CSX Corp,2000,2000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Global Pm Support LLC,2000,0,2000,2022-04-18 00:00:00 +0000,33, , ,0,          
C00164509,"",D000026663,Intl Fedn of Prof & Technical Engineers,2000,2000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Liberty Realty,2000,0,2000,2022-04-18 00:00:00 +0000,33, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,2000,2000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,2000,2000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00286401,"",D000000145,Seafarers International Union,2000,2000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000078848,"Township of Weehawken, NJ",2000,0,2000,2022-04-18 00:00:00 +0000,33, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,2000,2000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00186288,"",D000000079,Verizon Communications,2000,2000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Wny Bd of Education,2000,0,2000,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Wny Boe,2000,0,2000,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Alamo Insurance Group,1500,0,1500,2022-04-18 00:00:00 +0000,49, , ,0,          
C00173153,"",D000000349,American Assn of Nurse Anesthesiology,1500,1500,0,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Bruno Assoc,1500,0,1500,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000032876,Cormac Group,1500,0,1500,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Cpa Architecture,1500,0,1500,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000043888,Mast Construction Services,1500,0,1500,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000037030,Remington & Vernick Engineers,1500,0,1500,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Wny B of Ed,1500,0,1500,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Appaloosa Mngmt,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Applied Housing Management,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00280743,"",D000000735,Association of American Railroads,1000,1000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00160838,"",          ,Bacardi USA,1000,1000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Brockorney Pettizzo,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Capital Grille Miami,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00326595,"",D000021891,Capital One Financial,1000,1000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Casa Manito Furniture,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Community Housing & Planning,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000074595,Costa Farms,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,County of Hudson,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Ferry Carpet,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00693002,"",D000071760,Fox Corp,1000,1000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000034001,Genova Burns LLC,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Hudson Learning,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00156554,"",          ,Ironworkers Union Local 67,1000,1000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00010983,"",D000000386,Johnson & Johnson,1000,1000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000035320,Lefrak Organization,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00772525,"",          ,Let’s Elect Actual Progressives PAC,1000,1000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,M&J Taffaro,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000035978,Monument Advocacy,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Nb Boe,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00138966,"",          ,Operating Engineers Local 68,1000,1000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000036434,Otto Reich Assoc,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,1000,1000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,TEAMSTERS JOINT COUNCIL NO 73 STATE PAC,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,USA Dits,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Weehawken Pd,1000,0,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,200 Park Ave Group,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,Angel Consultants,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,BB BD If Es,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,Bergen Regional Hospital,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",D000060332,Berkeley College,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,City of Jersey City,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,Cpa Architects LLC,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,Crc,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,Crest Point Development LLC,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,Dubin&Kravetz Llp,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,Essex Mngmnt,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,Gmodromos Assoc,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",D000051842,Hoboken Brownstone Co,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,House of Travel,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,Ila Local 1588,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
C00115527,"",D000024141,Insulators Union,500,500,0,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,International Brotherhood Of Teamsters L,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,Jersey City Foa,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",D000052722,Kessler Foundation,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
C00413575,"",D000023524,MWWPR,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
