pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,117638,0,117638,2022-04-18 00:00:00 +0000,1, , ,0,          
C00468314,"",D000025328,Democracy Engine,86150,0,86150,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000035857,Michigan State University,75393,0,75393,2022-04-18 00:00:00 +0000,3, , ,0,          
C00441949,"",          ,JStreetPAC,42300,0,42300,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000030671,University of Michigan                  ,26505,0,26505,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000022275,Technology Crossover Ventures,23200,0,23200,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000032904,Council on Foreign Relations,17750,0,17750,2022-04-18 00:00:00 +0000,7, , ,0,          
C00193433,"",D000000113,EMILY's List,16810,5000,11810,2022-04-18 00:00:00 +0000,8, , ,0,          
C00422774,"",          ,Frontline USA,16110,5000,11110,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000032285,Capital Group,15600,0,15600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000000750,Stanford University,13623,0,13623,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000021754,Apple Inc,13056,0,13056,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000031927,Berkshire Partners,12600,0,12600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Carson Family Charitable Trust,12600,0,12600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000000811,Kirkland & Ellis,12100,0,12100,2022-04-18 00:00:00 +0000,15, , ,0,          
C00493551,"",D000000172,MetLife Inc,12100,0,12100,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000031369,Akonadi Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000021867,Baupost Group,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
