pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00012476,"",D000000120,Plumbers/Pipefitters Union,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00035675,"",D000000149,Bristol-Myers Squibb,14510,0,14510,2022-04-18 00:00:00 +0000,2, , ,0,          
C00247403,"",D000022158,NorPAC,14500,0,14500,2022-04-18 00:00:00 +0000,3, , ,0,          
C00617944,"",D000000123,American International Group,12600,0,12600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Ralph Clayton & Sons,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Saker ShopRites,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
C00359588,"",D000021679,BGR Group,11025,2000,9025,2022-04-18 00:00:00 +0000,7, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",11000,11000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00007922,"",D000000074,Laborers Union,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00332296,"",D000029292,Susan B Anthony List,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00693127,"",D000084281,Building Bridges PAC,9000,9000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,9000,9000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000047864,Bluff Point Assoc,8600,0,8600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Zais Group,7689,0,7689,2022-04-18 00:00:00 +0000,19, , ,0,          
C00027359,"",D000000140,Ironworkers Union,7500,7500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00286401,"",D000000145,Seafarers International Union           ,7500,7500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00096156,"",D000000334,Honeywell International,6500,6500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,6000,6000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000000147,Marine Engineers Beneficial Assn,6000,6000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Fortress Investment Group,5800,0,5800,2022-04-18 00:00:00 +0000,26, , ,0,          
