pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00484535,"",D000065181,Votesane PAC,95500,0,95500,2022-04-18 00:00:00 +0000,1, , ,0,          
C00388827,"",D000066716,Rock Holdings,18500,9500,9000,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,18000,18000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000083182,Blockchain Assn,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
C70003124,"",D000000077,Service Employees International Union,10000,5000,5000,2022-04-18 00:00:00 +0000,6, , ,0,          
C00411116,"",D000029147,SpaceX,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00625988,"",D000070692,Future Forum PAC,9500,9500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,9400,0,9400,2022-04-18 00:00:00 +0000,9, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,8500,8500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00284885,"",D000000419,Home Depot,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00064774,"",D000000321,NextEra Energy,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,6000,6000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00544957,"",D000072000,US Acute Care Solutions,6000,6000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000036737,Poarch Band Of Creek Indians,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,A2i2,5600,0,5600,2022-04-18 00:00:00 +0000,19, , ,0,          
C00109017,"",D000000076,AT&T Inc,5250,5000,250,2022-04-18 00:00:00 +0000,20, , ,0,          
C00197749,"",D000000128,Walt Disney Co                          ,5177,4500,677,2022-04-18 00:00:00 +0000,21, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00280008,"",D000021811,Akerman LLP,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00034884,"",D000000111,Amway/Alticor Inc,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00010124,"",D000024180,Associated Equipment Distributors,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00426775,"",D000000672,Charter Communications,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00085316,"",D000000222,Cigna Corp,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00271007,"",D000000652,Humana Inc,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00430256,"",D000027692,Molina Healthcare,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00158881,"",D000000249,New York Life Insurance,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00378216,"",D000029282,SunPAC,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00012245,"",          ,UBS Americas,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00432252,"",D000022216,Regions Financial,4500,4500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000070020,Filemon Vela for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00303024,"",D000000104,Lockheed Martin,4000,4000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000022126,Nancy Pelosi for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,4000,3500,500,2022-04-18 00:00:00 +0000,42, , ,0,          
C00361758,"",D000022272,T-Mobile USA,4000,4000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00039305,"",D000000071,Citigroup Inc,3500,3500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000051141,Full Sail,3500,0,3500,2022-04-18 00:00:00 +0000,47, , ,0,          
C00428623,"",          ,Google Inc,3500,3500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000086653,Ideal Fastener Corp,3334,0,3334,2022-04-18 00:00:00 +0000,50, , ,0,          
C00213066,"",D000024620,Career Education Colleges & Universities,3250,2500,750,2022-04-18 00:00:00 +0000,51, , ,0,          
C00076810,"",D000000155,General Motors,3250,3250,0,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Davison Group,3002,0,3002,2022-04-18 00:00:00 +0000,53, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,3000,3000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00343459,"",D000021829,American College of Radiology,3000,3000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,3000,3000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,3000,3000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00283135,"",D000022129,National Assn of Health Underwriters,3000,3000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000054876,Nvg LLC,3000,0,3000,2022-04-18 00:00:00 +0000,54, , ,0,          
C00016683,"",D000000138,Pfizer Inc,3000,3000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00008268,"",D000000178,Transport Workers Union,3000,3000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00186288,"",D000000079,Verizon Communications,3000,3000,0,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Dr Roberto Perez Nieves Csp,2900,0,2900,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000073978,K Rowe Investments,2900,0,2900,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000090947,Politank,2900,0,2900,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000037466,Seminole Tribe of Florida,2900,0,2900,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000062220,LSN Partners,2800,0,2800,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",          ,Strack Group,2800,0,2800,2022-04-18 00:00:00 +0000,67, , ,0,          
C00106740,"",D000021819,America's Health Insurance Plans,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00196246,"",D000000154,American Academy of Ophthalmology,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00024521,"",D000000065,American Assn for Justice,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00040535,"",D000000217,American Express,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00001198,"",D000023971,American Hotel & Lodging Assn,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00012880,"",D000000298,American Physical Therapy Assn,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00373696,"",D000021837,American Psychiatric Assn,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000044649,Amscot Financial,2500,0,2500,2022-04-18 00:00:00 +0000,69, , ,0,          
C00250753,"",D000024207,Auto Care Assn,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00099234,"",          ,Brotherhood of Locomotive Engineers & Trainmen,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00397851,"",D000024670,Centene Corp,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00563072,"",D000070693,Coeur Mining,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00002089,"",D000000075,Communications Workers of America,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00384818,"",D000025214,CVS Health,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00340943,"",D000021951,DaVita Inc,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00497917,"",D000050099,Depository Trust & Clearing Corp,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00083535,"",D000000477,Duke Energy,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00379768,"",D000033552,Experian,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00193631,"",D000000359,Farm Credit Council,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00067231,"",D000000445,HCA Inc,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00344325,"",D000026657,International Alliance Theatrical Stage Employees,2500,2500,0,2022-04-18 00:00:00 +0000,69, , ,0,          
