pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,84000,0,84000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00193433,"",D000000113,EMILY's List,48108,5000,43108,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000021873,Blackstone Group                        ,37705,0,37705,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,NOT EMPLOYED,31505,0,31505,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000070423,Arista Networks,23200,0,23200,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000067823,Alphabet Inc,17608,0,17608,2022-04-18 00:00:00 +0000,6, , ,0,          
C00422774,"",          ,Frontline USA,16685,3500,13185,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000070269,Vcu Health,15667,0,15667,2022-04-18 00:00:00 +0000,8, , ,0,          
C00441949,"",          ,JStreetPAC,12625,0,12625,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,12420,0,12420,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000000381,US Dept of State,12309,0,12309,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000021867,Baupost Group,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000043616,Bluestem Asset Management,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000033258,Douglas Emmett Inc,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000083637,Dragonfly Therapeutics,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000033298,"Duff, Ackerman & Goodrich",11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000000444,Fisher Brothers,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Miller Law Firm,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000055822,Q Prime Inc,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000090643,Reorg Research,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000065774,Richmond Global,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000081824,Schmidt Family Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000063612,SV Angel LLC,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000063703,Third Rock Ventures,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,West River Group,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000043235,Weinstein Properties,11200,0,11200,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Chesapeake Bay Magazine,11100,0,11100,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000031926,Berkshire Group,10600,0,10600,2022-04-18 00:00:00 +0000,30, , ,0,          
C70001979,"",D000000066,Teamsters Union,10085,10000,85,2022-04-18 00:00:00 +0000,31, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
