pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000083508,Natera Inc,25800,0,25800,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000087351,Pivotal Ventures,10000,0,10000,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,University of California/San Francisco  ,6300,0,6300,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000073414,Crosslink Capital,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00396895,"",D000026221,Gilead Sciences,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,True Wind Capital,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00365122,"",D000029689,Visa Inc,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Xq,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00024521,"",D000000065,American Assn for Justice,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00441949,"",          ,JSTREETPAC,5000,2000,3000,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Rma,5000,0,5000,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Avalon Academy,3000,0,3000,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Ccsf Bookstore Auxiliary,2900,0,2900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,G&C Autobody,2900,0,2900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Kohara Group Llp,2900,0,2900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Law Office of Stephen Williams,2900,0,2900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Media Publisher,2900,0,2900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000088096,Raiser Organization,2900,0,2900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Service King,2900,0,2900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000089370,Westbridge Capital,2900,0,2900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Wmc,2900,0,2900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Woody & Gayle Hunt Family Foundation,2900,0,2900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,A123 Battery Systems,2800,0,2800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000036440,Overseas Service Corp,2800,0,2800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000043612,Presidio Partners,2800,0,2800,2022-04-18 00:00:00 +0000,23, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000031620,Armed Forces Marketing Council,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Becker Companies,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
C00410589,"",D000024686,Cerner Corp,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00135681,"",          ,Farmers Group,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Ground Floor Public Affairs,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
C00624148,"",D000068725,Horizon Therapeutics,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00040659,"",D000022128,National Assn of Federally Insured Credit Unions,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000037187,Roda Group,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000056308,S&K Sales,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
C00292318,"",D000023662,Thermo Fisher Scientific,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000075923,Miller & Olson,2124,0,2124,2022-04-18 00:00:00 +0000,38, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,2000,2000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,2000,2000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Greek Orthodox Memorial Park,2000,0,2000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Jadoo Tv,2000,0,2000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Jazz At the Ballroom,2000,0,2000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00345306,"",          ,National Postal Mail Handlers Union,2000,2000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Silicon Valley Education Foundation,2000,0,2000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00093054,"",D000000367,Walmart Inc,2000,2000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Riverside Interests,1900,0,1900,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000046136,"San Mateo County, CA",1675,0,1675,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000032055,Boston Consulting Group,1500,0,1500,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,"Carr, McClellan, Thompson & Horn",1500,0,1500,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Cinta Salon,1500,0,1500,2022-04-18 00:00:00 +0000,49, , ,0,          
C00199257,"",          ,Genentech Inc,1500,0,1500,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Marshall Realty,1500,0,1500,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Pacific Hotel Management,1500,0,1500,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Robert H Greene Real Estate,1500,0,1500,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Andersen Yazdi,1450,0,1450,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000068145,Sutter Health,1400,0,1400,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Nandi Yoga,1250,0,1250,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Town of Hillsborough,1012,0,1012,2022-04-18 00:00:00 +0000,59, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al                                  ",1000,0,1000,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Altman & Cronin,1000,0,1000,2022-04-18 00:00:00 +0000,60, , ,0,          
C00403881,"",          ,American College of Physicians Services,1000,1000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,1000,1000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,1000,1000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Andersen Tax,1000,0,1000,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Attore & Assoc,1000,0,1000,2022-04-18 00:00:00 +0000,60, , ,0,          
C00281212,"",D000000583,BAE Systems,1000,1000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000032630,Cj Lake,1000,0,1000,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Gardenscapes,1000,0,1000,2022-04-18 00:00:00 +0000,60, , ,0,          
C00428623,"",          ,Google Inc,1000,1000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00344325,"",D000026657,International Alliance Theatrical Stage Employees,1000,1000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00314997,"",D000027104,Laboratory Corp of America,1000,1000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,1000,1000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,NOT EMPLOYED,1000,0,1000,2022-04-18 00:00:00 +0000,60, , ,0,          
C00177972,"",D000021641,"Pillsbury, Winthrop et al",1000,1000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00286401,"",D000000145,Seafarers International Union,1000,1000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00098061,"",D000000619,Target Corp,1000,1000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,1000,1000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000037637,"Smith, Dawson & Andrews",750,0,750,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Newman Group,700,0,700,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Protiviti Inc,700,0,700,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Tompkins Tennis,700,0,700,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Putnam Auto,625,0,625,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Samceda,625,0,625,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Christine Hansen Dds,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,Circle Systems Inc,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",D000079727,Consilio Group,500,0,500,2022-04-18 00:00:00 +0000,85, , ,0,          
