pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00193433,"",D000000113,EMILY's List,208355,10000,198355,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000030671,University of Michigan                  ,174668,0,174668,2022-04-18 00:00:00 +0000,2,x, ,0,D000030671
         ,"",D000000109,Blue Cross/Blue Shield,125470,36500,88970,2022-04-18 00:00:00 +0000,3,x, ,0,D000000109
C00042366,"",D000021958,Democratic Senatorial Campaign Cmte,95304,95304,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00468314,"",D000025328,Democracy Engine,93993,0,93993,2022-04-18 00:00:00 +0000,5, , ,0,          
C00171926,"",D000069022,DuPont Co,89412,15500,73912,2022-04-18 00:00:00 +0000,6,x, ,0,D000069022
         ,"",D000000769,"Paul, Weiss et al",74725,0,74725,2022-04-18 00:00:00 +0000,7, , ,0,          
C00046474,"",D000000182,Ford Motor Co                           ,68664,26000,42664,2022-04-18 00:00:00 +0000,8,x, ,0,D000000182
C00076810,"",D000000155,General Motors,62355,32500,29855,2022-04-18 00:00:00 +0000,9,x, ,1,D000000155
C00388827,"",D000066716,Rock Holdings,61726,25000,36726,2022-04-18 00:00:00 +0000,10,x, ,0,D000066716
C00106146,"",D000000116,American Hospital Assn                  ,61658,31500,30158,2022-04-18 00:00:00 +0000,11,x, ,0,D000000116
C00552141,"",D000026462,Henry Ford Health System                ,61060,6000,55060,2022-04-18 00:00:00 +0000,12, , ,0,          
C00081547,"",D000000561,DTE Energy,57917,25000,32917,2022-04-18 00:00:00 +0000,13,x, ,0,D000000561
C00078451,"",D000000165,General Dynamics                        ,56338,38000,18338,2022-04-18 00:00:00 +0000,14,x, ,1,D000000165
C00128512,"",D000000103,JPMorgan Chase & Co,55956,31000,24956,2022-04-18 00:00:00 +0000,15,x, ,0,D000000103
         ,"",D000068102,Breakthru Beverage Group,54000,0,54000,2022-04-18 00:00:00 +0000,16, , ,0,          
