pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000030678,University of New Mexico,25623,0,25623,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000044028,Thornburg Investment Management,25200,0,25200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00468314,"",D000025328,Democracy Engine,24010,0,24010,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,NOT EMPLOYED,19128,0,19128,2022-04-18 00:00:00 +0000,4, , ,0,          
C00193433,"",D000000113,EMILY's List,16918,10000,6918,2022-04-18 00:00:00 +0000,5, , ,0,          
C00685297,"",D000074088,Elect Democratic Women,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00497073,"",          ,Lobo PAC,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00441949,"",          ,JStreetPAC,13310,0,13310,2022-04-18 00:00:00 +0000,8, , ,0,          
C70000492,"",D000000064,National Education Assn,10900,8000,2900,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000020276,Sandia National Laboratories            ,10891,0,10891,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Engility Corp,10550,0,10550,2022-04-18 00:00:00 +0000,11, , ,0,          
C00024521,"",D000000065,American Assn for Justice,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00513176,"",D000045957,Congressional Progressive Caucus PAC,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00344234,"",D000000520,PAC to the Future,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00327593,"",D000000208,Cassidy & Assoc,8750,0,8750,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000073978,K Rowe Investments,8700,0,8700,2022-04-18 00:00:00 +0000,20, , ,0,          
C00005157,"",D000000218,Boilermakers Union,8000,8000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000088793,Five & Dime General Stores,7900,0,7900,2022-04-18 00:00:00 +0000,22, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00007922,"",D000000074,Laborers Union,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000000406,University of California                ,7435,0,7435,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000037811,State of New Mexico,7066,0,7066,2022-04-18 00:00:00 +0000,28, , ,0,          
C00633248,"",          ,314 Action Fund,7000,7000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Keefe Law Firm,6800,0,6800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,New Mexico Cancer Center,6250,0,6250,2022-04-18 00:00:00 +0000,31, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00663609,"",          ,Progressive Majority PAC                          ,6000,6000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000031435,Alsop Louie Partners,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000073988,Center for the Art of Translation,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
