pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,W Holdings,20600,0,20600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00125641,"",D000000804,Intel Corp,17500,17500,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Petsmart Inc,17500,0,17500,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000031618,Arizona State University                ,17095,0,17095,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Atlantic Development & Investments,16600,0,16600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000028874,Salt River Project,16500,10000,6500,2022-04-18 00:00:00 +0000,6, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,16000,0,16000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000035692,Mayo Clinic,15100,0,15100,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000036616,Perkins Coie,13600,0,13600,2022-04-18 00:00:00 +0000,9, , ,0,          
C00695254,"",D000031782,Ballard Spahr LLP,13500,5000,8500,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000033400,El Dorado Holdings,12101,0,12101,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Eb5 New York State                                ,12100,0,12100,2022-04-18 00:00:00 +0000,12, , ,0,          
C00096156,"",D000000334,Honeywell International,12000,12000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000063067,Red Development,11850,0,11850,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,U-Haul Co,11700,0,11700,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Rango,11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000037647,Snell & Wilmer,10900,0,10900,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Conant Law Firm,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000036714,Pivotal Group,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000090133,Rmb Iii Consultancy,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Wrigley Investments,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Mesa Airlines,10000,0,10000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00344234,"",D000000520,PAC to the Future,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
