pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000033486,Epic Systems,37400,0,37400,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000031260,Abc Supply,35900,0,35900,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000087531,Derick Dermatology,33200,0,33200,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000089399,Diamond Assets,23200,0,23200,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Verisk Analytics,23200,0,23200,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,First Financial,21600,0,21600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,20000,20000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,20000,20000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00409516,"",D000025515,Direct Supply Inc,18700,10000,8700,2022-04-18 00:00:00 +0000,9, , ,0,          
C00004275,"",D000000087,American Bankers Assn,18100,17500,600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000083829,Ssi Technologies,17400,0,17400,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000018229,CUNA Mutual Group,16600,4500,12100,2022-04-18 00:00:00 +0000,12, , ,0,          
C00337626,"",D000000106,Morgan Stanley,15050,9000,6050,2022-04-18 00:00:00 +0000,13, , ,0,          
C00360354,"",D000023883,Amazon.com,15000,15000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00326595,"",D000021891,Capital One Financial,15000,15000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00211318,"",D000000131,Deloitte LLP,15000,15000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00284885,"",D000000419,Home Depot,15000,15000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00105981,"",D000000262,Investment Co Institute,15000,15000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00586859,"",          ,Mortgage Guaranty Insurance Corp,15000,15000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00158881,"",D000000249,New York Life Insurance,15000,15000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
