pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,90757,0,90757,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000070423,Arista Networks,23200,0,23200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000089346,GPS Investment Partners,23200,0,23200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,NOT EMPLOYED,20596,0,20596,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000067823,Alphabet Inc,19989,1000,18989,2022-04-18 00:00:00 +0000,5, , ,0,          
C00422774,"",          ,Frontline USA,18761,5576,13185,2022-04-18 00:00:00 +0000,6, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,18300,2000,16300,2022-04-18 00:00:00 +0000,7, , ,0,          
C00193433,"",D000000113,EMILY's List,18150,5000,13150,2022-04-18 00:00:00 +0000,8, , ,0,          
C00346353,"",          ,CRH Americas,18000,10000,8000,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000061035,Dover Development,17400,0,17400,2022-04-18 00:00:00 +0000,10, , ,0,          
C00411116,"",D000029147,SpaceX,15000,15000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000030671,University of Michigan,14829,0,14829,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000057803,Trinity Health,14035,0,14035,2022-04-18 00:00:00 +0000,13, , ,0,          
C00413484,"",D000024860,Clark Hill PLC,13272,500,12772,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000092411,Our Next Energy,12600,0,12600,2022-04-18 00:00:00 +0000,15, , ,0,          
C00076810,"",D000000155,General Motors,12215,10000,2215,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000090954,AJM Packaging,11660,0,11660,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000031478,American Educational Institute,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000034935,Jordan Real Estate Investments,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000035274,Lautrec Ltd,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000035401,Linda Dresner Inc,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000093950,O2 Investment Partners,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Rock Companies,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000037652,Soave Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000063612,SV Angel LLC,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Ul,11600,0,11600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000025391,Democratic Party of Michigan            ,11400,2800,8600,2022-04-18 00:00:00 +0000,28, , ,0,          
C00686055,"",          ,Jackson National Life Insurance,11290,11290,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00388827,"",D000066716,Rock Holdings,11000,11000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00248716,"",D000000461,Comcast Corp,10950,5000,5950,2022-04-18 00:00:00 +0000,31, , ,0,          
C00218263,"",D000029349,TCF Financial,10800,5000,5800,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Wixom Quick Stop & Go,10800,0,10800,2022-04-18 00:00:00 +0000,32, , ,0,          
C00081547,"",D000000561,DTE Energy,10250,10000,250,2022-04-18 00:00:00 +0000,34, , ,0,          
C00284885,"",D000000419,Home Depot,10150,10000,150,2022-04-18 00:00:00 +0000,35, , ,0,          
C00570606,"",D000046753,Aluminum Assn,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00252338,"",D000000365,American Chemistry Council,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00340075,"",          ,BASF Corp,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00375584,"",D000021820,Great Lakes PAC,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Measurecomp,10000,0,10000,2022-04-18 00:00:00 +0000,36, , ,0,          
C00541169,"",D000054156,National Assn of Manufacturers,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00158881,"",D000000249,New York Life Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00450692,"",D000046017,Poet LLC,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00488387,"",D000065813,Tri-State Maxed Out Women,10000,10000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,9795,6500,3295,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000034533,Honigman Llp,9400,0,9400,2022-04-18 00:00:00 +0000,49, , ,0,          
C00737940,"",D000033172,Dickinson Wright Pllc,9250,0,9250,2022-04-18 00:00:00 +0000,50, , ,0,          
C00151340,"",D000021569,DLA Piper,9050,0,9050,2022-04-18 00:00:00 +0000,51, , ,0,          
C00128512,"",D000000103,JPMorgan Chase & Co,8985,0,8985,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000000720,IBM Corp,8795,0,8795,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Yazaki North America,8750,0,8750,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000031435,Alsop Louie Partners,8700,0,8700,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000052426,Ischemix,8700,0,8700,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000089163,Nessel Development,8600,0,8600,2022-04-18 00:00:00 +0000,57, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",8500,8500,0,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000034396,Invariant LLC,8400,0,8400,2022-04-18 00:00:00 +0000,59, , ,0,          
C00202085,"",D000026717,"Jaffe, Raitt et al",8400,0,8400,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Lurin,8332,0,8332,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000033385,Edward C Levy Co,8300,0,8300,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",          ,Emagine Entertainment,8300,0,8300,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000087209,"Maddin, Hauser et al",8271,0,8271,2022-04-18 00:00:00 +0000,64, , ,0,          
C00388462,"",          ,ITC Holdings,8250,7500,750,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,DTN Management,8000,0,8000,2022-04-18 00:00:00 +0000,66, , ,0,          
C00430256,"",D000027692,Molina Healthcare,8000,8000,0,2022-04-18 00:00:00 +0000,66, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,7950,5000,2950,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Jaffe Counsel Plc,7800,0,7800,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Black Rpck,7700,0,7700,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,Gemini Risk Partners,7700,0,7700,2022-04-18 00:00:00 +0000,70, , ,0,          
C00046474,"",D000000182,Ford Motor Co,7614,6000,1614,2022-04-18 00:00:00 +0000,72, , ,0,          
C00301929,"",D000026977,"Kelley, Drye & Warren",7500,2500,5000,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Nachshon Ventures,7300,0,7300,2022-04-18 00:00:00 +0000,74, , ,0,          
