pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000073417,Medquest Pharmacy,23600,0,23600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,17825,15000,2825,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Western Slopes Security Services,16400,0,16400,2022-04-18 00:00:00 +0000,3, , ,0,          
C00303024,"",D000000104,Lockheed Martin,14000,14000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00275230,"",D000029969,Zions Bancorp                           ,13725,0,13725,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Infinite Mind,13700,0,13700,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Merrill,12500,0,12500,2022-04-18 00:00:00 +0000,7, , ,0,          
C00018945,"",D000021961,Dorsey & Whitney,11750,0,11750,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000021873,Blackstone Group                        ,11610,0,11610,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000037403,SCF Partners,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000065804,Thiel Capital,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,11000,11000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000030377,Third Point LLC,10800,0,10800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00142711,"",D000000100,Boeing Co,10502,10500,2,2022-04-18 00:00:00 +0000,14, , ,0,          
C00621912,"",          ,1-800 Contacts,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,SRS Capital Partners,10000,0,10000,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Dutko Government Relations,9200,0,9200,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000047491,ATS Communications,8700,0,8700,2022-04-18 00:00:00 +0000,19, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00088591,"",D000000170,Northrop Grumman,7500,7500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00078451,"",D000000165,General Dynamics,6000,6000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Barker Leavitt PLLC,5900,0,5900,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000053380,Marcus G Faust PC,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
C00323048,"",D000000422,Oracle Corp,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Allied Electric,5000,0,5000,2022-04-18 00:00:00 +0000,26, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000031471,American Capitol Group,5000,0,5000,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,American Global Strategies LLC,5000,0,5000,2022-04-18 00:00:00 +0000,26, , ,0,          
C00690735,"",D000032643,CGCN Group,5000,0,5000,2022-04-18 00:00:00 +0000,26, , ,0,          
C00035006,"",D000000015,Chevron Corp,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00558668,"",          ,Ultra Electronics USA,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00478099,"",D000045889,Atlas Air Worldwide,4500,4500,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000021982,Fierce Government Relations,4400,0,4400,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000089155,Sinclair Companies,4400,0,4400,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000034677,Innovative Federal Strategies,4250,0,4250,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,John Curtis for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00197160,"",D000030345,Texans for Lamar Smith,4000,4000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
