pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00360354,"",D000023883,Amazon.com,34750,10000,24750,2022-04-18 00:00:00 +0000,1, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,11000,10000,1000,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000072028,Valve Corp,9850,0,9850,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Goodman Real Estate,9731,0,9731,2022-04-18 00:00:00 +0000,4, , ,0,          
C00024349,"",D000023819,Alaska Air Group,9316,1000,8316,2022-04-18 00:00:00 +0000,5, , ,0,          
C00227546,"",D000000115,Microsoft Corp,9011,2500,6511,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,NOT EMPLOYED,8034,0,8034,2022-04-18 00:00:00 +0000,7, , ,0,          
C00096156,"",D000000334,Honeywell International,8000,8000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Ichor Strategies,6316,0,6316,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000049183,"City of Tacoma, WA",6005,0,6005,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Adams Financial Concepts,5931,0,5931,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000031958,Bill & Melinda Gates Foundation,5903,0,5903,2022-04-18 00:00:00 +0000,13, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Osc,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000087729,Richmark Label,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000036885,Puyallup Tribe Of Indians,5700,0,5700,2022-04-18 00:00:00 +0000,17, , ,0,          
C00685297,"",D000074088,Elect Democratic Women,5500,5500,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00125641,"",D000000804,Intel Corp,5100,5000,100,2022-04-18 00:00:00 +0000,19, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5025,5000,25,2022-04-18 00:00:00 +0000,20, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00351031,"",D000024150,Asian American Action Fund,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00148031,"",D000000352,Caterpillar Inc,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
