pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00402081,"",D000022229,Rpm International                                 ,105424,10000,95424,2022-04-18 00:00:00 +0000,1,x, ,1,D000022229
C00350744,"",D000000085,Goldman Sachs,59900,1500,58400,2022-04-18 00:00:00 +0000,2, , ,0,          
C00672790,"",D000030537,Trident Seafoods,53950,8400,45550,2022-04-18 00:00:00 +0000,3,x, ,1,D000030537
C00478099,"",D000045889,Atlas Air Worldwide,53925,41500,12425,2022-04-18 00:00:00 +0000,4,x, ,0,D000045889
C00564377,"",          ,Chugach Alaska,53850,37500,16350,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000021972,Elliott Management,49700,0,49700,2022-04-18 00:00:00 +0000,6,x, ,0,D000021972
C00068692,"",D000000089,FedEx Corp,48937,36000,12937,2022-04-18 00:00:00 +0000,7,x, ,2,D000000089
C00215285,"",D000000317,General Atomics,46750,30000,16750,2022-04-18 00:00:00 +0000,8,x, ,0,D000000317
C00351635,"",D000024544,"Calfee, Halter & Griswold",45800,0,45800,2022-04-18 00:00:00 +0000,9, , ,0,          
C00027466,"",D000036122,National Republican Senatorial Cmte,44700,44600,100,2022-04-18 00:00:00 +0000,10, , ,0,          
C00442434,"",D000000959,Qurate Retail,44590,22500,22090,2022-04-18 00:00:00 +0000,11, , ,0,          
C00104802,"",D000000350,Delta Air Lines,41400,40000,1400,2022-04-18 00:00:00 +0000,12,x, ,0,D000000350
C00007922,"",D000000074,Laborers Union,40600,40500,100,2022-04-18 00:00:00 +0000,13,x, ,0,D000000074
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,38500,38500,0,2022-04-18 00:00:00 +0000,14,x, ,2,D000000356
C00248716,"",D000000461,Comcast Corp,38060,38000,60,2022-04-18 00:00:00 +0000,15,x, ,3,D000000461
C00112896,"",D000000303,ConocoPhillips,37775,10000,27775,2022-04-18 00:00:00 +0000,16, , ,0,          
C00088591,"",D000000170,Northrop Grumman,37267,37000,267,2022-04-18 00:00:00 +0000,17,x, ,1,D000000170
         ,"",D000021873,Blackstone Group                        ,37100,0,37100,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000034469,Hilcorp Energy,36999,0,36999,2022-04-18 00:00:00 +0000,19,x, ,0,D000034469
         ,"",          ,Armstrong Oil & Gas,36300,0,36300,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000031741,Axiom Investors,35400,0,35400,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Gci Communication,34554,0,34554,2022-04-18 00:00:00 +0000,22, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,34250,34000,250,2022-04-18 00:00:00 +0000,23,x, ,3,D000022131
         ,"",D000021757,Berkshire Hathaway,34165,32500,1665,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000000832,Carnival Corp,34000,12500,21500,2022-04-18 00:00:00 +0000,25,x, ,1,D000000832
C00689091,"",D000000810,Carlyle Group                           ,32500,17500,15000,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000035300,Leach Capital,31200,0,31200,2022-04-18 00:00:00 +0000,27, , ,0,          
C00064766,"",D000000081,United Parcel Service,31162,30500,662,2022-04-18 00:00:00 +0000,28,x, ,0,D000000081
C00010470,"",D000000118,Union Pacific Corp,31000,31000,0,2022-04-18 00:00:00 +0000,29,x, ,0,D000000118
         ,"",D000066695,Northwest Alaska Native Assn,30750,30500,250,2022-04-18 00:00:00 +0000,30,x, ,0,D000066695
C00284885,"",D000000419,Home Depot,30643,30000,643,2022-04-18 00:00:00 +0000,31,x, ,0,D000000419
C00491654,"",D000065613,Citizens for Prosperity in America Today,30554,7554,23000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00096156,"",D000000334,Honeywell International,30306,30000,306,2022-04-18 00:00:00 +0000,33,x, ,2,D000000334
C00015933,"",D000000658,Pinnacle West Capital,30300,27500,2800,2022-04-18 00:00:00 +0000,34,x, ,1,D000000658
         ,"",D000037257,Royal Caribbean Group,30250,0,30250,2022-04-18 00:00:00 +0000,35,x, ,0,D000037257
C00078451,"",D000000165,General Dynamics,30125,30000,125,2022-04-18 00:00:00 +0000,36,x, ,1,D000000165
C00366070,"",D000025772,Federal Aviation Admin Managers Assn,30000,30000,0,2022-04-18 00:00:00 +0000,37,x, ,0,D000025772
