pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C70000492,"",D000000064,National Education Assn,45200,2000,43200,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000667,Mack-Cali Realty,44800,0,44800,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000073428,RXR Realty,34800,0,34800,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000030094,Sterling Equities,31500,0,31500,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Glenwood Mason Supply Co,29000,0,29000,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Chubb Group,23200,0,23200,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Teitler & Teitler,23200,0,23200,2022-04-18 00:00:00 +0000,6, , ,0,          
C00286401,"",D000000145,Seafarers International Union           ,17500,17500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Beb Capital LLC,17400,0,17400,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Gallaghers Steak House,17400,0,17400,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000034037,Gfi Group,17400,0,17400,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Gisi,17400,0,17400,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000022230,Rudin Management,17400,0,17400,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000037589,Silverstein Properties,17400,0,17400,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000071290,Spirit Airlines,17400,0,17400,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Mid Island Collision,15800,0,15800,2022-04-18 00:00:00 +0000,16, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",15100,15000,100,2022-04-18 00:00:00 +0000,17, , ,0,          
C00106146,"",D000000116,American Hospital Assn,15000,15000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00011262,"",D000024486,Brotherhood of Railroad Signalmen,15000,15000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000034427,Henry Schein Inc,14500,0,14500,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000093987,Royalnest Corp,14500,0,14500,2022-04-18 00:00:00 +0000,20, , ,0,          
C00662791,"",D000075272,Arbor Realty Trust,14100,2500,11600,2022-04-18 00:00:00 +0000,22, , ,0,          
C00096156,"",D000000334,Honeywell International,13000,13000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,12500,12500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Cibc,12400,0,12400,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000074437,Aag Management,12350,0,12350,2022-04-18 00:00:00 +0000,26, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,12000,8000,4000,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Law Office of John W Hughes,11650,0,11650,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000031267,"Abrams, Fensterman et al",11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Bactolac Pharmaceutical,11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
C00468314,"",D000025328,Democracy Engine,11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000035100,Kimco Realty,11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Liro Group,11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,MOAC Mall Holdings LLC,11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Mt Hope Trucking,11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Nassau Candy Distributors,11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,North Shore School District,11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000090707,Ripco Real Estate,11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000037458,Seeger Weiss Llp,11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000037602,"Simpson, Thacher & Bartlett",11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Sterling Risk Insurance,11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,World Harmony Foundation (Whf),11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Wrm America,11600,0,11600,2022-04-18 00:00:00 +0000,29, , ,0,          
C00142372,"",D000028280,Penn Mutual Life Insurance,11400,0,11400,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Hercules Pharmaceuticals,10800,0,10800,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000071887,ICM Partners,10800,0,10800,2022-04-18 00:00:00 +0000,45, , ,0,          
C00151340,"",D000021569,DLA Piper,10500,2500,8000,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000060179,Atco Properties & Management,10250,0,10250,2022-04-18 00:00:00 +0000,48, , ,0,          
C70001979,"",D000000066,Teamsters Union                         ,10100,10000,100,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Alderman & Co,10000,0,10000,2022-04-18 00:00:00 +0000,50, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,10000,10000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C00671693,"",D000052372,Institute for Portfolio Alternatives,10000,10000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C00486217,"",          ,LPL Financial,10000,10000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,10000,10000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,10000,10000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,10000,10000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",          ,Protiviti Consulting,10000,0,10000,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",          ,Global Industrial,9600,0,9600,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,"Newmark, Grubb et al",8700,0,8700,2022-04-18 00:00:00 +0000,59, , ,0,          
C00774075,"",D000090975,Arthritis Knee Pain Centers,8500,8500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,8500,8500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00105981,"",D000000262,Investment Co Institute,8000,8000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",          ,Scotto Brothers,7900,0,7900,2022-04-18 00:00:00 +0000,63, , ,0,          
C00004275,"",D000000087,American Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,7500,7500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Med-Enroll,7500,0,7500,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000088992,Synergi Partners,7500,0,7500,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000054886,NYU Langone Medical Center,7010,0,7010,2022-04-18 00:00:00 +0000,68, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,7000,7000,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00364778,"",D000000090,Bank of America,7000,5000,2000,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Kerry M Fleming & Assoc,7000,0,7000,2022-04-18 00:00:00 +0000,69, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,7000,6500,500,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Nash Builders LLC,7000,0,7000,2022-04-18 00:00:00 +0000,69, , ,0,          
C00013961,"",D000000636,Sheet Metal & Air Conditioning Contractors Assn,7000,7000,0,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Acd,6800,0,6800,2022-04-18 00:00:00 +0000,75, , ,0,          
C00404194,"",D000021766,Genworth Financial,6800,1000,5800,2022-04-18 00:00:00 +0000,75, , ,0,          
C00696591,"",D000088444,Across the Aisle PAC,6500,6500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00635615,"",          ,Caithness Services,6500,6500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,6500,6500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,6000,6000,0,2022-04-18 00:00:00 +0000,80, , ,0,          
C00485466,"",D000035373,Liberty Maritime,6000,6000,0,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000035523,M&R Management,6000,0,6000,2022-04-18 00:00:00 +0000,80, , ,0,          
C00197095,"",          ,Northwestern Mutual Life Insurance,6000,6000,0,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Ns Practice,6000,0,6000,2022-04-18 00:00:00 +0000,80, , ,0,          
C00033779,"",D000022214,Real Estate Roundtable,6000,6000,0,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000081947,Redwood Capital Investments,6000,1000,5000,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Activate Venture Partners,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Andrews Coffee Shop,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",D000021842,"Angelo, Gordon & Co",5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Arbor,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Arborcrowd,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Bedford Insurance Brokerage,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,"Bergman, Marion Md",5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",D000021873,Blackstone Group,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Bryant & Cooper,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Ciampa Management,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Ciampa Organization,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Cvc Credit Partners,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,"Exec, Comm LLC",5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Exec/Comm LLC,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Executive Affiliates Inc,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Fidelity Corp,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",D000043982,Gamco Investors,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",D000071415,GFP Real Estate,5800,0,5800,2022-04-18 00:00:00 +0000,87, , ,0,          
