pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000071886,Mackenzie Capital Management,28200,0,28200,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000811,Kirkland & Ellis,24500,0,24500,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000036453,Pace School                             ,23200,0,23200,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000063612,Sv Angel LLC,21600,0,21600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00248716,"",D000000461,Comcast Corp,19140,7500,11640,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",17400,0,17400,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000090826,Tusk Holdings,15800,0,15800,2022-04-18 00:00:00 +0000,7, , ,0,          
C00197749,"",D000000128,Walt Disney Co,15500,0,15500,2022-04-18 00:00:00 +0000,8, , ,0,          
C00360354,"",D000023883,Amazon.com                              ,13807,10000,3807,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,NOT EMPLOYED,13804,0,13804,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000021939,Cornerstone Government Affairs,13700,0,13700,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000036071,Myron M Cherry & Assoc,13200,0,13200,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000035430,Loeb Partners,12950,0,12950,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000000615,"Wachtell, Lipton et al",12205,0,12205,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,California Automotive Retailing Group,12150,0,12150,2022-04-18 00:00:00 +0000,15, , ,0,          
C00280222,"",D000019986,KPMG LLP,11625,5000,6625,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000031369,Akonadi Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
C00435982,"",D000025602,Dupage Medical Group,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000070522,Prospect Hotel Advisors,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Sur La Table,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
C00151340,"",D000021569,DLA Piper,11000,2000,9000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00109017,"",D000000076,AT&T Inc,10985,5000,5985,2022-04-18 00:00:00 +0000,22, , ,0,          
C00274431,"",D000000348,Unitedhealth Group,10815,0,10815,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Wareham Property Group,10800,0,10800,2022-04-18 00:00:00 +0000,24, , ,0,          
C00211318,"",D000000131,Deloitte LLP,10500,10000,500,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000000536,Latham & Watkins,10175,0,10175,2022-04-18 00:00:00 +0000,26, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,10000,10000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00177469,"",D000000290,PG&E Corp,10000,10000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,9320,3500,5820,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000000406,University of California                ,9284,0,9284,2022-04-18 00:00:00 +0000,31, , ,0,          
C00362707,"",D000000374,Cisco Systems,8810,2500,6310,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000032239,California Waste Solutions,8700,0,8700,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000032937,Creative Artists Agency,8700,0,8700,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Greenspun Media Group,8700,0,8700,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000071355,Haggard Law Firm,8700,0,8700,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000022194,Power Rogers Llp,8700,0,8700,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000073418,Roberti Global,8700,0,8700,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000030198,Sunset Development,8700,0,8700,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000058709,Workday Inc,8700,0,8700,2022-04-18 00:00:00 +0000,33, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,8500,8500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,8500,8500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00502906,"",D000033563,Meta,7978,2500,5478,2022-04-18 00:00:00 +0000,44, , ,0,          
C00797530,"",D000046464,Aerovironment Inc,7900,0,7900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Forum Gallery,7900,0,7900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Mw Properties,7900,0,7900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000087228,Hanson Bridgett Llp,7851,0,7851,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Bugler Construction,6800,0,6800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Warner Brothers,6800,0,6800,2022-04-18 00:00:00 +0000,49, , ,0,          
C00008268,"",D000000178,Transport Workers Union,6500,6500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000000464,Sullivan & Cromwell,6400,0,6400,2022-04-18 00:00:00 +0000,52, , ,0,          
C00625988,"",D000070692,Future Forum PAC,6000,6000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000089016,Jackson Hole Group,5900,0,5900,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000086994,"Roxborough, Pomerance et al",5900,0,5900,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000032620,City University of New York,5820,0,5820,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,1st One Hundred,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Ar Asset Management,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000070483,Blue Haven Initiative,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000042582,Boston Beer Co,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000032472,Certain Software Inc,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000072013,Cloobeck Companies,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
C00804179,"",D000072255,Coinbase,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Cole Management & Engineering,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Cowen Prime Services LLC,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Darcie Kent Vineyards,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Dcg Strategies,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,"Dicello, Levitt & Casey",5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000068048,Draftkings,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Eclipse Data Technologies,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Eden Realty,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000068512,Emerson Collective,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Evolution Media,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000061421,Gehry Partners,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,HIALET ASSOCIATES,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000034935,Jordan Real Estate Investments,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000073978,K Rowe Investments,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Keiler Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Kpg Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000035181,"Kramer, Levin et al",5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000088554,Langelier Co,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000062237,Lw Lacrosse LLC,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
C00145342,"",D000000563,"Manatt, Phelps & Phillips",5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000062286,Manocherian Brothers,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000088996,Marble Bridge Funding Group,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000044240,Moelis & Co,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
C00278895,"",D000022145,"Nelson, Mullins et al",5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000090021,New Pacific Realty,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Ostrow Llp,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Parker Media,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Physician Researcher,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Smith Lacien,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Torreya,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,TranscendIT Health,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Valley Emergency Physicians,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000022313,"Waters, Kraus & Paul",5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000031097,"Wilson, Sonsini et al                   ",5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000031117,Winmark Corp,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000037205,Wonderful Co,5800,0,5800,2022-04-18 00:00:00 +0000,57, , ,0,          
