pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C90005786,"",D000000288,League of Conservation Voters           ,515145,7446,507699,2022-04-18 00:00:00 +0000,1, , ,0,          
C00350744,"",D000000085,Goldman Sachs,172455,28500,143955,2022-04-18 00:00:00 +0000,2,x, ,1,D000000085
         ,"",D000021757,Berkshire Hathaway,89805,37500,52305,2022-04-18 00:00:00 +0000,3, , ,0,          
C00248716,"",D000000461,Comcast Corp,86070,35000,51070,2022-04-18 00:00:00 +0000,4,x, ,2,D000000461
         ,"",D000000109,Blue Cross/Blue Shield,80770,57000,23770,2022-04-18 00:00:00 +0000,5,x, ,0,D000000109
C00426775,"",D000000672,Charter Communications,73938,36000,37938,2022-04-18 00:00:00 +0000,6,x, ,1,D000000672
         ,"",D000000769,"Paul, Weiss et al",70388,0,70388,2022-04-18 00:00:00 +0000,7, , ,0,          
C00540518,"",D000021890,Capital Group Companies                 ,69325,27500,41825,2022-04-18 00:00:00 +0000,8,x, ,0,D000021890
         ,"",D000043963,State of Montana,64344,0,64344,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000030674,University of Montana                   ,63142,0,63142,2022-04-18 00:00:00 +0000,10, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,62243,26000,36243,2022-04-18 00:00:00 +0000,11,x, ,2,D000000115
C00365122,"",D000029689,Visa Inc,59943,35000,24943,2022-04-18 00:00:00 +0000,12,x, ,0,D000029689
C00128512,"",D000000103,JPMorgan Chase & Co,59088,31500,27588,2022-04-18 00:00:00 +0000,13,x, ,0,D000000103
         ,"",D000043824,Montana State University                ,56007,0,56007,2022-04-18 00:00:00 +0000,14, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,55500,33500,22000,2022-04-18 00:00:00 +0000,15,x, ,1,D000000202
         ,"",D000022252,Simmons Hanly Conroy,54550,0,54550,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000000406,University of California                ,52928,0,52928,2022-04-18 00:00:00 +0000,17, , ,0,          
C00109017,"",D000000076,AT&T Inc,52454,27500,24954,2022-04-18 00:00:00 +0000,18,x, ,0,D000000076
C00197749,"",D000000128,Walt Disney Co,52211,3500,48711,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000021873,Blackstone Group                        ,52195,0,52195,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000063162,"Robbins, Geller et al",51400,0,51400,2022-04-18 00:00:00 +0000,21, , ,0,          
C00215046,"",D000000328,Fidelity Investments,48515,21500,27015,2022-04-18 00:00:00 +0000,22, , ,0,          
C00211318,"",D000000131,Deloitte LLP,48241,45000,3241,2022-04-18 00:00:00 +0000,23,x,x,0,D000000131
C00042366,"",D000021958,Democratic Senatorial Campaign Cmte,47400,47400,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000022121,Motley Rice LLC,45400,0,45400,2022-04-18 00:00:00 +0000,25, , ,0,          
C00676544,"",D000037784,Starkey Hearing Technologies,44900,7500,37400,2022-04-18 00:00:00 +0000,26,x, ,0,D000037784
C00390583,"",D000000724,"Brownstein, Hyatt et al",43910,7500,36410,2022-04-18 00:00:00 +0000,27, , ,0,          
C00104802,"",D000000350,Delta Air Lines,43831,31000,12831,2022-04-18 00:00:00 +0000,28,x, ,1,D000000350
C00030809,"",D000022132,National Community Pharmacists Assn,43000,42500,500,2022-04-18 00:00:00 +0000,29,x, ,0,D000022132
         ,"",D000066687,Forbes Tate Partners,40600,0,40600,2022-04-18 00:00:00 +0000,30, ,x,1,D000066687
         ,"",D000067802,Subject Matter,39900,0,39900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000067823,Alphabet Inc,39193,21000,18193,2022-04-18 00:00:00 +0000,32, , ,0,          
C70002563,"",D000000062,National Assn of Realtors               ,39025,39000,25,2022-04-18 00:00:00 +0000,33,x, ,0,D000000062
C00218263,"",D000029349,TCF Financial                           ,38400,10000,28400,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000000750,Stanford University,37919,0,37919,2022-04-18 00:00:00 +0000,35, , ,0,          
C00016683,"",D000000138,Pfizer Inc                              ,37858,23500,14358,2022-04-18 00:00:00 +0000,36,x, ,0,D000000138
         ,"",D000031082,"Williams, Hart et al",37800,0,37800,2022-04-18 00:00:00 +0000,37, , ,0,          
C00004275,"",D000000087,American Bankers Assn                   ,37650,35000,2650,2022-04-18 00:00:00 +0000,38,x, ,0,D000000087
C00387555,"",D000019809,Council for a Livable World,37049,200,36849,2022-04-18 00:00:00 +0000,39, , ,0,          
