pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00308478,"",D000029615,USA Rice Federation,27499,27499,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00193631,"",D000000359,Farm Credit Council,20000,20000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00248849,"",D000025187,CropLife America,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Nulton Diagnostic & Treatment                     ,14300,0,14300,2022-04-18 00:00:00 +0000,5, , ,0,          
C00416297,"",D000000431,National Cotton Council,13500,13500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00076299,"",D000023666,CME Group,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00503680,"",D000049867,Crop Insurance Professionals Assn,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00236489,"",D000000186,Koch Industries,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Bw Quality Growers,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000073694,FTX.US,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000031217,Zippo Manufacturing,11100,0,11100,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,B&R Electronics,10800,0,10800,2022-04-18 00:00:00 +0000,15, , ,0,          
C00094573,"",D000000582,Alabama Farmers Federation,10500,10000,500,2022-04-18 00:00:00 +0000,16, , ,0,          
C00325324,"",D000027865,National Milk Producers Federation,10400,7500,2900,2022-04-18 00:00:00 +0000,17, , ,0,          
C00300426,"",D000029138,Southern Cotton Growers Inc,10250,10000,250,2022-04-18 00:00:00 +0000,18, , ,0,          
C00166355,"",D000024553,California Citrus Mutual,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00041954,"",D000070197,California Farm Bureau,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00204099,"",D000000408,Deere & Co,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00384354,"",          ,Michigan Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00730903,"",D000023153,Mississippi Farm Bureau,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
