pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000071833,Jackson Family Wines,34870,0,34870,2022-04-18 00:00:00 +0000,1, , ,0,          
C00065219,"",D000000711,Wine Institute,16203,15000,1203,2022-04-18 00:00:00 +0000,2, , ,0,          
C00300376,"",D000025525,Doctors Co,14000,14000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00105981,"",D000000262,Investment Co Institute,14000,14000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000042784,Trinchero Family Estates,12800,0,12800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,12500,12500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00305318,"",D000000675,Blue Dog PAC,12000,12000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,12000,12000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000037768,Staglin Family Vineyards,11028,0,11028,2022-04-18 00:00:00 +0000,9, , ,0,          
C00388827,"",D000066716,Rock Holdings,11000,11000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00019653,"",D000000239,Edison International,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00064774,"",D000000321,NextEra Energy,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00177469,"",D000000290,PG&E Corp,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00193631,"",D000000359,Farm Credit Council,9999,9999,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000000343,Northwestern Mutual,9250,5000,4250,2022-04-18 00:00:00 +0000,19, , ,0,          
C00426874,"",D000025782,Federation of Exchange Accommodators,9000,9000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Silver Oak Cellars,8808,0,8808,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Fulton Family Winery,8725,0,8725,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Bella Oaks Vineyard,8700,0,8700,2022-04-18 00:00:00 +0000,23, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",8253,2500,5753,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,E&J Gallo Winery,8000,0,8000,2022-04-18 00:00:00 +0000,25, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000036707,Pisces Inc,7900,0,7900,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Araujo Cellars LLC,7800,0,7800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000075564,Federated Indians Of Graton Rancheria,7800,0,7800,2022-04-18 00:00:00 +0000,28, , ,0,          
C00362640,"",          ,Calpine Corp,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00108035,"",D000022105,McKesson Corp,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00158881,"",D000000249,New York Life Insurance,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000087701,Benovia Winery,7003,0,7003,2022-04-18 00:00:00 +0000,33, , ,0,          
C00034157,"",D000000126,AFLAC Inc,7000,7000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00442913,"",D000024518,Burns & McDonnell,7000,7000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00493551,"",D000000172,MetLife Inc,7000,7000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00509356,"",D000069734,MMC Corp,7000,7000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,6500,6500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
