pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000087002,Ashley Furniture Industries,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000030599,Uline Inc,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00197095,"",          ,Northwestern Mutual Life Insurance,8900,8900,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Goldleaf Development,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Greenheck Group,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000051661,Hartung Brothers Inc,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Krist Oil Co,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Rennes Group,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000087966,Rice Lake Weighing Systems,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,River Valley,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000058460,Wausau Homes,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000033751,Forest County Potawatomi Community,5000,0,5000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00552851,"",D000068902,House Freedom Fund,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00377689,"",D000022207,Prosperity Action,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000091387,Clack Corp,4900,0,4900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Karl'S Transport,4000,0,4000,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Kt Merrill LLC,3600,0,3600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000034860,Jim Jordan for Congress,3000,3000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Ariensco,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000060826,County Materials,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Incredible Bank,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000000811,Kirkland & Ellis,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000035674,Masterson Co,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Osceola Medical Center,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Rands Trucking,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,River Rock Inn,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000063179,Roehl Transport,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000037383,Sargento Foods,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
