pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000021873,Blackstone Group                        ,106284,0,106284,2022-04-18 00:00:00 +0000,1, , ,0,          
C00386524,"",D000072145,Truist Financial,98460,28000,70460,2022-04-18 00:00:00 +0000,2,x, ,1,D000072145
         ,"",D000067317,British American Tobacco,98125,33000,65125,2022-04-18 00:00:00 +0000,3, , ,0,          
C00083535,"",D000000477,Duke Energy,84704,35000,49704,2022-04-18 00:00:00 +0000,4,x, ,2,D000000477
C00300178,"",D000019743,Wells Fargo,76812,22500,54312,2022-04-18 00:00:00 +0000,5,x, ,1,D000019743
C00426775,"",D000000672,Charter Communications,75366,31500,43866,2022-04-18 00:00:00 +0000,6,x, ,1,D000000672
C00215046,"",D000000328,Fidelity Investments                    ,72954,27000,45954,2022-04-18 00:00:00 +0000,7, , ,0,          
C00350744,"",D000000085,Goldman Sachs,70975,22500,48475,2022-04-18 00:00:00 +0000,8,x, ,1,D000000085
C00089136,"",D000000067,Altria Group,67310,33000,34310,2022-04-18 00:00:00 +0000,9,x, ,3,D000000067
C00364778,"",D000000090,Bank of America,64390,16500,47890,2022-04-18 00:00:00 +0000,10, , ,0,          
C00540518,"",D000021890,Capital Group Companies,63750,27500,36250,2022-04-18 00:00:00 +0000,11,x, ,0,D000021890
C00248716,"",D000000461,Comcast Corp,62669,40000,22669,2022-04-18 00:00:00 +0000,12,x, ,2,D000000461
C00388827,"",D000066716,Rock Holdings,60925,20000,40925,2022-04-18 00:00:00 +0000,13, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,59900,37500,22400,2022-04-18 00:00:00 +0000,14,x, ,0,D000000198
C00536573,"",D000066804,AbbVie Inc,56470,34500,21970,2022-04-18 00:00:00 +0000,15,x, ,0,D000066804
C00107235,"",D000000124,PricewaterhouseCoopers,55903,40000,15903,2022-04-18 00:00:00 +0000,16,x,x,0,D000000124
         ,"",D000020995,UBS AG,53074,40000,13074,2022-04-18 00:00:00 +0000,17, , ,0,          
C00251876,"",D000000391,Amgen Inc,50435,31500,18935,2022-04-18 00:00:00 +0000,18,x, ,3,D000000391
C00186064,"",D000028398,PNC Financial Services,47957,44500,3457,2022-04-18 00:00:00 +0000,19,x, ,0,D000028398
         ,"",D000021972,Elliott Management,46900,0,46900,2022-04-18 00:00:00 +0000,20, , ,0,          
C00379628,"",D000028057,Nucor Corp,46738,18500,28238,2022-04-18 00:00:00 +0000,21,x, ,0,D000028057
C00016683,"",D000000138,Pfizer Inc,46590,24000,22590,2022-04-18 00:00:00 +0000,22,x, ,2,D000000138
C00225342,"",D000022103,McGuireWoods LLP,45925,10000,35925,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000021845,Apollo Global Management,45398,2500,42898,2022-04-18 00:00:00 +0000,24, , ,0,          
C00027466,"",D000036122,National Republican Senatorial Cmte,45262,44600,662,2022-04-18 00:00:00 +0000,25, , ,0,          
C00096156,"",D000000334,Honeywell International,44985,36500,8485,2022-04-18 00:00:00 +0000,26,x, ,1,D000000334
C00236489,"",D000000186,Koch Industries,44150,35000,9150,2022-04-18 00:00:00 +0000,27,x, ,1,D000000186
C00097485,"",D000000275,Merck & Co,44083,37500,6583,2022-04-18 00:00:00 +0000,28,x, ,1,D000000275
C00493304,"",D000000141,Prudential Financial,42596,17500,25096,2022-04-18 00:00:00 +0000,29,x, ,2,D000000141
C00211318,"",D000000131,Deloitte LLP,42533,40000,2533,2022-04-18 00:00:00 +0000,30,x,x,0,D000000131
C00128512,"",D000000103,JPMorgan Chase & Co,42492,24000,18492,2022-04-18 00:00:00 +0000,31,x, ,1,D000000103
C00284885,"",D000000419,Home Depot,41958,40000,1958,2022-04-18 00:00:00 +0000,32,x, ,0,D000000419
C00280222,"",D000019986,KPMG LLP,41716,40000,1716,2022-04-18 00:00:00 +0000,33,x,x,0,D000019986
C00109017,"",D000000076,AT&T Inc,41514,37000,4514,2022-04-18 00:00:00 +0000,34,x, ,5,D000000076
C00502906,"",D000033563,Meta,40617,12500,28117,2022-04-18 00:00:00 +0000,35, , ,0,          
C00552778,"",D000070990,Live Oak Bank,39600,10000,29600,2022-04-18 00:00:00 +0000,36, , ,0,          
C00004275,"",D000000087,American Bankers Assn                   ,38995,35000,3995,2022-04-18 00:00:00 +0000,37,x, ,1,D000000087
C00088591,"",D000000170,Northrop Grumman,38908,30000,8908,2022-04-18 00:00:00 +0000,38,x, ,2,D000000170
C00064766,"",D000000081,United Parcel Service                   ,38286,35000,3286,2022-04-18 00:00:00 +0000,39,x, ,1,D000000081
C00104901,"",D000000162,"Akin, Gump et al",37130,12250,24880,2022-04-18 00:00:00 +0000,40, , ,0,          
C00432252,"",D000022216,Regions Financial,36126,30000,6126,2022-04-18 00:00:00 +0000,41,x, ,1,D000022216
         ,"",D000068060,ClearPath Foundation,36000,0,36000,2022-04-18 00:00:00 +0000,42,x, ,0,D000068060
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,36000,36000,0,2022-04-18 00:00:00 +0000,42,x, ,0,D000000356
C00227744,"",D000000098,Ernst & Young,35858,30000,5858,2022-04-18 00:00:00 +0000,44,x,x,1,D000000098
C00307249,"",D000021913,Citizens Financial Group                ,35407,7500,27907,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000081450,Brighthouse Financial,35000,0,35000,2022-04-18 00:00:00 +0000,46, , ,0,          
C00349746,"",D000021885,California Dairies Inc,35000,35000,0,2022-04-18 00:00:00 +0000,46,x, ,0,D000021885
C00004812,"",D000000309,Mortgage Bankers Assn,35000,35000,0,2022-04-18 00:00:00 +0000,46,x, ,1,D000000309
C00130773,"",D000000755,National Multifamily Housing Council,35000,35000,0,2022-04-18 00:00:00 +0000,46,x, ,0,D000000755
C00104802,"",D000000350,Delta Air Lines,34473,25000,9473,2022-04-18 00:00:00 +0000,50,x, ,0,D000000350
C00097568,"",D000072615,Raytheon Technologies,33316,25500,7816,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000034993,Kane Realty,33210,0,33210,2022-04-18 00:00:00 +0000,52, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,33000,33000,0,2022-04-18 00:00:00 +0000,53,x, ,2,D000000095
C00346288,"",D000028434,Premier Inc,32886,15000,17886,2022-04-18 00:00:00 +0000,54, , ,0,          
C00078451,"",D000000165,General Dynamics                        ,32564,31000,1564,2022-04-18 00:00:00 +0000,55,x, ,1,D000000165
C00404194,"",D000021766,Genworth Financial,32400,13200,19200,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000000811,Kirkland & Ellis,32300,0,32300,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000030079,Stedman West Interests,32000,0,32000,2022-04-18 00:00:00 +0000,58, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,31896,25000,6896,2022-04-18 00:00:00 +0000,59,x, ,0,D000000348
         ,"",          ,Lm Restaurants,31800,0,31800,2022-04-18 00:00:00 +0000,60, , ,0,          
C00418582,"",D000029511,EmergeOrtho,31569,10000,21569,2022-04-18 00:00:00 +0000,61, , ,0,          
C00068692,"",D000000089,FedEx Corp,31301,19000,12301,2022-04-18 00:00:00 +0000,62,x, ,1,D000000089
C70002563,"",D000000062,National Assn of Realtors,31000,27500,3500,2022-04-18 00:00:00 +0000,63,x, ,1,D000000062
         ,"",D000036810,Prestage Farms,30810,0,30810,2022-04-18 00:00:00 +0000,64, , ,0,          
C00227546,"",D000000115,Microsoft Corp,30442,23500,6942,2022-04-18 00:00:00 +0000,65,x, ,4,D000000115
C00040535,"",D000000217,American Express,30195,30000,195,2022-04-18 00:00:00 +0000,66,x, ,1,D000000217
C00360354,"",D000023883,Amazon.com                              ,30178,20000,10178,2022-04-18 00:00:00 +0000,67,x, ,1,D000023883
C00001198,"",D000023971,American Hotel & Lodging Assn,30000,30000,0,2022-04-18 00:00:00 +0000,68,x, ,0,D000023971
C00255752,"",D000000199,American Society of Anesthesiologists,30000,30000,0,2022-04-18 00:00:00 +0000,68,x, ,0,D000000199
C00150367,"",D000000283,National Venture Capital Assn,30000,30000,0,2022-04-18 00:00:00 +0000,68,x, ,0,D000000283
C00303024,"",D000000104,Lockheed Martin,29997,21500,8497,2022-04-18 00:00:00 +0000,71,x, ,1,D000000104
C00428623,"",          ,Google Inc,29878,14000,15878,2022-04-18 00:00:00 +0000,72, , ,0,          
C00199703,"",D000000133,GlaxoSmithKline,29576,25000,4576,2022-04-18 00:00:00 +0000,73,x, ,0,D000000133
