pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00300178,"",D000019743,Wells Fargo,17500,17500,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00387753,"",          ,Security Finance Corp of Spartanburg,15800,2500,13300,2022-04-18 00:00:00 +0000,2, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,13000,13000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00144774,"",D000000168,Southern Co,11000,10000,1000,2022-04-18 00:00:00 +0000,5, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,10500,10000,500,2022-04-18 00:00:00 +0000,6, , ,0,          
C00284885,"",D000000419,Home Depot,10010,10000,10,2022-04-18 00:00:00 +0000,7, , ,0,          
C00083535,"",D000000477,Duke Energy,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00458158,"",D000045995,LKQ Corp,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00432252,"",D000022216,Regions Financial,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,9500,9500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Maxwell Group,8700,0,8700,2022-04-18 00:00:00 +0000,12, , ,0,          
C00038604,"",D000000590,American Financial Services Assn,8000,8000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00507392,"",D000064711,Encore Capital Group,8000,8000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00004275,"",D000000087,American Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00236489,"",D000000186,Koch Industries,7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00388827,"",D000066716,Rock Holdings,7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,6500,6500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00697326,"",          ,On Wisconsin PAC                                  ,6000,6000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Lincoln Energy,5900,0,5900,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Triad Partners Llc,5900,0,5900,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Capital Corp,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000032749,Collum's Lumber Products,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Fairway Ford,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Hughes Commercial Properties,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Hughes Investments,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,McE Automotive Group,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
C00386524,"",D000072145,Truist Financial,5100,5000,100,2022-04-18 00:00:00 +0000,29, , ,0,          
C00034785,"",D000021803,ACA International,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Bank of Travelers Rest,5000,0,5000,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000068060,Clearpath Foundation,5000,0,5000,2022-04-18 00:00:00 +0000,30, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00003855,"",D000027831,National Confectioners Assn,5000,3500,1500,2022-04-18 00:00:00 +0000,30, , ,0,          
C00480863,"",D000054336,National Shooting Sports Foundation,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00064766,"",D000000081,United Parcel Service,5000,5000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Wester Shamrock,5000,0,5000,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Spinks Adkins Llc,4350,0,4350,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000060861,Crossroads Strategies,4000,0,4000,2022-04-18 00:00:00 +0000,43, , ,0,          
C00170258,"",D000027814,National Assn of Mutual Insurance Companies,4000,4000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000057229,Strategic Link Consulting,4000,0,4000,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000075314,Waypoint Consulting,4000,0,4000,2022-04-18 00:00:00 +0000,43, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,3500,3500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,3500,3500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,3500,3500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00144261,"",D000024101,Appraisal Institute,3500,3500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00346353,"",          ,CRH Americas,3500,3500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00078451,"",D000000165,General Dynamics,3500,3500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00303024,"",D000000104,Lockheed Martin,3500,3500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00486217,"",          ,LPL Financial,3500,3500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000087362,1607 Strategies,3000,0,3000,2022-04-18 00:00:00 +0000,55, , ,0,          
C00109017,"",D000000076,AT&T Inc,3000,3000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00250753,"",D000024207,Auto Care Assn,3000,3000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Bank of Travelers Post,3000,0,3000,2022-04-18 00:00:00 +0000,55, , ,0,          
C00142711,"",D000000100,Boeing Co,3000,3000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000032306,Capitol Counsel,3000,0,3000,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Color Glory Llc,3000,0,3000,2022-04-18 00:00:00 +0000,55, , ,0,          
C00248716,"",D000000461,Comcast Corp,3000,2500,500,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000070479,Harbinger Strategies,3000,0,3000,2022-04-18 00:00:00 +0000,55, , ,0,          
C00032698,"",D000000261,Independent Community Bankers of America,3000,3000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00113241,"",D000027790,National Apartment Assn,3000,3000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00278895,"",D000022145,"Nelson, Mullins et al",3000,1000,2000,2022-04-18 00:00:00 +0000,55, , ,0,          
C00429001,"",          ,Purpose Financial,3000,3000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Youturn,3000,0,3000,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Clayton Construction Co,2900,0,2900,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Fairway Investments LLC,2900,0,2900,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Fayssoux & Landis,2900,0,2900,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000071790,Habematolel Pomo of Upper Lake,2900,0,2900,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Highes Investments,2900,0,2900,2022-04-18 00:00:00 +0000,69, , ,0,          
C00761593,"",          ,LFOD PAC                                          ,2900,2900,0,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Neohron,2900,0,2900,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Nephron,2900,0,2900,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000054748,North American Rescue,2900,0,2900,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000071554,Otoe-Missouria Tribe,2900,0,2900,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Spartanburg Downtown Memorial Airport,2900,0,2900,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Srmc,2900,0,2900,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000057859,Turtle Mountain Band of Chippewa Indians,2900,0,2900,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,White Oak Management,2900,0,2900,2022-04-18 00:00:00 +0000,69, , ,0,          
C00106146,"",D000000116,American Hospital Assn,2500,2500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00174227,"",D000000620,Baker & Hostetler,2500,2500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00572271,"",          ,Building America's Republican Representation,2500,2500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00426775,"",D000000672,Charter Communications,2500,2500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Credit Central LLC,2500,0,2500,2022-04-18 00:00:00 +0000,83, , ,0,          
C00211318,"",D000000131,Deloitte LLP,2500,2500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00227744,"",D000000098,Ernst & Young,2500,2500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00379768,"",D000033552,Experian,2500,2500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00406066,"",D000025822,First Horizon Corp,2500,0,2500,2022-04-18 00:00:00 +0000,83, , ,0,          
C00540187,"",D000027721,Innovation PAC,2500,2500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00686055,"",          ,Jackson National Life Insurance,2500,2500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000073417,Medquest Pharmacy,2500,0,2500,2022-04-18 00:00:00 +0000,83, , ,0,          
C00003764,"",D000000150,National Restaurant Assn,2500,2500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00042002,"",          ,Reynolds American,2500,2500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Southern Airways,2500,0,2500,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000063712,Thorn Run Partners,2500,0,2500,2022-04-18 00:00:00 +0000,83, , ,0,          
C00779538,"",D000085164,United Wholesale Mortgage,2500,2500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,2500,2500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
