pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00096156,"",D000000334,Honeywell International,25100,3500,21600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,25000,25000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000030676,University of Nevada                    ,17675,0,17675,2022-04-18 00:00:00 +0000,3, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,15500,15500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00299321,"",D000000193,MGM Resorts International,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000065774,Richmond Global,14500,0,14500,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000064075,Women'S Cancer Center of Nevada,14300,0,14300,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000035437,Lone Pine Capital,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000084291,Northlane Capital Partners,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000091927,National Material Lp,11200,0,11200,2022-04-18 00:00:00 +0000,11, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00450577,"",          ,Democrats Time In Nevada,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00102368,"",D000000534,Desert Caucus,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00344234,"",D000000520,PAC to the Future,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00327395,"",D000022243,Searchlight Leadership Fund,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00153379,"",          ,NV Energy,8750,7500,1250,2022-04-18 00:00:00 +0000,17, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
