pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Access,29760,0,29760,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,NOT EMPLOYED,18001,0,18001,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000087969,IDS Real Estate Group,16600,0,16600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000021754,Apple Inc,14896,0,14896,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Fam Vans,13500,0,13500,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Foodtown,13009,0,13009,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Sigmanetics Inc,12900,0,12900,2022-04-18 00:00:00 +0000,7, , ,0,          
C00362707,"",D000000374,Cisco Systems,12680,0,12680,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Bigdash Commissary LLC,12600,0,12600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Ideal Market,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Beaumont,11599,0,11599,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Budget Hvac,11300,0,11300,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Cardiac Institute,10800,0,10800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Westfab Mfg ,10000,0,10000,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Falcon Engineering Services,9400,0,9400,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Royal Plaza Textiles,8050,0,8050,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000000406,University of California                ,7964,0,7964,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Dana Investment,7800,0,7800,2022-04-18 00:00:00 +0000,18, , ,0,          
C00227546,"",D000000115,Microsoft Corp,7694,0,7694,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Hm Holdings,7000,0,7000,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Plumbing Masters,6300,0,6300,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000092635,Hamzavi Dermatology,6000,0,6000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000036364,Ohio State University,5930,0,5930,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,7diamonds,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000031369,Akonadi Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,BA Management,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Beauty Supply,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Continental Food Management,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Emaar Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000033537,Evercore,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Ieec,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000034935,Jordan Real Estate Investments,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,La Bodega Meat & Produce,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000035325,Lehbros Ltd,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Maandesh LLC,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,PC Hospitality,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Pressure Grout Co,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Rio Ranch Markets,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Skynet Wireless,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Taha Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,TALA Corp,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Trans Robotics,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Elder Brinkman Law,5799,0,5799,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000000750,Stanford University,5714,0,5714,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Bushala Brothers,5601,0,5601,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Clermont-Ocoee Pediatrics,5600,0,5600,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Met Fresh,5299,0,5299,2022-04-18 00:00:00 +0000,47, , ,0,          
