pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00027342,"",D000000069,International Brotherhood of Electrical Workers,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00339655,"",          ,US Oncology,12500,12500,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00048702,"",          ,National Grid USA,11400,10000,1400,2022-04-18 00:00:00 +0000,3, , ,0,          
C00475665,"",D000045973,Growth Energy,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00112995,"",          ,Operating Engineers Local 158,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C70001979,"",D000000066,Teamsters Union,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,NOT EMPLOYED,9471,0,9471,2022-04-18 00:00:00 +0000,7, , ,0,          
C00441949,"",          ,JStreetPAC,9438,1000,8438,2022-04-18 00:00:00 +0000,8, , ,0,          
C00340075,"",          ,BASF Corp,8500,8500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,8500,8500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00109017,"",D000000076,AT&T Inc,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00426775,"",D000000672,Charter Communications,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00024869,"",D000000125,General Electric,7000,7000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000081981,Plug Power Inc,6532,0,6532,2022-04-18 00:00:00 +0000,17, , ,0,          
C00186288,"",D000000079,Verizon Communications,6030,6000,30,2022-04-18 00:00:00 +0000,18, , ,0,          
C00034157,"",D000000126,AFLAC Inc,6000,6000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00383489,"",D000000612,Public Service Enterprise Group,6000,6000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00012880,"",D000000298,American Physical Therapy Assn,5500,5500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00216127,"",          ,Dentons US,5500,2500,3000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,5500,5500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,5500,5500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C90005786,"",D000000288,League of Conservation Voters,5400,2500,2900,2022-04-18 00:00:00 +0000,25, , ,0,          
C00024521,"",D000000065,American Assn for Justice,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00106146,"",D000000116,American Hospital Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00027532,"",          ,American Maritime Officers,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00089086,"",D000000472,American Occupational Therapy Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00325332,"",D000024003,American Seniors Housing Assn,5000,5000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
