pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,32450,0,32450,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000036737,Poarch Band Of Creek Indians,15800,0,15800,2022-04-18 00:00:00 +0000,2, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Ted Lieu for Congress,8000,4000,4000,2022-04-18 00:00:00 +0000,5, , ,0,          
C00388827,"",D000066716,Rock Holdings,7500,7500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00096156,"",D000000334,Honeywell International,7000,7000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,7000,7000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,6000,6000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000060635,Cherokee Nation,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
C00109017,"",D000000076,AT&T Inc,5050,5000,50,2022-04-18 00:00:00 +0000,13, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,La Salle Medical,5000,0,5000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C70000492,"",D000000064,National Education Assn,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00219568,"",          ,Operating Engineers Local 12,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C70001979,"",D000000066,Teamsters Union,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Viejas Tribal Government,5000,0,5000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00340943,"",D000021951,DaVita Inc,4000,4000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000070020,Filemon Vela for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000062290,Mapetsi Policy Group,4000,0,4000,2022-04-18 00:00:00 +0000,26, , ,0,          
C00088591,"",D000000170,Northrop Grumman,4000,4000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000092411,Our Next Energy,3900,0,3900,2022-04-18 00:00:00 +0000,30, , ,0,          
C00300376,"",D000025525,Doctors Co,3500,3500,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00024521,"",D000000065,American Assn for Justice,3000,3000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
