pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,79250,0,79250,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000021873,Blackstone Group,61900,0,61900,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000021845,Apollo Global Management,35650,0,35650,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000035180,Kraft Group,28200,0,28200,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000071830,Standard Industries,26050,0,26050,2022-04-18 00:00:00 +0000,5, , ,0,          
C00247403,"",D000022158,NorPAC,25720,0,25720,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000021972,Elliott Management,23980,0,23980,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000021903,Centerbridge Partners,23700,0,23700,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000089524,William Goldberg Diamond Corp,23202,0,23202,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Digital Gadgets LLC,23200,0,23200,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,A&E Real Estate (New York),21600,0,21600,2022-04-18 00:00:00 +0000,11, , ,0,          
C00550970,"",D000070371,Equality PAC,20000,20000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000032451,Centerview Partners,17400,0,17400,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000032904,Council on Foreign Relations,17400,0,17400,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Lorraine Schwartz,17400,0,17400,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Simag Ltd,17400,0,17400,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Spell,17400,0,17400,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000030377,Third Point LLC,15389,0,15389,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000061900,JEMB Realty,15000,0,15000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000031282,Access Industries,14500,0,14500,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000036528,Mass General Brigham,14450,0,14450,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000000536,Latham & Watkins,14350,0,14350,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000033431,Eminence Capital,12600,0,12600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000032620,City University of New York,12300,0,12300,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Tsr Holdings LLC,12100,0,12100,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Slate Property Group,12000,0,12000,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000021927,Columbia University                     ,11693,0,11693,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,4g'S,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000021859,Bain Capital,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,California Home Builders,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Cgi+,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Commonwealth Children'S Fund,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000088257,Cove Hill Partners,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000050528,Empire Resources,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Erem Desert,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Gallium Real Estate,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000090950,Gates Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000034155,Granite Telecommunications,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Gts,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,H20 Applied Technologies,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,H2o Applied Technologies,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000061609,Harvest Partners,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000022049,Jana Partners,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000073729,Knight Blanc LLC,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Life Alert Emergency Response,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Michael Gad Emerald,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Mizmaa,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Openlabs,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000043205,Opus Capital,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000076588,RD Offut Co,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000037220,Ropes & Gray,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Schusterman Family Foundations,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Seviva LLC,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000057504,Tenth Avenue Holdings,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000022281,Thomas H Lee Partners,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,We'Re Assoc,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Yieldstreet,11600,0,11600,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Ares Mgmt,11200,0,11200,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000032534,Chieftain Capital Management,10800,0,10800,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Four Partners,10800,0,10800,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000090826,Tusk Holdings,10800,0,10800,2022-04-18 00:00:00 +0000,59, , ,0,          
C00350744,"",D000000085,Goldman Sachs,10700,0,10700,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",          ,Electron Capital Partners,10600,0,10600,2022-04-18 00:00:00 +0000,63, , ,0,          
C00147512,"",D000021932,Congressional Black Caucus PAC,10000,10000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,10000,10000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000060869,Csa Group,10000,0,10000,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Hml Brokerage,10000,0,10000,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Kv National,10000,0,10000,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Medalliance,10000,0,10000,2022-04-18 00:00:00 +0000,64, , ,0,          
C00158881,"",D000000249,New York Life Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00765537,"",          ,Policy Is Personal PAC,10000,10000,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000078253,Arker Companies,9700,0,9700,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000036385,Omni New York,9700,0,9700,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,"Newmark, Grubb et al",8701,0,8701,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",D000088412,Fulcrum Public Affairs,8700,0,8700,2022-04-18 00:00:00 +0000,75, , ,0,          
C00416495,"",D000000207,Loews Corp,8700,0,8700,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",D000030602,Ulysses Management,8700,0,8700,2022-04-18 00:00:00 +0000,75, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8500,8000,500,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000084113,BBR Partners,8300,0,8300,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Truth Public Relations,8000,0,8000,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000031118,Winn Companies,7900,0,7900,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",D000035967,Monroe College,7707,0,7707,2022-04-18 00:00:00 +0000,82, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00039305,"",D000000071,Citigroup Inc,7250,4500,2750,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",          ,A1 Seal,7200,0,7200,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,Md Realty,7200,0,7200,2022-04-18 00:00:00 +0000,85, , ,0,          
C00502906,"",D000033563,Meta,7150,1000,6150,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Diameter Capital Partners,6960,0,6960,2022-04-18 00:00:00 +0000,88, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,6500,6500,0,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",          ,Apollo,6400,0,6400,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Bronxcare Health System,6400,0,6400,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000072628,DoorDash Inc,6400,0,6400,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000054009,Much Shelist Pc,6150,0,6150,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",          ,Atairos Management                                ,6000,0,6000,2022-04-18 00:00:00 +0000,94, , ,0,          
         ,"",          ,L&M Dev Partners,6000,0,6000,2022-04-18 00:00:00 +0000,94, , ,0,          
         ,"",          ,Shkitchens,6000,0,6000,2022-04-18 00:00:00 +0000,94, , ,0,          
         ,"",          ,1901 Partners,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Arex Capital,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Aspamia,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000021854,Avenue Capital Group,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000021867,Baupost Group,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Beachwold Partners,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000031927,Berkshire Partners,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Boston Red Sox,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000032153,Brown & Brown Insurance,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Campus Apartments,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000074012,Carolyn Rowan Accessories,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Cornell Institute for Healthy Futures,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Corza Health,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Crown Properties,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000033257,Douglas Elliman LLC,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Eagle Capital,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
C00648345,"",          ,Emigrant Savings Bank,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Fanatics,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Fivew,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Foodgraph,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Gatemore Capital Management Llp,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Global Cities Inc,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Guac-Lock,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Habematolel Pomo of Upper Lake Tribe Of California,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Highline Capital,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Highsage Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Hunter Creek Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Jasmine Beach-Ferrara for Congress,5800,5800,0,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000034910,Jonathan Rose Companies,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
C00753947,"",          ,La Bamba PAC,5800,5800,0,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Ls,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Maverick,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000053800,Millennium Management,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Miller Ink,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000062515,Monadnock Construction,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000036181,New England Patriots,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000045324,NIC Holding,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000089744,Oak Hill Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000036412,Oregon Health & Science University,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Ota LLC,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000071554,Otoe-Missouria Tribe,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000000552,Paloma Partners,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Partners Health,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000055609,Portage Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000070522,Prospect Hotel Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000037316,Saban Capital Group,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000080692,Schusterman Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000037580,Silver Companies,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000037662,Solil Management,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Stagg Group,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000019713,Starwood Capital Group,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Tfc,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000063703,Third Rock Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Thuzio,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Tnlr,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000065810,Townsquare Media,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Ukg,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Vantedge,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000088221,Willoughby Capital,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000041410,Winn Development,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Women'S Foundation of Boston,5800,0,5800,2022-04-18 00:00:00 +0000,97, , ,0,          
