pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000034155,Granite Telecommunications,26600,0,26600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000083362,DataRobot Inc,23010,0,23010,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000031115,Wingate Healthcare,18400,0,18400,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000087891,Northwest Biotherapeutics,17400,0,17400,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Tei,16600,0,16600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Greater Boston Urology,15000,0,15000,2022-04-18 00:00:00 +0000,6, , ,0,          
C00007922,"",D000000074,Laborers Union,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000021859,Bain Capital,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Oath Healthcare,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000052426,Ischemix,10800,0,10800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Gavin & Sullivan,10700,0,10700,2022-04-18 00:00:00 +0000,11, , ,0,          
C00343459,"",D000021829,American College of Radiology,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00338020,"",D000024157,Argentum,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00702043,"",          ,IBEW Local 103,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000031728,Avenue Solutions,9800,0,9800,2022-04-18 00:00:00 +0000,19, , ,0,          
C00468314,"",D000025328,Democracy Engine,8700,0,8700,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000035180,Kraft Group,8700,0,8700,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Ukg,8700,0,8700,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000033155,Dewey Square Group,8550,0,8550,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000077125,Market Basket Inc (Massachusetts),8500,0,8500,2022-04-18 00:00:00 +0000,24, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,8500,8500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00327593,"",D000000208,Cassidy & Assoc,7750,0,7750,2022-04-18 00:00:00 +0000,26, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00024968,"",D000000194,American Optometric Assn,7500,7500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00003632,"",D000000302,Bricklayers Union,7500,7500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00027359,"",D000000140,Ironworkers Union,7500,7500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000034811,Jay Cashman Inc,7500,0,7500,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Trinity Ems,7500,0,7500,2022-04-18 00:00:00 +0000,27, , ,0,          
C00163048,"",D000000783,National Community Action Foundation,7000,7000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00368993,"",D000022323,Winning Strategies Washington,7000,1000,6000,2022-04-18 00:00:00 +0000,33, , ,0,          
