pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",23200,0,23200,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000032672,Clinical Care Options,5800,0,5800,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000071509,EJF Capital,5800,0,5800,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000092829,Hickman Analytics,5800,0,5800,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000061721,Horizon Beverage,5800,0,5800,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,King Buick Gmc,5800,0,5800,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000062286,Manocherian Brothers,5800,0,5800,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Natelli Communities,5800,0,5800,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000090878,Roeco Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,2, , ,0,          
C00367995,"",D000029049,Sierra Nevada Corp,5800,0,5800,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Menocal Medical Services,3350,0,3350,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000042580,Books-A-Million Inc,2900,0,2900,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000081434,Silver Diner,2900,0,2900,2022-04-18 00:00:00 +0000,12, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,2500,2500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Goldin Metals,1000,0,1000,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Southern Airways,1000,0,1000,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000063743,Total Wine & More,750,0,750,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000077563,Nellis Corp,500,0,500,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Echostar,390,0,390,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Snyder Cohn,350,0,350,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Not Employed,200,0,200,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Former Federal Civil Servant,100,0,100,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Sps Consulting,70,0,70,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000036112,National Geographic Society,50,0,50,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Usap,50,0,50,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000053926,Montgomery College,30,0,30,2022-04-18 00:00:00 +0000,26, , ,0,          
C00109017,"",D000000076,AT&T Inc,25,0,25,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Dli LLC,25,0,25,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000035975,Montgomery County Public Schools,13,0,13,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Resa 8 Head Start,8,0,8,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Anderson for Falls Church,3,0,3,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Asbury Methodist Village,3,0,3,2022-04-18 00:00:00 +0000,31, , ,0,          
C00194746,"",          ,Blue Cross & Blue Shield Assn,3,0,3,2022-04-18 00:00:00 +0000,31, , ,0,          
