pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000090936,Hometown Lenders,76300,0,76300,2022-04-18 00:00:00 +0000,1, , ,0,          
C90009945,"",D000000763,Club for Growth,67896,0,67896,2022-04-18 00:00:00 +0000,2, , ,0,          
C00027466,"",D000036122,National Republican Senatorial Cmte,44601,44600,1,2022-04-18 00:00:00 +0000,3, , ,0,          
C00160630,"",D000025591,Drummond Co,41900,13000,28900,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000021923,Collazo Enterprises                     ,31110,0,31110,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000030968,Wellborn Cabinet                                  ,30500,0,30500,2022-04-18 00:00:00 +0000,6, , ,0,          
C00372979,"",D000028509,Radiance Technologies,29500,8000,21500,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000076289,Breland Homes,25900,0,25900,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Broadway Group,23900,0,23900,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000051477,Great Southern Wood Preserving,23600,0,23600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000047500,Auburn University,23410,0,23410,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Proshot Concrete,22600,0,22600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Trivector Services,22100,0,22100,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Smith's Inc of Dothan,21800,0,21800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Ona Atlanta,21600,0,21600,2022-04-18 00:00:00 +0000,15, , ,0,          
C00284885,"",D000000419,Home Depot,21383,10000,11383,2022-04-18 00:00:00 +0000,16,x, ,0,D000000419
         ,"",          ,Woodland Homes,20850,0,20850,2022-04-18 00:00:00 +0000,17, , ,0,          
C00094573,"",D000000582,Alabama Farmers Federation,20000,20000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000031869,"Beasley, Allen et al",20000,0,20000,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Best Auto Sales,20000,0,20000,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000029367,Teledyne Technologies,19900,0,19900,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000087915,Willbrook Solutions,19700,0,19700,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000092684,Conference America,19600,0,19600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Long Brothers LLC,18892,0,18892,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Kelly Seed Co,18800,0,18800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,HighPoint Holdings,17800,0,17800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Southern States Bank,17330,0,17330,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000092409,Brett Robinson Real Estate,16800,0,16800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Econo-Med Inc,16800,0,16800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Flora-Bama Package & Lounge,16800,0,16800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Southern Waste Systems,16800,0,16800,2022-04-18 00:00:00 +0000,28, , ,0,          
C00166553,"",D000000370,Stephens Inc,16400,5000,11400,2022-04-18 00:00:00 +0000,32, , ,0,          
C00379628,"",D000028057,Nucor Corp                              ,16275,5000,11275,2022-04-18 00:00:00 +0000,33, , ,0,          
C00148031,"",D000000352,Caterpillar Inc                         ,16210,5000,11210,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Colormasters,16000,0,16000,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,McVantage Companies                               ,16000,0,16000,2022-04-18 00:00:00 +0000,35, , ,0,          
C00502807,"",D000074087,US Peanut PAC,16000,16000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Pepsi Cola Bottling Decatur,15600,0,15600,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Reed Contracting                                  ,15600,0,15600,2022-04-18 00:00:00 +0000,38, , ,0,          
C00068692,"",D000000089,FedEx Corp,15025,5000,10025,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000033009,D&J Enterprises,15000,0,15000,2022-04-18 00:00:00 +0000,41, , ,0,          
C00368696,"",D000028699,Responsibility & Freedom Work PAC,15000,15000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Stone Martin Builders,15000,0,15000,2022-04-18 00:00:00 +0000,41, , ,0,          
C00400705,"",D000028488,Publix Super Markets,14200,2500,11700,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000037635,Ballard Partners,14000,0,14000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Espy Co,14000,0,14000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000074436,Kellett Investment Corp,14000,0,14000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000071351,Kent Companies,14000,0,14000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000085283,Medical Properties Trust,14000,0,14000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000036906,Quantum Energy Partners,14000,0,14000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Ray Keller Lumber & Logging,13920,0,13920,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000087910,Ascent Residential,13600,0,13600,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Mitchell Grocery                                  ,13600,0,13600,2022-04-18 00:00:00 +0000,52, , ,0,          
C00272724,"",D000027470,"Maynard, Cooper & Gale",13500,12500,1000,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000037428,Scientific Research Corp,13500,0,13500,2022-04-18 00:00:00 +0000,54, , ,0,          
C00485896,"",D000032793,Community Health Systems,13400,5000,8400,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,Southern Risk Services LLC,13004,0,13004,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000083906,Monte Sano Research,12650,0,12650,2022-04-18 00:00:00 +0000,58, , ,0,          
C00408500,"",D000029365,Telapex Inc                             ,12600,4800,7800,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000037786,State of Alabama,12545,0,12545,2022-04-18 00:00:00 +0000,60, , ,0,          
C00214148,"",D000023991,American Peanut Shellers Assn,12500,12500,0,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,J&A Inc,12500,0,12500,2022-04-18 00:00:00 +0000,61, , ,0,          
C00416297,"",D000000431,National Cotton Council,12500,12500,0,2022-04-18 00:00:00 +0000,61,x, ,0,D000000431
C00500017,"",D000032087,Bradley,12250,10000,2250,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Colonial Co,12200,0,12200,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000090931,Lesco Logistics,12200,0,12200,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000036109,National Distributing Co,12200,0,12200,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Whitaker Contracting,12200,0,12200,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000049017,"City of Mobile, AL",12150,0,12150,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Smith'S,11600,0,11600,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",D000082435,AGM Consulting Services,11400,0,11400,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,4m Research,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000087398,Bob Loquercio Auto Group,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Brumleu Investments LP,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000093284,Continental Pacific LLC,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Crowne Management LLC,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Electronic Supply Co,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000065661,Franklin L Haney Co,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000034864,Jim Wilson & Assoc,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Nelson Brothers LLC,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,P&S Transportation,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Premier Kings,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000036976,Rdv Corp,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000000803,Sequoia Capital,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Signature Utility Services LLC,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Sparks Energy,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,The Doctor's Office,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000057637,TNT Fireworks,11200,0,11200,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Melt LLC,11000,0,11000,2022-04-18 00:00:00 +0000,89, , ,0,          
C00161414,"",          ,Protective Life Corp,11000,10000,1000,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",          ,Alabama Gop,10800,0,10800,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",          ,Andrews Institute,10600,0,10600,2022-04-18 00:00:00 +0000,92, , ,0,          
