pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000057270,Sugar Creek Packing,25000,0,25000,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Cymi Holdings,23200,0,23200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000034590,Hunt Development,23200,0,23200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000034402,Heidelberg Distributing,20750,0,20750,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000091817,Dupps Co,17400,0,17400,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000055307,Peerless Technologies,17400,0,17400,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000079865,Projects Unlimited,17400,0,17400,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000748,Berry Investments,16800,0,16800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000048316,Caresource,15000,0,15000,2022-04-18 00:00:00 +0000,9, , ,0,          
C00096156,"",D000000334,Honeywell International,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00303024,"",D000000104,Lockheed Martin,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Soin,13600,0,13600,2022-04-18 00:00:00 +0000,13, , ,0,          
C00142711,"",D000000100,Boeing Co,12000,12000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000046378,Adams Robinson Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Alpine Developer Group,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Boost Engagement LLC,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Oberer Development Co,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000090419,Ohio Pain Clinic,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Synergy,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Winsupply,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
C00281212,"",D000000583,BAE Systems,11500,11500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Sawdey Solution Services,11200,0,11200,2022-04-18 00:00:00 +0000,23, , ,0,          
C00078451,"",D000000165,General Dynamics,11000,11000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,11000,11000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00211318,"",D000000131,Deloitte LLP,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00732644,"",          ,Managed Care with Heart,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00158881,"",D000000249,New York Life Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00088591,"",D000000170,Northrop Grumman,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00065870,"",          ,Operating Engineers Local 18,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,9500,9500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00024869,"",D000000125,General Electric,9000,9000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Pdi Group,8800,0,8800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Waite Tomb Eberly,8700,0,8700,2022-04-18 00:00:00 +0000,35, , ,0,          
C00546234,"",D000000369,Leidos Inc,8000,8000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00367995,"",D000029049,Sierra Nevada Corp,7900,5000,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Ptc,7100,0,7100,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000031003,Western & Southern Financial Group,6400,0,6400,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000023074,US Air Force,6060,0,6060,2022-04-18 00:00:00 +0000,40, , ,0,          
C00365502,"",D000022588,BWX Technologies,6000,6000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00215285,"",D000000317,General Atomics,6000,6000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000032966,Crown Equipment,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Gosiger Machinery,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Ham Co Math & Science Academy,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Huffman Travel,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Liteflex LLC,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Reynolds Jet,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000074428,Schear Financial Services,5600,0,5600,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000030263,"Taft, Stettinius & Hollister",5500,0,5500,2022-04-18 00:00:00 +0000,52, , ,0,          
C00360354,"",D000023883,Amazon.com,5000,5000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00027532,"",          ,American Maritime Officers,5000,5000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00709816,"",D000032046,Booz Allen Hamilton,5000,5000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00369751,"",D000000585,Dell Technologies,5000,5000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Egi,5000,0,5000,2022-04-18 00:00:00 +0000,53, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00448373,"",D000026537,Huck PAC,5000,5000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000034929,Jones Day,5000,0,5000,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000052728,Kettering Health Network,5000,0,5000,2022-04-18 00:00:00 +0000,53, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00304477,"",D000028179,Oshkosh Corp,5000,5000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00433060,"",D000029531,Republican Governance Group,5000,5000,0,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Rex American Resources,5000,0,5000,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000034677,Innovative Federal Strategies,4800,0,4800,2022-04-18 00:00:00 +0000,67, , ,0,          
C00763623,"",D000073362,Anduril Industries,4400,0,4400,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Bob Ross Auto Group,4000,0,4000,2022-04-18 00:00:00 +0000,69, , ,0,          
C00479899,"",D000031142,Woolpert Inc,3900,3900,0,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,Kettering Health,3650,0,3650,2022-04-18 00:00:00 +0000,71, , ,0,          
C00737114,"",D000074357,Hawkeye 360,3500,2500,1000,2022-04-18 00:00:00 +0000,72, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,3500,3500,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00059238,"",D000027084,Kroger Co,3500,1500,2000,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Amcor,3000,0,3000,2022-04-18 00:00:00 +0000,75, , ,0,          
C00039461,"",D000024239,Ball Corp,3000,3000,0,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",D000068024,CBD Advisors,3000,0,3000,2022-04-18 00:00:00 +0000,75, , ,0,          
