pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,112772,0,112772,2022-04-18 00:00:00 +0000,1, , ,0,          
C00468314,"",D000025328,Democracy Engine,92800,0,92800,2022-04-18 00:00:00 +0000,2, , ,0,          
C00193433,"",D000000113,EMILY's List,65250,5000,60250,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000030649,University of Chicago,29445,0,29445,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000070423,Arista Networks,23200,0,23200,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000022011,GCM Grosvenor,23200,0,23200,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Lauren Underwood,21549,0,21549,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000000406,University of California                ,20348,0,20348,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000036277,Northwestern University,20257,0,20257,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000067823,Alphabet Inc,18442,0,18442,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000036528,Mass General Brigham,18263,0,18263,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000059925,Abelson Taylor,17060,0,17060,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000031469,American Capital,16600,0,16600,2022-04-18 00:00:00 +0000,13, , ,0,          
C00422774,"",          ,Frontline USA,15685,2500,13185,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000034986,Kaiser Permanente                       ,15020,0,15020,2022-04-18 00:00:00 +0000,15, , ,0,          
C00147512,"",D000021932,Congressional Black Caucus PAC,15000,10000,5000,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000068512,Emerson Collective,14500,0,14500,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000071837,PSP Capital Partners,14500,0,14500,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,13742,0,13742,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000071500,Wicklow Capital,12100,0,12100,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Creative Werks LLC,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000036320,O'Reilly Media,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000081824,Schmidt Family Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000063612,SV Angel LLC,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000031277,Accel Partners,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Anesi Ozmon Rodin Novak,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000033788,Francisco Partners,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000034935,Jordan Real Estate Investments,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Merrill,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Shell Mercer,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000036829,Princeton University,10762,0,10762,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000031533,Analysis Group,10100,0,10100,2022-04-18 00:00:00 +0000,33, , ,0,          
C00633248,"",          ,314 Action Fund,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00017525,"",D000000173,American Nurses Assn,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000000544,Harvard University,9607,0,9607,2022-04-18 00:00:00 +0000,40, , ,0,          
C00617381,"",D000071024,The Collective PAC,9000,9000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000031228,@Properties LLC,8793,0,8793,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000030722,US Dept of Energy                       ,8346,0,8346,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Lurin,8332,0,8332,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000000811,Kirkland & Ellis,8203,0,8203,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000036189,New Liberty Productions,8200,0,8200,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000000750,Stanford University,8185,0,8185,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000000412,US House of Representatives,8120,0,8120,2022-04-18 00:00:00 +0000,48, , ,0,          
C00549014,"",          ,Hudson Valley PAC (Maloney),8000,8000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
C70000492,"",D000000064,National Education Assn,7825,2000,5825,2022-04-18 00:00:00 +0000,50, , ,0,          
