pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00107300,"",          ,American Airlines,27276,6000,21276,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Southland Holdings,18100,0,18100,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000087508,Pharmapotheca,17400,0,17400,2022-04-18 00:00:00 +0000,3, , ,0,          
C00574921,"",D000037311,Ryan LLC,15499,1000,14499,2022-04-18 00:00:00 +0000,4, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000047158,Annandale Capital,14500,0,14500,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Hbc Investments,14500,0,14500,2022-04-18 00:00:00 +0000,6, , ,0,          
C00084871,"",D000022361,Celanese Corp,11975,0,11975,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Acellerated Interventional Orthopedics,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,AQR Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000021943,Crow Holdings,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000035578,Malouf Interests,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
C00166553,"",D000000370,Stephens Inc,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Trailrunner International,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Twg Supply,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000083448,Charles & Potomac Capital,11000,0,11000,2022-04-18 00:00:00 +0000,19, , ,0,          
C00765982,"",          ,Stand for America PAC,11000,10000,1000,2022-04-18 00:00:00 +0000,19, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,10500,10500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Hillwood,10300,0,10300,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000091934,Goosehead Insurance,10216,0,10216,2022-04-18 00:00:00 +0000,23, , ,0,          
C00064766,"",D000000081,United Parcel Service,10052,10000,52,2022-04-18 00:00:00 +0000,24, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00113241,"",D000027790,National Apartment Assn,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00760124,"",D000073672,National Victory Action Fund,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,10000,10000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Digital Realty,9950,0,9950,2022-04-18 00:00:00 +0000,29, , ,0,          
C00525071,"",D000044362,Commercial Metals Co,9250,2500,6750,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Bank of the West,8900,0,8900,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000022296,University of Texas                     ,8874,0,8874,2022-04-18 00:00:00 +0000,33, , ,0,          
C00452581,"",D000025141,Copart Inc,8700,0,8700,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Jetta Operating Co,8700,0,8700,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,T Wilson Assoc,8700,0,8700,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000064020,Western Extrusions,8700,0,8700,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000031076,Williams Brothers Construction,8600,0,8600,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Archrock,8500,0,8500,2022-04-18 00:00:00 +0000,39, , ,0,          
C00485979,"",D000059096,Cognizant Technology Solutions,8322,0,8322,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Charles Schwab & Co,7633,0,7633,2022-04-18 00:00:00 +0000,41, , ,0,          
C00236489,"",D000000186,Koch Industries,7512,7500,12,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000021757,Berkshire Hathaway,7405,0,7405,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Insight,7190,0,7190,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Mte,7100,0,7100,2022-04-18 00:00:00 +0000,45, , ,0,          
C00217877,"",D000022262,Southern Glazer's Wine & Spirits,6850,0,6850,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Dickey'S Barbecue Restaurant,6800,0,6800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000035140,Kleinheinz Capital Partners,6800,0,6800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Pgl,6800,0,6800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000037487,Sewell Automotive,6800,0,6800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Southlake Financial Holdings,6800,0,6800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Ryan Law Firm,6714,0,6714,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Dillon Gage Real Estate,6500,0,6500,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000062620,Ned S Holmes Investments,6500,0,6500,2022-04-18 00:00:00 +0000,53, , ,0,          
C00488262,"",D000070195,Netjets Assn of Shared Aircraft Pilots,6500,6500,0,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000000772,Station Casinos,6403,0,6403,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,Headstorm,6132,0,6132,2022-04-18 00:00:00 +0000,57, , ,0,          
C00076810,"",D000000155,General Motors,6005,6000,5,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000089857,Bandera Ventures,6000,0,6000,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000047689,Ben E Keith Co,5850,0,5850,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000022288,Trt Holdings,5831,0,5831,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5801,0,5801,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",          ,Access Healthcare,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Acs,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000084029,Billingsley Co,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Blackstone,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Brian K Rich Md,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Consumer Credit Innovations,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Continental Property Co,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Cottonwood Financial Texas Mgmt,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
C00018945,"",D000021961,Dorsey & Whitney,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000021972,Elliott Management,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000033447,Energy Capital Partners,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Gsk,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000085389,Heritage Capital Corp,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000034568,Hub International,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000061852,Island Doctors,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000061881,Jane Street Capital,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000065715,"Lynn, Pinker et al",5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Martin Resource Management,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000035735,McKee Foods,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000068511,McMahon Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000053739,Mica Corp,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000036145,Nch Corp,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000088591,Pacem Solutions International,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Par Capital Partners,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Pioneer,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Property Managy,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
C00289595,"",          ,Putnam Investments,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Retired-Lockheed Martin,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000090379,Sloan Investment Management,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000072030,Susser Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000030377,Third Point LLC,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Valmore Gp,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000030953,Weekley Properties,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Wheat Investments,5800,0,5800,2022-04-18 00:00:00 +0000,63, , ,0,          
