pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000021972,Elliott Management,25780,0,25780,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Elm Grove Strategies LLC,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,7500,7500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00227744,"",D000000098,Ernst & Young,7500,7500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,7500,6000,1500,2022-04-18 00:00:00 +0000,3, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,7500,5500,2000,2022-04-18 00:00:00 +0000,3, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,7500,7500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00486217,"",          ,LPL Financial,6500,6500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000021757,Berkshire Hathaway,6000,6000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00477653,"",D000000768,Cox Enterprises,6000,6000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,6000,6000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000021845,Apollo Global Management,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000031816,Barona Band Of Mission Indians,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000021873,Blackstone Group,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000074012,Carolyn Rowan Accessories,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Elliot Investment Management,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Hunter Creek Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000035180,Kraft Group,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
C00416495,"",D000000207,Loews Corp,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
C00502906,"",D000033563,Meta,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000053800,Millennium Management,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,New York City Commission,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
