pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00687657,"",          ,American Pro-Israel PAC,25900,0,25900,2022-04-18 00:00:00 +0000,1, , ,0,          
C00303024,"",D000000104,Lockheed Martin,17500,15000,2500,2022-04-18 00:00:00 +0000,2, , ,0,          
C00364992,"",D000028495,Q Investments,15800,10000,5800,2022-04-18 00:00:00 +0000,3, , ,0,          
C00388827,"",D000066716,Rock Holdings,14200,10000,4200,2022-04-18 00:00:00 +0000,4, , ,0,          
C00248716,"",D000000461,Comcast Corp,14000,14000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,13000,13000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Mary Kay Inc,12500,0,12500,2022-04-18 00:00:00 +0000,7, , ,0,          
C00123612,"",D000000201,Textron Inc,12000,11000,1000,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000089963,Rayzor Co,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000022313,"Waters, Kraus & Paul",11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
C00109546,"",D000022303,Valero Energy,11000,11000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00369751,"",D000000585,Dell Technologies,10500,7500,3000,2022-04-18 00:00:00 +0000,12, , ,0,          
C00426775,"",D000000672,Charter Communications,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00035006,"",D000000015,Chevron Corp,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00211318,"",D000000131,Deloitte LLP,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00007922,"",D000000074,Laborers Union,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000032042,Bonanza Oil,8600,0,8600,2022-04-18 00:00:00 +0000,19, , ,0,          
C00109017,"",D000000076,AT&T Inc,8033,7500,533,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000071838,Marquis Group,7900,0,7900,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Morningstar Partners,7900,0,7900,2022-04-18 00:00:00 +0000,21, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00142786,"",D000027998,Nike Inc,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00374066,"",D000029079,Smith & Nephew,7000,7000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000083316,"Thomas, Feldman & Wilshusen",6800,0,6800,2022-04-18 00:00:00 +0000,26, , ,0,          
C00078451,"",D000000165,General Dynamics,6500,6500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00096156,"",D000000334,Honeywell International,6500,6500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00158881,"",D000000249,New York Life Insurance,6250,5000,1250,2022-04-18 00:00:00 +0000,29, , ,0,          
C00089136,"",D000000067,Altria Group,6000,6000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00008268,"",D000000178,Transport Workers Union,6000,6000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00040394,"",D000000480,Williams Companies,6000,6000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000059961,Adelanto Healthcare Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000033162,Diamond A Ford Corp,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Not Empoyed,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Pjc Investments LLC,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Southwest Auto Group,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000077353,Witherite Law Group,5600,0,5600,2022-04-18 00:00:00 +0000,38, , ,0,          
C00107300,"",          ,American Airlines,5500,4500,1000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,5500,5500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000021757,Berkshire Hathaway,5005,5000,5,2022-04-18 00:00:00 +0000,41, , ,0,          
C00536573,"",D000066804,AbbVie Inc,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00360354,"",D000023883,Amazon.com,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00024521,"",D000000065,American Assn for Justice,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00415026,"",D000027874,American Fuel & Petrochem Manufacturers,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00172635,"",D000000523,Bass Brothers Enterprises,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00003632,"",D000000302,Bricklayers Union,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00099234,"",          ,Brotherhood of Locomotive Engineers & Trainmen,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00085316,"",D000000222,Cigna Corp,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00112896,"",D000000303,ConocoPhillips,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00346353,"",          ,CRH Americas,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00764233,"",          ,Defend the Vote,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000033530,Eurpac Service,5000,0,5000,2022-04-18 00:00:00 +0000,42, , ,0,          
