pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Metropolitan Recycling,13300,0,13300,2022-04-18 00:00:00 +0000,1, , ,0,          
C00441949,"",          ,JStreetPAC,11988,1000,10988,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Metropolitan Paper Recycling,10100,0,10100,2022-04-18 00:00:00 +0000,3, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Granite Environmental,7500,0,7500,2022-04-18 00:00:00 +0000,4, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,7500,7500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000074472,Mirram Group,6800,0,6800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000088412,Fulcrum Public Affairs,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000070576,Kps Capital Partners,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Lawyer/Civic Volunteer,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000080163,Majority Group,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000033004,Mindset,5500,0,5500,2022-04-18 00:00:00 +0000,12, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00001198,"",D000023971,American Hotel & Lodging Assn,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00107615,"",D000023999,American Rental Assn,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Amg Waterproofing,5000,0,5000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00689984,"",          ,GovEvolve PAC,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Mpr,5000,0,5000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00332254,"",D000027799,National Assn of Development Companies,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00109991,"",D000027911,Small Business Investor Alliance,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Tce Insurance,5000,0,5000,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Lemery Greisler LLC,4995,0,4995,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,CAI Private Equity LLC,4400,0,4400,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000058744,Wyckoff Heights Medical Center,4000,0,4000,2022-04-18 00:00:00 +0000,25, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,3500,3500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00384602,"",D000047039,American Society for Radiation Oncology,3500,3500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,3500,3500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00300525,"",D000027806,National Assn of Surety Bond Producers,3500,3500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00244863,"",D000022139,National Roofing Contractors Assn,3500,3500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000021915,"City of New York, NY",3225,0,3225,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000070449,5000 Broadway Productions,2900,0,2900,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000067329,AlixPartners,2900,0,2900,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000032662,"Cleary, Gottlieb et al",2900,0,2900,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000033773,Four M Investments,2900,0,2900,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000089883,Grupo Vl LLC,2900,0,2900,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000070434,Kampack Inc,2900,0,2900,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Katz Drugs,2900,0,2900,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Knowledge In the Public Interest,2900,0,2900,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Patrizia Restaurant,2900,0,2900,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Success Solutions Psc,2900,0,2900,2022-04-18 00:00:00 +0000,32, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,2500,2500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00041566,"",D000024015,American Society of Assn Executives,2500,2500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00079855,"",D000024438,Bowling Proprietors' Assn of America,2500,2500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Cellmark,2500,0,2500,2022-04-18 00:00:00 +0000,42, , ,0,          
C00002089,"",D000000075,Communications Workers of America,2500,2500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,2500,2500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Dalygonzalez,2500,0,2500,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Kiness Foundation,2500,0,2500,2022-04-18 00:00:00 +0000,42, , ,0,          
C00603076,"",D000035853,"Michael, Best & Friedrich",2500,2500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,2500,2500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00525600,"",D000070198,Off the Sidelines,2500,2500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,2500,2500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00663609,"",          ,Progressive Majority PAC                          ,2500,2500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C70003124,"",D000000077,Service Employees International Union,2500,2500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00013961,"",D000000636,Sheet Metal & Air Conditioning Contractors Assn,2500,2500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00691618,"",D000057320,Surety & Fidelity Assn of America,2500,2500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00114108,"",D000024017,American Society of Travel Advisors,2000,2000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Boricua College,2000,0,2000,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Certilman Balin,2000,0,2000,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,McS,2000,0,2000,2022-04-18 00:00:00 +0000,59, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,2000,2000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C70000492,"",D000000064,National Education Assn,2000,2000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Williams Group,2000,0,2000,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000000476,State of New York,1900,0,1900,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000022154,New York University,1603,0,1603,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",D000084475,Bronx-Lebanon Hospital Center,1500,0,1500,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Fdj Solutions LLC,1500,0,1500,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000075213,Bolton-St Johns,1250,0,1250,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,Pursuit,1075,0,1075,2022-04-18 00:00:00 +0000,71, , ,0,          
C00267849,"",D000000839,Allied Pilots Assn,1000,1000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
