pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00108209,"",D000000335,Dominion Energy,133162,19889,113273,2022-04-18 00:00:00 +0000,1,x, ,0,D000000335
         ,"",D000000615,"Wachtell, Lipton et al",101466,0,101466,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000464,Sullivan & Cromwell,94190,0,94190,2022-04-18 00:00:00 +0000,3, ,x,0,D000000464
C00360354,"",D000023883,Amazon.com,93021,40000,53021,2022-04-18 00:00:00 +0000,4,x, ,1,D000023883
         ,"",D000021845,Apollo Global Management,92691,0,92691,2022-04-18 00:00:00 +0000,5,x, ,2,D000021845
C00350744,"",D000000085,Goldman Sachs,90000,35000,55000,2022-04-18 00:00:00 +0000,6,x, ,0,D000000085
C00215285,"",D000000317,General Atomics,87500,30000,57500,2022-04-18 00:00:00 +0000,7,x, ,0,D000000317
C00104901,"",D000000162,"Akin, Gump et al",82902,4024,78878,2022-04-18 00:00:00 +0000,8, ,x,1,D000000162
         ,"",D000030850,Vista Equity Partners,70450,0,70450,2022-04-18 00:00:00 +0000,9, , ,0,          
C00404194,"",D000021766,Genworth Financial,70120,11000,59120,2022-04-18 00:00:00 +0000,10,x, ,1,D000021766
C00128512,"",D000000103,JPMorgan Chase & Co,69943,30000,39943,2022-04-18 00:00:00 +0000,11,x, ,0,D000000103
C00325092,"",D000064813,Huntington Ingalls Industries,69773,34000,35773,2022-04-18 00:00:00 +0000,12,x, ,0,D000064813
C00009282,"",D000019639,Norfolk Southern,69677,35000,34677,2022-04-18 00:00:00 +0000,13,x, ,1,D000019639
C00225342,"",D000022103,McGuireWoods LLP,67716,17000,50716,2022-04-18 00:00:00 +0000,14, ,x,0,D000022103
C00211318,"",D000000131,Deloitte LLP,66417,30000,36417,2022-04-18 00:00:00 +0000,15,x,x,1,D000000131
C00248716,"",D000000461,Comcast Corp,65040,35000,30040,2022-04-18 00:00:00 +0000,16,x, ,0,D000000461
C00089136,"",D000000067,Altria Group,63055,30000,33055,2022-04-18 00:00:00 +0000,17,x, ,1,D000000067
         ,"",D000032760,Columbia Capital,60248,0,60248,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,59815,45500,14315,2022-04-18 00:00:00 +0000,19,x, ,2,D000000109
C00462630,"",D000021942,Covington & Burling,56932,0,56932,2022-04-18 00:00:00 +0000,20, , ,0,          
C00227546,"",D000000115,Microsoft Corp,55432,32500,22932,2022-04-18 00:00:00 +0000,21,x, ,1,D000000115
         ,"",          ,Aloha Partners,51900,0,51900,2022-04-18 00:00:00 +0000,22, , ,0,          
C00546234,"",D000000369,Leidos Inc                                        ,51293,31000,20293,2022-04-18 00:00:00 +0000,23,x, ,0,D000000369
         ,"",D000085669,"Wilbanks, Smith & Thomas Asset Management",50300,0,50300,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000043235,Weinstein Properties,49200,0,49200,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000071787,Freedom Capital Partners,48000,0,48000,2022-04-18 00:00:00 +0000,26,x, ,0,D000071787
C00493304,"",D000000141,Prudential Financial,48000,33000,15000,2022-04-18 00:00:00 +0000,26,x, ,0,D000000141
C00103549,"",D000022175,Parsons Corp,45650,42500,3150,2022-04-18 00:00:00 +0000,28,x, ,0,D000022175
C00213074,"",D000000503,Hilton Worldwide,45590,18500,27090,2022-04-18 00:00:00 +0000,29,x, ,0,D000000503
C00015933,"",D000000658,Pinnacle West Capital,44550,30000,14550,2022-04-18 00:00:00 +0000,30,x, ,1,D000000658
C00337626,"",D000000106,Morgan Stanley,44245,9500,34745,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,"Newmark, Grubb et al",44200,0,44200,2022-04-18 00:00:00 +0000,32, , ,0,          
C00410274,"",D000022099,MasterCard Inc,44105,7500,36605,2022-04-18 00:00:00 +0000,33, , ,0,          
C00088591,"",D000000170,Northrop Grumman,43404,27500,15904,2022-04-18 00:00:00 +0000,34,x, ,0,D000000170
C00109017,"",D000000076,AT&T Inc,42674,36000,6674,2022-04-18 00:00:00 +0000,35,x, ,0,D000000076
         ,"",D000033988,General Atlantic,42600,0,42600,2022-04-18 00:00:00 +0000,36,x, ,0,D000033988
C00386524,"",D000072145,Truist Financial,42345,15000,27345,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000000662,WPP Group,41750,5050,36700,2022-04-18 00:00:00 +0000,38, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,41054,39000,2054,2022-04-18 00:00:00 +0000,39,x, ,1,D000072615
C00078451,"",D000000165,General Dynamics,40443,26500,13943,2022-04-18 00:00:00 +0000,40,x, ,3,D000000165
C00151340,"",D000021569,DLA Piper,40247,6500,33747,2022-04-18 00:00:00 +0000,41, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",40150,7500,32650,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000035621,Marjorie Roberts PC,40142,0,40142,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000000769,"Paul, Weiss et al",40045,0,40045,2022-04-18 00:00:00 +0000,44, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,39500,39500,0,2022-04-18 00:00:00 +0000,45,x, ,0,D000000285
C00388827,"",D000066716,Rock Holdings,39300,3500,35800,2022-04-18 00:00:00 +0000,46,x, ,0,D000066716
C00365122,"",D000029689,Visa Inc,39275,16000,23275,2022-04-18 00:00:00 +0000,47,x, ,1,D000029689
C00540518,"",D000021890,Capital Group Companies,39200,23500,15700,2022-04-18 00:00:00 +0000,48,x, ,0,D000021890
C00421487,"",D000028428,Pragmatics Inc,39050,12700,26350,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000021757,Berkshire Hathaway,39000,32500,6500,2022-04-18 00:00:00 +0000,50, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,38835,35000,3835,2022-04-18 00:00:00 +0000,51,x,x,0,D000000124
         ,"",D000033992,Generation Investment Management,38800,0,38800,2022-04-18 00:00:00 +0000,52, , ,0,          
C00186288,"",D000000079,Verizon Communications,38274,22000,16274,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000068512,Emerson Collective,38100,0,38100,2022-04-18 00:00:00 +0000,54, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,38000,35000,3000,2022-04-18 00:00:00 +0000,55,x, ,0,D000000062
C00040279,"",D000000383,Abbott Laboratories,37565,37500,65,2022-04-18 00:00:00 +0000,56,x, ,1,D000000383
         ,"",D000024690,CGI Group                               ,37068,24000,13068,2022-04-18 00:00:00 +0000,57, , ,0,          
C00105981,"",D000000262,Investment Co Institute,37000,35500,1500,2022-04-18 00:00:00 +0000,58,x, ,1,D000000262
         ,"",D000020995,UBS AG,36950,30000,6950,2022-04-18 00:00:00 +0000,59, , ,0,          
C00004275,"",D000000087,American Bankers Assn,36888,33500,3388,2022-04-18 00:00:00 +0000,60,x, ,1,D000000087
C00158881,"",D000000249,New York Life Insurance,36800,30000,6800,2022-04-18 00:00:00 +0000,61,x, ,1,D000000249
         ,"",D000076314,Estes Express Lines,36240,0,36240,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000021867,Baupost Group,35600,0,35600,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",35500,0,35500,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000036182,New Enterprise Assoc,35400,0,35400,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000000496,US Senate,35298,0,35298,2022-04-18 00:00:00 +0000,66, , ,0,          
C00096156,"",D000000334,Honeywell International,35250,35000,250,2022-04-18 00:00:00 +0000,67,x, ,0,D000000334
C00130773,"",D000000755,National Multifamily Housing Council,35000,35000,0,2022-04-18 00:00:00 +0000,68,x, ,0,D000000755
         ,"",D000035437,Lone Pine Capital,34400,0,34400,2022-04-18 00:00:00 +0000,69, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,34100,25000,9100,2022-04-18 00:00:00 +0000,70,x, ,2,D000022131
         ,"",D000021873,Blackstone Group,33255,0,33255,2022-04-18 00:00:00 +0000,71, , ,0,          
C00097485,"",D000000275,Merck & Co,33050,28000,5050,2022-04-18 00:00:00 +0000,72,x, ,1,D000000275
         ,"",D000032786,Commonwealth of Virginia                ,32908,0,32908,2022-04-18 00:00:00 +0000,73, , ,0,          
C00468314,"",D000025328,Democracy Engine,32786,0,32786,2022-04-18 00:00:00 +0000,74, , ,0,          
C00300178,"",D000019743,Wells Fargo,32160,22500,9660,2022-04-18 00:00:00 +0000,75,x, ,1,D000019743
