pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,959128,0,959128,2022-04-18 00:00:00 +0000,1, , ,0,          
C00468314,"",D000025328,Democracy Engine,202083,0,202083,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000067823,Alphabet Inc,201938,0,201938,2022-04-18 00:00:00 +0000,3,x, ,0,D000067823
         ,"",D000000406,University of California                ,152864,0,152864,2022-04-18 00:00:00 +0000,4, , ,0,          
C00441949,"",          ,JStreetPAC,92346,0,92346,2022-04-18 00:00:00 +0000,5, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,83024,0,83024,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000769,"Paul, Weiss et al                       ",80000,0,80000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000033433,Emory University                        ,76271,0,76271,2022-04-18 00:00:00 +0000,8,x, ,0,D000033433
         ,"",D000022322,Wilmerhale Llp,66430,0,66430,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000021754,Apple Inc,63335,0,63335,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000022082,"Lieff, Cabraser et al                   ",61615,0,61615,2022-04-18 00:00:00 +0000,11, , ,0,          
C00360354,"",D000023883,Amazon.com                              ,57933,0,57933,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000000750,Stanford University                     ,52525,0,52525,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000034986,Kaiser Permanente                       ,52090,0,52090,2022-04-18 00:00:00 +0000,14, , ,0,          
C00266585,"",D000000344,Greenberg Traurig LLP,51892,5000,46892,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000030723,US Dept of Health & Human Services      ,51223,0,51223,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000022300,US Government,50935,0,50935,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000000812,State of California,50499,0,50499,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000032285,Capital Group,49422,0,49422,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",45600,0,45600,2022-04-18 00:00:00 +0000,20,x, ,0,D000000333
         ,"",D000021872,BlackRock Inc,43925,0,43925,2022-04-18 00:00:00 +0000,21, , ,0,          
C00197749,"",D000000128,Walt Disney Co,42542,0,42542,2022-04-18 00:00:00 +0000,22, , ,0,          
C00248716,"",D000000461,Comcast Corp,38398,0,38398,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000030667,University of Maryland                  ,38168,0,38168,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Warner Brothers Discovery,37906,0,37906,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000022297,University of Washington,37353,0,37353,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000000720,IBM Corp,36889,0,36889,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000000544,Harvard University                      ,35474,0,35474,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000036528,Mass General Brigham,35033,0,35033,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000021927,Columbia University                     ,34580,0,34580,2022-04-18 00:00:00 +0000,30, , ,0,          
C00204453,"",D000000550,King & Spalding,33031,2500,30531,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000089103,Matrix Private Capital Group,33000,0,33000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,31410,0,31410,2022-04-18 00:00:00 +0000,33, , ,0,          
C00502906,"",D000033563,Meta,30665,0,30665,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000022098,Massachusetts Institute of Technology   ,30397,0,30397,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000083637,Dragonfly Therapeutics,28900,0,28900,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000030730,US Dept of Veterans Affairs             ,28804,0,28804,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000032620,City University of New York             ,28143,0,28143,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000021915,"City of New York, NY",27513,0,27513,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000000306,Soros Fund Management,27400,0,27400,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000030679,University of North Carolina,26680,0,26680,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000031958,Bill & Melinda Gates Foundation,26418,0,26418,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000000517,DE Shaw & Co,26369,0,26369,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000022331,Yale University                         ,26364,0,26364,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000030671,University of Michigan                  ,26293,0,26293,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000022154,New York University,25666,0,25666,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000022299,US Dept of Defense                      ,25427,0,25427,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000059925,Abelson Taylor,25335,0,25335,2022-04-18 00:00:00 +0000,48, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",25291,2500,22791,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000000381,US Dept of State,23509,0,23509,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000036033,MPS Group                               ,23500,0,23500,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Carson Family Charitable Trust,23200,0,23200,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Myers-JDC-Brookdale Institute,23200,0,23200,2022-04-18 00:00:00 +0000,52, , ,0,          
C00518233,"",D000036161,Netflix Inc,23015,0,23015,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000086892,Scaled Agile,22800,0,22800,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000022194,Power Rogers Llp,22575,0,22575,2022-04-18 00:00:00 +0000,56, , ,0,          
C00284885,"",D000000419,Home Depot,22514,0,22514,2022-04-18 00:00:00 +0000,57,x, ,0,D000000419
         ,"",D000030722,US Dept of Energy                       ,22245,0,22245,2022-04-18 00:00:00 +0000,58, , ,0,          
C00311142,"",D000073173,Troutman Pepper,22224,0,22224,2022-04-18 00:00:00 +0000,59, , ,0,          
C00511600,"",D000037335,Salesforce.Com                          ,21714,0,21714,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000030072,State University of New York            ,21640,0,21640,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Simple Wishes,21600,0,21600,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000037205,Wonderful Co,21600,0,21600,2022-04-18 00:00:00 +0000,62,x, ,0,D000037205
C00274431,"",D000000348,UnitedHealth Group,21583,0,21583,2022-04-18 00:00:00 +0000,64, , ,0,          
C00323048,"",D000000422,Oracle Corp,20879,0,20879,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000022296,University of Texas                     ,20569,0,20569,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000030697,University of Virginia,20504,0,20504,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",D000033989,General Catalyst Partners,20300,0,20300,2022-04-18 00:00:00 +0000,68, , ,0,          
C00144774,"",D000000168,Southern Co                             ,20257,0,20257,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000021767,National Amusements Inc,20255,0,20255,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",D000021464,United Airlines Holdings,20002,0,20002,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000030719,US Dept of Agriculture,19804,0,19804,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000037602,"Simpson, Thacher & Bartlett",19700,0,19700,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000034019,Georgia State University,19557,0,19557,2022-04-18 00:00:00 +0000,74, , ,0,          
C90005786,"",D000000288,League of Conservation Voters,19159,5983,13176,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",D000030737,US Postal Service,19096,0,19096,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000021919,Clifford Law Offices,18850,0,18850,2022-04-18 00:00:00 +0000,77, , ,0,          
C00104802,"",D000000350,Delta Air Lines,18563,0,18563,2022-04-18 00:00:00 +0000,78, , ,0,          
C00142711,"",D000000100,Boeing Co                               ,18430,0,18430,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000032237,California State University             ,18429,0,18429,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000030693,University of Southern California,17916,0,17916,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",D000033300,Duke University,17798,0,17798,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",          ,Dekalb County,17786,0,17786,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000068512,Emerson Collective,17725,0,17725,2022-04-18 00:00:00 +0000,84, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,17500,17500,0,2022-04-18 00:00:00 +0000,85,x, ,0,D000000285
         ,"",D000030573,Tufts University,17465,0,17465,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",D000033992,Generation Investment Management,17400,0,17400,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",D000090773,Quantum Radiology,17400,0,17400,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",D000094207,Firewood Marketing,17248,0,17248,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",D000023342,US Army,17082,0,17082,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000000811,Kirkland & Ellis,17063,0,17063,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",D000030658,University of Georgia,17048,0,17048,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",D000030698,University of Wisconsin                 ,16916,0,16916,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",D000036303,NVIDIA Corp,16494,0,16494,2022-04-18 00:00:00 +0000,94, , ,0,          
C00109017,"",D000000076,AT&T Inc,16260,0,16260,2022-04-18 00:00:00 +0000,95, , ,0,          
         ,"",D000032877,Cornell University                      ,15918,0,15918,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000087830,Blackivy Group,15800,0,15800,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000087218,"Garland, Samuel & Loeb",15778,0,15778,2022-04-18 00:00:00 +0000,98, , ,0,          
C00300178,"",D000019743,Wells Fargo,15774,0,15774,2022-04-18 00:00:00 +0000,99, , ,0,          
         ,"",D000023074,US Air Force,15651,0,15651,2022-04-18 00:00:00 +0000,100, , ,0,          
