pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00193433,"",D000000113,EMILY's List,128630,5000,123630,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000544,Harvard University                      ,125698,0,125698,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000406,University of California,109946,0,109946,2022-04-18 00:00:00 +0000,3, , ,0,          
C00450098,"",D000029916,Womencount PAC,109512,3005,106507,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000067823,Alphabet Inc,65704,0,65704,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000022098,Massachusetts Institute of Technology   ,61938,0,61938,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000024489,Brown Rudnick Llp,60275,5000,55275,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000030668,University of Massachusetts             ,57618,0,57618,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000000750,Stanford University                     ,48496,0,48496,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,NOT EMPLOYED,46752,0,46752,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000032062,Boston University                       ,43629,0,43629,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000036528,Mass General Brigham,42784,0,42784,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000022082,"Lieff, Cabraser et al",38500,0,38500,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Warner Brothers Discovery,37586,0,37586,2022-04-18 00:00:00 +0000,14, , ,0,          
C90005786,"",D000000288,League of Conservation Voters,34235,31,34204,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000022296,University of Texas                     ,33178,0,33178,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000032785,Commonwealth of Massachusetts           ,31574,0,31574,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000032620,City University of New York             ,31502,0,31502,2022-04-18 00:00:00 +0000,18, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,30715,0,30715,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000021754,Apple Inc,29764,0,29764,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000030671,University of Michigan                  ,29764,0,29764,2022-04-18 00:00:00 +0000,20, , ,0,          
C00248716,"",D000000461,Comcast Corp,28430,0,28430,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000000812,State of California,28412,0,28412,2022-04-18 00:00:00 +0000,23, , ,0,          
C00468314,"",D000025328,Democracy Engine,27556,0,27556,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000000771,Berger & Montague,27291,0,27291,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000022297,University of Washington                ,26197,0,26197,2022-04-18 00:00:00 +0000,26, , ,0,          
C00553966,"",D000064114,Yelp Inc,25670,0,25670,2022-04-18 00:00:00 +0000,27, , ,0,          
C00511600,"",D000037335,Salesforce.com,25631,0,25631,2022-04-18 00:00:00 +0000,28, , ,0,          
C00337626,"",D000000106,Morgan Stanley,24307,0,24307,2022-04-18 00:00:00 +0000,29, , ,0,          
C00360354,"",D000023883,Amazon.com                              ,24109,0,24109,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000034986,Kaiser Permanente,24107,0,24107,2022-04-18 00:00:00 +0000,31, , ,0,          
C00197749,"",D000000128,Walt Disney Co                          ,23924,0,23924,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000032895,"Cotchett, Pitre & McCarthy",23900,0,23900,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000034140,Goulston & Storrs,23725,0,23725,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,23560,0,23560,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000022295,University of Pennsylvania,22617,0,22617,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000000388,Baron & Budd,22525,0,22525,2022-04-18 00:00:00 +0000,37, , ,0,          
