pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00126763,"",D000000240,National Assn of Convenience Stores,20000,20000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00007922,"",D000000074,Laborers Union,17500,17500,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Maple Syrup Producer,17400,0,17400,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Otis College of Art & Design,17400,0,17400,2022-04-18 00:00:00 +0000,3, , ,0,          
C00750331,"",D000053631,Sevita,16200,0,16200,2022-04-18 00:00:00 +0000,5, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",15300,2500,12800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,NOT EMPLOYED,15069,0,15069,2022-04-18 00:00:00 +0000,7, , ,0,          
C00364109,"",D000023930,America's Communications Assn,15000,15000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00248716,"",D000000461,Comcast Corp,12600,0,12600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000062938,Pomerleau Real Estate,12600,0,12600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000036528,Mass General Brigham,11605,0,11605,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000021859,Bain Capital,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000021867,Baupost Group,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Beacon Health Options,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000032196,Burton Snowboards,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Film Producer & Environmental Consul,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000069001,High Meadows Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Learning Through An Expanded Arts Prog,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
