pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000037563,Sierra Pacific Industries,18300,0,18300,2022-04-18 00:00:00 +0000,1, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,15003,0,15003,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000071044,Resource Management Service LLC,14967,0,14967,2022-04-18 00:00:00 +0000,3, , ,0,          
C00041608,"",D000070062,PotlatchDeltic Corp,12500,12500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,James Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
C00236489,"",D000000186,Koch Industries,11000,11000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00608943,"",          ,ClearPath Action,10800,0,10800,2022-04-18 00:00:00 +0000,7, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",10400,2000,8400,2022-04-18 00:00:00 +0000,8, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00245548,"",D000022134,National Marine Manufacturers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00122101,"",D000000757,Safari Club International,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00007948,"",D000000430,Weyerhaeuser Co,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Rabb'S Construction,8700,0,8700,2022-04-18 00:00:00 +0000,14, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,8500,8500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00096156,"",D000000334,Honeywell International,8500,8500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000023641,Pechanga Band of Luiseno Mission Indians,7900,0,7900,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000023656,Shakopee Mdewakanton Sioux Community,7900,0,7900,2022-04-18 00:00:00 +0000,17, , ,0,          
C00004275,"",D000000087,American Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00435024,"",D000024671,Center for Sportfishing Policy,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00076182,"",D000027897,National Turkey Federation,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00093054,"",D000000367,Walmart Inc,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Risher Companies,7300,0,7300,2022-04-18 00:00:00 +0000,24, , ,0,          
C00304634,"",D000000308,National Mining Assn,7000,6000,1000,2022-04-18 00:00:00 +0000,25, , ,0,          
C00024968,"",D000000194,American Optometric Assn,6500,6500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",6000,6000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000060115,Anthony Timberlands,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000060601,Central Arkansas Nursing Centers,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000060635,Cherokee Nation,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Hixson Lumber Sales,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000036737,Poarch Band Of Creek Indians,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
C00489419,"",D000060069,American Kidney Stone Management,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00249532,"",D000024020,American Sportfishing Assn,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00034488,"",          ,Anheuser-Busch,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00010421,"",D000000187,Associated Builders & Contractors,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00204099,"",D000000408,Deere & Co,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000088109,Double Eagle Development,5000,0,5000,2022-04-18 00:00:00 +0000,33, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00402321,"",          ,Green Diamond Resource Co,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00349373,"",          ,Gulf States Toyota,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00326439,"",D000022031,House Conservatives Fund,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00448373,"",D000026537,Huck PAC,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00034405,"",D000000171,International Paper,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00303024,"",D000000104,Lockheed Martin,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00480863,"",D000054336,National Shooting Sports Foundation,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00158881,"",D000000249,New York Life Insurance,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00200865,"",D000065775,Road to Freedom PAC,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00236083,"",D000028850,S&B Engineers & Constructors,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00589044,"",D000058571,Westervelt Co,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00040394,"",D000000480,Williams Companies,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000022250,Silver Eagle Distributors,4900,0,4900,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000023639,Morongo Band Of Mission Indians,4800,0,4800,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000021757,Berkshire Hathaway,4500,4500,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00121368,"",D000000129,Exxon Mobil,4500,4500,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,O' Connor Distributing,4500,0,4500,2022-04-18 00:00:00 +0000,57, , ,0,          
C00350884,"",          ,Resolute FP US,4500,4500,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000090462,Maxwell Hardwood Flooring,4200,0,4200,2022-04-18 00:00:00 +0000,61, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,4009,4000,9,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000025688,Energy Transfer LP,4000,4000,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00068692,"",D000000089,FedEx Corp,4000,4000,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000053882,Mohegan Tribe Of Indians Of Connecticut,4000,0,4000,2022-04-18 00:00:00 +0000,63, , ,0,          
C00416297,"",D000000431,National Cotton Council,4000,4000,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000056248,Ross Explorations,4000,0,4000,2022-04-18 00:00:00 +0000,63, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,4000,4000,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,4000,4000,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00064766,"",D000000081,United Parcel Service,4000,4000,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00145722,"",D000027753,Murphy Oil,3900,0,3900,2022-04-18 00:00:00 +0000,71, , ,0,          
C00236034,"",D000029797,Werner Enterprises,3503,3500,3,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Cooling & Applied Technology,3500,0,3500,2022-04-18 00:00:00 +0000,73, , ,0,          
C00363879,"",D000000255,Entergy Corp,3500,3500,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00227546,"",D000000115,Microsoft Corp,3500,3500,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00004473,"",D000022141,NTCA/Rural Broadband Assn,3500,3500,0,2022-04-18 00:00:00 +0000,73, , ,0,          
C00425975,"",D000029877,Windstream Communications,3500,2500,1000,2022-04-18 00:00:00 +0000,73, , ,0,          
C00371336,"",D000023961,American Forest Resource Council,3000,3000,0,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000023649,Chickasaw Nation,3000,0,3000,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",          ,Keith Smith Co,3000,0,3000,2022-04-18 00:00:00 +0000,78, , ,0,          
