pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,16448,0,16448,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000034929,Jones Day,14500,0,14500,2022-04-18 00:00:00 +0000,2, , ,0,          
C00078451,"",D000000165,General Dynamics,14325,2000,12325,2022-04-18 00:00:00 +0000,3, , ,0,          
C00441949,"",          ,JStreetPAC,13360,2000,11360,2022-04-18 00:00:00 +0000,4, , ,0,          
C00360354,"",D000023883,Amazon.com,12730,1000,11730,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000033298,"Duff, Ackerman & Goodrich",11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000033821,Fried Companies,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000034935,Jordan Real Estate Investments,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000030139,Strategic Analysis Inc,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00412791,"",D000021990,Forward Together PAC,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00344234,"",D000000520,PAC to the Future,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,M&M Landscape & Irrigation,8700,0,8700,2022-04-18 00:00:00 +0000,13, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,8025,8000,25,2022-04-18 00:00:00 +0000,14, , ,0,          
C00024521,"",D000000065,American Assn for Justice,7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",7399,0,7399,2022-04-18 00:00:00 +0000,17, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,7020,7000,20,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Bob Ross Inc,6900,0,6900,2022-04-18 00:00:00 +0000,19, , ,0,          
C00088591,"",D000000170,Northrop Grumman,6390,6000,390,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000021930,Dxc Technology,6126,0,6126,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000022241,"Schulte, Roth & Zabel",6010,0,6010,2022-04-18 00:00:00 +0000,22, , ,0,          
C00747766,"",          ,Truth to Power,6000,6000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00428623,"",          ,Google Inc,5900,0,5900,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000031277,Accel Partners,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000087823,Addrex Inc,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Aeronautical Systems Inc,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,AOL LLC,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000032285,Capital Group,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000087314,Chapman Development,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000032840,Consumer Litigation Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000090449,Electra Aero,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Electric Aviation Startup,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000090109,Fore Property,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Gba Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
C00737114,"",D000074357,Hawkeye 360,5800,5800,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000034415,Hendersen-Webb Inc,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Henry Jh Harris Ltd,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Intelligize,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Iridium,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000091651,Law Offices of R Stephen McNally,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000035437,Lone Pine Capital,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000084291,Northlane Capital Partners,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Oak Hill Farm,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
