pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C90005786,"",D000000288,League of Conservation Voters,167561,18362,149199,2022-04-18 00:00:00 +0000,1,x, ,0,D000000288
C00468314,"",D000025328,Democracy Engine,103538,0,103538,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000022275,Technology Crossover Ventures,50400,0,50400,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000022121,Motley Rice LLC,46475,0,46475,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",44300,0,44300,2022-04-18 00:00:00 +0000,5,x, ,0,D000000333
         ,"",D000021903,Centerbridge Partners,40000,0,40000,2022-04-18 00:00:00 +0000,6,x, ,0,D000021903
         ,"",D000031847,Bauman Foundation,37900,0,37900,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Aloha Partners,36900,0,36900,2022-04-18 00:00:00 +0000,8, , ,0,          
C00024521,"",D000000065,American Assn for Justice,35000,35000,0,2022-04-18 00:00:00 +0000,9,x,x,2,D000000065
         ,"",D000022322,Wilmerhale Llp,34839,0,34839,2022-04-18 00:00:00 +0000,10, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,34000,34000,0,2022-04-18 00:00:00 +0000,11,x, ,0,D000000101
         ,"",D000032165,Brown University,33489,0,33489,2022-04-18 00:00:00 +0000,12, , ,0,          
C00197749,"",D000000128,Walt Disney Co,33320,9000,24320,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,"Chisholm, Chisholm & Kilpatrick",33225,0,33225,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000022194,Power Rogers LLP,32700,0,32700,2022-04-18 00:00:00 +0000,15, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,31100,28400,2700,2022-04-18 00:00:00 +0000,16,x, ,0,D000000069
C00007922,"",D000000074,Laborers Union,30000,30000,0,2022-04-18 00:00:00 +0000,17,x, ,0,D000000074
C70002563,"",D000000062,National Assn of Realtors               ,28640,28400,240,2022-04-18 00:00:00 +0000,18,x, ,0,D000000062
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",28500,28500,0,2022-04-18 00:00:00 +0000,19,x, ,0,D000071033
         ,"",D000035254,Larkspur Management,28303,0,28303,2022-04-18 00:00:00 +0000,20, , ,0,          
C00493940,"",D000053441,Masimo Corp,27256,2206,25050,2022-04-18 00:00:00 +0000,21,x, ,1,D000053441
C00384818,"",D000025214,CVS Health,26660,20000,6660,2022-04-18 00:00:00 +0000,22,x, ,2,D000025214
         ,"",D000044240,Moelis & Co,26400,0,26400,2022-04-18 00:00:00 +0000,23, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,26000,26000,0,2022-04-18 00:00:00 +0000,24,x, ,1,D000000202
         ,"",D000066687,Forbes Tate Partners,23200,0,23200,2022-04-18 00:00:00 +0000,25, ,x,1,D000066687
         ,"",D000086760,Cornish Assoc,23075,0,23075,2022-04-18 00:00:00 +0000,26, , ,0,          
C00248716,"",D000000461,Comcast Corp,22766,7500,15266,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000082359,Fay Law Group,22400,0,22400,2022-04-18 00:00:00 +0000,28,x, ,0,D000082359
C00441949,"",          ,JStreetPAC,22374,5000,17374,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000072040,Hackman Capital Partners,21600,0,21600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000022057,"Kazan, McClain et al",20900,0,20900,2022-04-18 00:00:00 +0000,31, , ,0,          
