pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,93199,0,93199,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,NOT EMPLOYED,43659,0,43659,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000022295,University of Pennsylvania,27540,0,27540,2022-04-18 00:00:00 +0000,3, , ,0,          
C00422774,"",          ,Frontline USA,24611,5576,19035,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000063703,Third Rock Ventures,23200,0,23200,2022-04-18 00:00:00 +0000,5, , ,0,          
C00193433,"",D000000113,EMILY's List,19090,5000,14090,2022-04-18 00:00:00 +0000,6, , ,0,          
C00248716,"",D000000461,Comcast Corp,16628,0,16628,2022-04-18 00:00:00 +0000,7, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,15350,15000,350,2022-04-18 00:00:00 +0000,8, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",13500,13500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00502906,"",D000033563,Meta,12759,0,12759,2022-04-18 00:00:00 +0000,10, , ,0,          
C00559302,"",D000069457,FS Investments,12350,0,12350,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000030327,Temple University,11630,0,11630,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Duggan & Marcon,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000068512,Emerson Collective,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000033992,Generation Investment Management,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000052426,Ischemix,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000090564,McS Industries,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000065774,Richmond Global,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Shift4 Payments,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
C00553966,"",D000064114,Yelp Inc,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000055049,Orasure Technologies,11550,0,11550,2022-04-18 00:00:00 +0000,23, , ,0,          
C00364133,"",D000021963,Duane Morris LLP,11300,3000,8300,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Massachusetts General Hospital,10870,0,10870,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000042582,Boston Beer Co,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Light & Illumination,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000036737,Poarch Band of Creek Indians,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
C00024521,"",D000000065,American Assn for Justice,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00343459,"",D000021829,American College of Radiology,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00617803,"",          ,Jobs Education & Families First,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00685552,"",D000073603,Medicare for All PAC,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000094128,Charleston Law School,8800,0,8800,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000033298,"Duff, Ackerman & Goodrich",8700,0,8700,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000073978,K Rowe Investments,8600,0,8600,2022-04-18 00:00:00 +0000,40, , ,0,          
C00699421,"",          ,A Woman's Place PAC,8500,8500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000057970,University City Science Center,8300,0,8300,2022-04-18 00:00:00 +0000,42, , ,0,          
C00685297,"",D000074088,Elect Democratic Women,8000,8000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00549014,"",          ,Hudson Valley PAC (Maloney),8000,8000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000070833,Lehigh Valley Health Network,7940,0,7940,2022-04-18 00:00:00 +0000,45, , ,0,          
C70000492,"",D000000064,National Education Assn,7810,2000,5810,2022-04-18 00:00:00 +0000,46, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,7500,7500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00003632,"",D000000302,Bricklayers Union,7500,7500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,7500,7500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00573261,"",          ,End Citizens United,7500,7500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00439992,"",D000027027,Keystone America PAC,7500,7500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000088358,Oasis Labs,7300,0,7300,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000021754,Apple Inc,6812,0,6812,2022-04-18 00:00:00 +0000,54, , ,0,          
