pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000094474,Rj Machine Co,21600,0,21600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Fort Worth Oral Surgery,16600,0,16600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000032027,Bobby Cox Companies,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000094233,Boenker Group of Companies,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000034096,Goff Capital Partners,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000087339,Hanover Co,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Hunt Consolidated,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Paramount Investments,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000036580,Peirson & Patterson,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Vermeer Texas-Louisiana,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Patriot Insurance (Texas),11598,0,11598,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000090367,Clay Cooley Auto Group,10800,0,10800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Hoffman Partners,10800,0,10800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000037487,Sewell Automotive,10800,0,10800,2022-04-18 00:00:00 +0000,16, , ,0,          
C00250399,"",D000021853,Automotive Free International Trade PAC           ,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Pegasus Resources,10000,0,10000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,US Polyco,10000,0,10000,2022-04-18 00:00:00 +0000,19, , ,0,          
C00303024,"",D000000104,Lockheed Martin,9050,1000,8050,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,24, , ,0,          
C00004275,"",D000000087,American Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00193631,"",D000000359,Farm Credit Council,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000044899,Hillwood Development,7299,0,7299,2022-04-18 00:00:00 +0000,27, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,7000,7000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,7000,7000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000035504,Luther King Capital Management,6800,0,6800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000041597,Moncrief Oil,6800,0,6800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000035862,Midland Energy,6470,0,6470,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000033156,Dfb Pharmaceuticals,6266,0,6266,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000044650,Andrews Distributing,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000064667,Creative Solutions In Healthcare,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Dynamic Production,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000044012,Four Sevens Oil,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000035735,McKee Foods,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000086948,Mls Direct Network,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Nolan Brothers Inc,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000036804,Prescott Investors,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Q2 Banking,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000068878,Q2 Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Railhead Realty,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000092574,Rlb Contracting,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Sawyer Law Firm,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Southwest Auto Group,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Thonton Steel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000022288,Trt Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Valmore Gp,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Westwood Contractors,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000022250,Silver Eagle Distributors,5799,0,5799,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Hiley Auto Group,5600,0,5600,2022-04-18 00:00:00 +0000,65, , ,0,          
C00038604,"",D000000590,American Financial Services Assn,5500,5500,0,2022-04-18 00:00:00 +0000,66, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,5500,5500,0,2022-04-18 00:00:00 +0000,66, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,5500,5500,0,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000072030,Susser Holdings,5033,0,5033,2022-04-18 00:00:00 +0000,69, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00172635,"",D000000523,Bass Brothers Enterprises,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00559146,"",          ,Believe in Life Liberty Yourself,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00590356,"",          ,Building & Restoring the American Dream,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,Clay Cooley Investments,5000,0,5000,2022-04-18 00:00:00 +0000,70, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00540393,"",          ,DBM PAC,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00227744,"",D000000098,Ernst & Young,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00379768,"",D000033552,Experian,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00448373,"",D000026537,Huck PAC,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00540187,"",D000027721,Innovation PAC,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00236489,"",D000000186,Koch Industries,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",D000035647,Martin Sprocket & Gear,5000,0,5000,2022-04-18 00:00:00 +0000,70, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,Patriot Buick-Gmc,5000,0,5000,2022-04-18 00:00:00 +0000,70, , ,0,          
C00758722,"",          ,Patriots Always Triumph,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00531590,"",          ,Patriots In Action,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00432252,"",D000022216,Regions Financial,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00762591,"",          ,Save America,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00770255,"",          ,Six PAC (Miller-Meeks),5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00726729,"",          ,South Jersey United in Trust PAC,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00570226,"",D000071238,Supporting Electing American Leaders,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00753384,"",          ,Texas Red,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,Two Sisters Shoppe,5000,0,5000,2022-04-18 00:00:00 +0000,70, , ,0,          
C00012245,"",          ,UBS Americas,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00164145,"",D000029616,USAA,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00499798,"",          ,VICKY PAC,5000,5000,0,2022-04-18 00:00:00 +0000,70, , ,0,          
