pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00109017,"",D000000076,AT&T Inc,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C70003124,"",D000000077,Service Employees International Union,10000,5000,5000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00068692,"",D000000089,FedEx Corp,6000,6000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Kemet Group,6000,0,6000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",6000,6000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Carnival Cruise Lines,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000032704,Coastal Construction Group,5000,0,5000,2022-04-18 00:00:00 +0000,8, , ,0,          
C00158576,"",D000000189,International Longshoremens Assn,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Mnr,5000,0,5000,2022-04-18 00:00:00 +0000,8, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00064774,"",D000000321,NextEra Energy,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00133611,"",          ,Operating Engineers Local 487,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,4500,4500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00024521,"",D000000065,American Assn for Justice,4000,4000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000031872,Becker & Poliakoff,4000,0,4000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,4000,4000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C70001979,"",D000000066,Teamsters Union                         ,4000,4000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00008268,"",D000000178,Transport Workers Union,4000,4000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00300178,"",D000019743,Wells Fargo,4000,4000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,3500,3500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",2500,1000,1500,2022-04-18 00:00:00 +0000,28, , ,0,          
C00522094,"",          ,American Psychological Assn Services,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00160838,"",          ,Bacardi USA,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00147512,"",D000021932,Congressional Black Caucus PAC,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00451153,"",D000027847,National Football League,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00619429,"",D000054245,National Football League Players Assn,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00663609,"",          ,Progressive Majority PAC                          ,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000037257,Royal Caribbean Group,2500,0,2500,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Tseng Group,2500,0,2500,2022-04-18 00:00:00 +0000,28, , ,0,          
C00002840,"",D000000070,United Auto Workers,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00107300,"",          ,American Airlines,2000,2000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,2000,2000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00235739,"",          ,BNSF Railway,2000,2000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000032876,Cormac Group                            ,2000,0,2000,2022-04-18 00:00:00 +0000,40, , ,0,          
C00163832,"",D000000148,CSX Corp,2000,2000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,2000,2000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C70000492,"",D000000064,National Education Assn,2000,2000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00009282,"",D000019639,Norfolk Southern,2000,2000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00432252,"",D000022216,Regions Financial,2000,2000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
