pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00278895,"",D000022145,"Nelson, Mullins et al",22600,10000,12600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000044144,Willoughby & Hoefer,20100,0,20100,2022-04-18 00:00:00 +0000,2, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000054748,North American Rescue,10800,0,10800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00731414,"",D000072270,Amentum Services,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00102368,"",D000000534,Desert Caucus,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00281212,"",D000000583,BAE Systems,9006,9000,6,2022-04-18 00:00:00 +0000,8, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,7500,7500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Terminix Service Inc,6800,0,6800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Dodgeland of Columbia,6500,0,6500,2022-04-18 00:00:00 +0000,11, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,6500,6500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000076741,Hmr Veterans Services,6000,0,6000,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000022086,Livingston Group,5934,0,5934,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000031467,American Business Development Group,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Colsa Corp,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Frank'S Car Wash,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000037688,Southeastern Freight Lines,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Stern Development,5800,0,5800,2022-04-18 00:00:00 +0000,15, , ,0,          
