pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Industrial Security Integrators LLC,20100,0,20100,2022-04-18 00:00:00 +0000,1, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,20000,20000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000030810,Veritas Capital                         ,17659,17500,159,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Annandale Millwork & Allied Systems,17400,0,17400,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000021873,Blackstone Group,17400,0,17400,2022-04-18 00:00:00 +0000,4, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,15061,15000,61,2022-04-18 00:00:00 +0000,6, , ,0,          
C00365502,"",D000022588,BWX Technologies,15000,15000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Kearney Co,14500,0,14500,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000088581,SB Ballard Construction,13800,0,13800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000086991,Punaro Group,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Sanford Federal,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Tychon,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
C00303024,"",D000000104,Lockheed Martin,11000,11000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Meridian Health Plan,10800,0,10800,2022-04-18 00:00:00 +0000,14, , ,0,          
C00249532,"",D000024020,American Sportfishing Assn,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00281212,"",D000000583,BAE Systems,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000076742,Ita International,10000,0,10000,2022-04-18 00:00:00 +0000,15, , ,0,          
C00275123,"",          ,Leonardo DRS,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00208983,"",D000027370,ManTech International,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00304477,"",D000028179,Oshkosh Corp,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Global Exchange Connection LLC,9996,0,9996,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000077538,Hartwell Capitol Consulting,9800,0,9800,2022-04-18 00:00:00 +0000,26, , ,0,          
C00300418,"",D000067120,SAIC,9550,9500,50,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000031477,American Defense International,9350,0,9350,2022-04-18 00:00:00 +0000,28, , ,0,          
C00546234,"",D000000369,Leidos Inc,9239,9000,239,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Aspetto Inc,8800,0,8800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Industrial Security Integratorsllc,8700,0,8700,2022-04-18 00:00:00 +0000,31, , ,0,          
C00142299,"",D000000371,Jacobs Engineering Group,8500,8500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00296822,"",          ,Rolls-Royce North America,8500,8500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Bmf,8400,0,8400,2022-04-18 00:00:00 +0000,34, , ,0,          
