pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00540146,"",          ,First In Freedom PAC,15000,10000,5000,2022-04-18 00:00:00 +0000,1, , ,0,          
C90012063,"",D000028612,Republican Jewish Coalition,15000,5000,10000,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000083796,National Debt Relief,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000031011,WESTERN NATIONAL GROUP,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00641142,"",          ,Americans for Legislating Excellence PAC,10000,10000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000030377,Third Point LLC                         ,10000,0,10000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000068962,Farragut Partners,8300,0,8300,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000090421,Warren Henry Auto Group,7732,0,7732,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000021889,CANTOR FITZGERALD,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000061240,Fe Richardson & Co,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000061337,FOUNDERS FUND,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000033784,"Fox, Paine & Co",5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000080499,FRANKLIN MOUNTAIN MANAGEMENT,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00769695,"",          ,Freedom Force PAC,5800,5800,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000068961,HAROLD SIMMONS FOUNDATION,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000070896,JAT Capital Partners,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000035735,McKee Foods,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000036192,NEW MOUNTAIN CAPITAL,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000037318,Sabin Metal,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Valmore Gp,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Cbmg,5600,0,5600,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000036344,Oc Global Partners,5600,0,5600,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Preserv of America'S Abroad,5200,0,5200,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Dmk Invest,5050,0,5050,2022-04-18 00:00:00 +0000,35, , ,0,          
C00342766,"",D000026132,HollyFrontier Corp,5025,5000,25,2022-04-18 00:00:00 +0000,36, , ,0,          
C00572271,"",          ,Building America's Republican Representation,5000,5000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00553883,"",          ,Building American Conservatism PAC,5000,5000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00390161,"",D000025728,Eureka PAC,5000,5000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000073422,Miller Strategies,5000,0,5000,2022-04-18 00:00:00 +0000,37, , ,0,          
C00364174,"",D000022284,Together for Our Majority,5000,5000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Tompac Ii,5000,0,5000,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Van Taylor Campaign,5000,5000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000044899,Hillwood Development,4196,0,4196,2022-04-18 00:00:00 +0000,45, , ,0,          
C00633818,"",          ,Old North State PAC                               ,4000,4000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00570226,"",D000071238,Supporting Electing American Leaders,4000,4000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00478099,"",D000045889,Atlas Air Worldwide,3525,3500,25,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Dmk Invest LLC,3000,0,3000,2022-04-18 00:00:00 +0000,49, , ,0,          
C00764795,"",          ,We the People Leadership PAC,2900,2900,0,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000087461,X Strategies,2900,0,2900,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000086434,"Wollmuth, Maher & Deutsch",2800,0,2800,2022-04-18 00:00:00 +0000,52, , ,0,          
C00694943,"",D000092464,Friends of Mia Love PAC,2500,2500,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00195024,"",D000027439,Maryland Assn for Concerned Citizens,2500,2500,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,2500,2500,0,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Taormina Holdings,2500,0,2500,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,James F Von Eiff Insurance Agency,2450,0,2450,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Condon Medical,2100,0,2100,2022-04-18 00:00:00 +0000,58, , ,0,          
C00763623,"",D000073362,Anduril Industries,2000,0,2000,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Blaine for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Doj,2000,0,2000,2022-04-18 00:00:00 +0000,59, , ,0,          
C00764472,"",          ,Gads PAC,2000,2000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Gary Palmer for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Leading Edge Power Solutions,2000,0,2000,2022-04-18 00:00:00 +0000,59, , ,0,          
C00564658,"",          ,Making Investments Majority Insured PAC,2000,2000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Own,2000,0,2000,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Ryan Costello for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000037401,Scalise for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000083449,THE ANIMAL FOUNDATION,1921,0,1921,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Charles Schwab & Co,1833,0,1833,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",D000064559,Boyden Gray & Assoc,1670,0,1670,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000034469,Hilcorp Energy,1560,0,1560,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000086923,OAK STREAM INVESTORS,1547,0,1547,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000030862,VORNADO REALTY TRUST,1547,0,1547,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Swimline,1505,0,1505,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Caldara & Sons Contracting Inc,1500,0,1500,2022-04-18 00:00:00 +0000,76, , ,0,          
C00104802,"",D000000350,Delta Air Lines,1500,1500,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00021972,"",D000000504,Pharmaceutical Research & Manufacturers Of America,1500,1500,0,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,TROY CONSTRUCTION,1500,0,1500,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Law Office of Richard Roth,1400,0,1400,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Pem,1375,0,1375,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Savvy Drinks LLC,1200,0,1200,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",          ,Sk,1200,0,1200,2022-04-18 00:00:00 +0000,82, , ,0,          
C00034488,"",          ,Anheuser-Busch,1178,0,1178,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",          ,Ram Construction,1026,0,1026,2022-04-18 00:00:00 +0000,85, , ,0,          
C00038604,"",D000000590,American Financial Services Assn,1000,1000,0,2022-04-18 00:00:00 +0000,86, , ,0,          
C00647420,"",          ,BACON PAC,1000,1000,0,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",          ,Buncee,1000,0,1000,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",          ,Capasso & Assoc,1000,0,1000,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",          ,Flushing Bank,1000,0,1000,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",          ,Gibbs for Congress,1000,1000,0,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",D000082120,McCarthy Advanced Consulting,1000,0,1000,2022-04-18 00:00:00 +0000,86, , ,0,          
C00170258,"",D000027814,National Assn of Mutual Insurance Companies,1000,1000,0,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",D000027844,National Federation of Republican Women,1000,0,1000,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",          ,Nd Industries,1000,0,1000,2022-04-18 00:00:00 +0000,86, , ,0,          
